trade_id,entry_time,entry_price,direction,initial_size,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,tp1_distance_pips,tp2_distance_pips,tp3_distance_pips,exit_time,final_exit_price,exit_reason,trade_duration_hours,tp_hits,total_exited,total_exited_millions,position_integrity_ok,partial_pnl_total,final_pnl,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_price,partial_exit_1_pips,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_price,partial_exit_2_pips,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_price,partial_exit_3_pips,partial_exit_3_pnl
1,2016-08-26 03:00:00,0.762964,long,1000000.000000,1.000000,19.832187,False,Standard (NTI+MB+IC),0.762337,6.273694,0.764109,0.765253,0.766779,11.444464,22.888927,38.148212,2016-08-26 04:45:00,0.762996,trailing_stop,1.750000,0,1000000.000000,1.000000,True,182.875051,198.556287,198.556287,PARTIAL,0.500000,0.763330,3.657501,182.875051,trailing_stop,0.500000,0.762996,0.313625,15.681236,,,,,
2,2016-08-26 08:45:00,0.766512,long,1000000.000000,1.000000,39.883161,False,Standard (NTI+MB+IC),0.765512,10.000000,0.767661,0.768811,0.770344,11.497674,22.995348,38.325581,2016-08-26 10:30:00,0.767661,tp1_pullback,1.750000,2,1000000.000000,1.000000,True,1469.078291,1660.715775,1660.715775,PARTIAL,0.500000,0.768300,17.883892,894.194583,TP1,0.166650,0.767661,11.497674,191.608740,TP2,0.166675,0.768811,22.995348,383.274968
3,2016-08-26 10:45:00,0.765557,long,1000000.000000,1.000000,24.325089,False,Standard (NTI+MB+IC),0.764557,10.000000,0.766705,0.767853,0.769385,11.483351,22.966702,38.277837,2016-08-26 11:15:00,0.764406,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-1150.376818,-1150.376818,stop_loss,1.000000,0.764406,-11.503768,-1150.376818,,,,,,,,,,
4,2016-08-26 11:30:00,0.763310,long,1000000.000000,1.000000,26.365678,False,Standard (NTI+MB+IC),0.763492,1.819858,0.764455,0.765600,0.767126,11.449648,22.899295,38.165492,2016-08-26 11:45:00,0.763333,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,23.051115,23.051115,stop_loss,1.000000,0.763333,0.230511,23.051115,,,,,,,,,,
5,2016-08-26 12:00:00,0.759329,long,1000000.000000,1.000000,29.478314,False,Standard (NTI+MB+IC),0.763480,41.512377,0.760468,0.761607,0.763125,11.389928,22.779856,37.966426,2016-08-26 12:15:00,0.763395,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,4066.416887,4066.416887,stop_loss,1.000000,0.763395,40.664169,4066.416887,,,,,,,,,,
6,2016-08-26 12:45:00,0.759895,short,1000000.000000,1.000000,62.991177,False,Standard (NTI+MB+IC),0.760895,10.000000,0.758755,0.757615,0.756096,11.398425,22.796849,37.994749,2016-08-26 14:45:00,0.756096,take_profit_3,2.000000,3,1000000.000000,1.000000,True,1485.688941,1485.688941,1485.688941,PARTIAL,0.500000,0.759330,5.649805,282.490226,TP1,0.166650,0.758755,11.398425,189.954748,TP2,0.166675,0.757615,22.796849,379.966488
7,2016-08-26 15:00:00,0.755860,short,1000000.000000,1.000000,72.466357,False,Standard (NTI+MB+IC),0.756860,10.000000,0.754726,0.753592,0.752080,11.337896,22.675792,37.792987,2016-08-28 18:15:00,0.755802,trailing_stop,51.250000,1,1000000.000000,1.000000,True,488.817550,508.006001,508.006001,PARTIAL,0.500000,0.755260,5.997430,299.871511,TP1,0.166650,0.754726,11.337896,188.946039,trailing_stop,0.333350,0.755802,0.575625,19.188452
8,2016-08-28 18:30:00,0.755165,short,1000000.000000,1.000000,49.035960,False,Standard (NTI+MB+IC),0.756165,10.000000,0.754033,0.752900,0.751390,11.327481,22.654963,37.758271,2016-08-28 20:45:00,0.754033,tp1_pullback,2.250000,2,1000000.000000,1.000000,True,839.084146,1027.884940,1027.884940,PARTIAL,0.500000,0.754620,5.454202,272.710081,TP1,0.166650,0.754033,11.327481,188.772476,TP2,0.166675,0.752900,22.654963,377.601589
9,2016-08-28 21:00:00,0.754074,short,1000000.000000,1.000000,43.870044,False,Standard (NTI+MB+IC),0.755074,10.000000,0.752943,0.751812,0.750303,11.311107,22.622214,37.703691,2016-08-28 22:15:00,0.754055,trailing_stop,1.250000,0,1000000.000000,1.000000,True,366.906893,376.108015,376.108015,PARTIAL,0.500000,0.753340,7.338138,366.906893,trailing_stop,0.500000,0.754055,0.184022,9.201121,,,,,
10,2016-08-28 22:30:00,0.754077,short,1000000.000000,1.000000,37.427562,False,Standard (NTI+MB+IC),0.755077,10.000000,0.752946,0.751815,0.750307,11.311156,22.622313,37.703855,2016-08-29 00:00:00,0.755204,stop_loss,1.500000,0,1000000.000000,1.000000,True,0.000000,-1126.904884,-1126.904884,stop_loss,1.000000,0.755204,-11.269049,-1126.904884,,,,,,,,,,
