trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total
1,2019-11-24 20:30:00,0.679669,long,1.000000,50.648371,False,Standard (NTI+MB+IC),0.678669,10.000000,0.680688,0.681708,0.683067,2019-11-25 04:30:00,0.678548,stop_loss,0,8.000000,-1121.152657,-11.211527,-1121.152657,,,,,,,,,,
2,2019-11-25 05:15:00,0.678540,short,1.000000,37.599451,False,Standard (NTI+MB+IC),0.679411,8.714308,0.677522,0.676504,0.675147,2019-11-26 04:15:00,0.678505,trailing_stop,0,23.000000,878.656433,0.340368,878.656433,TP0,0.500000,369.751811,TP0,0.165000,167.938527,TP0,0.110550,112.518813,650.209151
3,2019-11-26 23:30:00,0.677314,short,1.000000,42.358895,False,Standard (NTI+MB+IC),0.678314,10.000000,0.676298,0.675282,0.673927,2019-11-27 04:15:00,0.678490,stop_loss,0,4.750000,-1176.017633,-11.760176,-1176.017633,,,,,,,,,,
4,2019-11-27 04:30:00,0.678221,short,1.000000,13.721075,False,Standard (NTI+MB+IC),0.678327,1.059674,0.677204,0.676186,0.674830,2019-11-27 04:45:00,0.678432,stop_loss,0,0.250000,-210.632025,-2.106320,-210.632025,,,,,,,,,,
5,2019-11-27 18:00:00,0.676139,short,1.000000,33.983159,False,Standard (NTI+MB+IC),0.677139,10.000000,0.675125,0.674111,0.672758,2019-11-27 19:15:00,0.677243,stop_loss,0,1.250000,-1103.849889,-11.038499,-1103.849889,,,,,,,,,,
6,2019-11-27 19:30:00,0.676957,short,1.000000,34.496298,False,Standard (NTI+MB+IC),0.677911,9.543885,0.675942,0.674926,0.673572,2019-11-27 20:45:00,0.676949,trailing_stop,0,1.250000,8.359976,0.083600,8.359976,,,,,,,,,,
7,2019-11-27 21:00:00,0.676869,short,1.000000,29.079942,False,Standard (NTI+MB+IC),0.677737,8.674562,0.675854,0.674839,0.673485,2019-11-28 05:45:00,0.676824,trailing_stop,0,8.750000,242.555160,0.456696,242.555160,TP0,0.500000,219.720361,,,,,,,219.720361
8,2019-11-29 00:30:00,0.677419,long,1.000000,47.120127,False,Standard (NTI+MB+IC),0.676659,7.600300,0.678435,0.679451,0.680806,2019-11-29 06:45:00,0.677458,trailing_stop,0,6.250000,220.095143,0.392837,220.095143,TP0,0.500000,200.453291,,,,,,,200.453291
9,2019-11-29 08:45:00,0.676311,short,1.000000,43.954899,False,Standard (NTI+MB+IC),0.677311,10.000000,0.675297,0.674282,0.672930,2019-11-29 12:30:00,0.676238,trailing_stop,0,3.750000,291.889021,0.727045,291.889021,TP0,0.500000,255.536795,,,,,,,255.536795
10,2019-11-29 13:30:00,0.676100,short,1.000000,22.217663,False,Standard (NTI+MB+IC),0.676988,8.871562,0.675086,0.674072,0.672720,2019-12-01 20:15:00,0.677076,stop_loss,0,54.750000,-975.442286,-9.754423,-975.442286,,,,,,,,,,
11,2019-12-01 20:45:00,0.677202,long,1.000000,29.863462,False,Standard (NTI+MB+IC),0.676344,8.577326,0.678217,0.679233,0.680588,2019-12-01 21:45:00,0.677284,trailing_stop,0,1.000000,82.812908,0.828129,82.812908,,,,,,,,,,
12,2019-12-02 04:00:00,0.678487,long,1.000000,35.838360,False,Standard (NTI+MB+IC),0.677487,10.000000,0.679504,0.680522,0.681879,2019-12-02 06:45:00,0.678494,trailing_stop,0,2.750000,7.463600,0.074636,7.463600,,,,,,,,,,
13,2019-12-02 07:00:00,0.678577,long,1.000000,42.386628,False,Standard (NTI+MB+IC),0.677577,10.000000,0.679594,0.680612,0.681969,2019-12-23 13:30:00,0.691650,end_of_data,0,510.500000,800.659616,130.734544,800.659616,TP0,0.500000,291.727207,TP0,0.165000,167.947695,TP0,0.110550,112.524956,572.199858
