trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2010-12-29 02:45:00,1.013425,long,1.000000,41.021226,False,Standard (NTI+MB+IC),1.012425,10.000000,1.014945,1.016465,1.018492,2010-12-29 07:15:00,1.012307,stop_loss,0,4.500000,-221.565356,PPT,0.500000,337.397409,337.397409,-11.179255,-221.565356,,,,,,
2,2010-12-29 08:00:00,1.012308,long,1.000000,18.778379,False,Standard (NTI+MB+IC),1.011523,7.853211,1.013827,1.015345,1.017370,2010-12-30 10:45:00,1.015572,trailing_stop,0,26.750000,1155.203590,PPT,0.500000,395.972549,814.384775,32.634797,1155.203590,PPT,0.165000,250.546244,PPT,0.110550,167.865983
3,2010-12-30 14:15:00,1.015670,short,1.000000,19.564517,False,Standard (NTI+MB+IC),1.015119,5.505269,1.014146,1.012623,1.010592,2010-12-30 14:30:00,1.015296,stop_loss,0,0.250000,373.618437,,,,,3.736184,373.618437,,,,,,
4,2010-12-30 14:45:00,1.015362,short,1.000000,23.358493,False,Standard (NTI+MB+IC),1.015083,2.793164,1.013839,1.012316,1.010285,2010-12-30 15:00:00,1.015183,stop_loss,0,0.250000,178.702299,,,,,1.787023,178.702299,,,,,,
5,2010-12-30 15:30:00,1.015916,long,1.000000,54.105934,False,Standard (NTI+MB+IC),1.014916,10.000000,1.017440,1.018964,1.020996,2010-12-30 22:15:00,1.015968,trailing_stop,0,6.750000,832.563028,PPT,0.500000,291.970581,711.874086,0.519869,832.563028,PPT,0.165000,251.439225,PPT,0.110550,168.464280
6,2010-12-31 10:30:00,1.021247,long,1.000000,20.933649,False,Standard (NTI+MB+IC),1.020247,10.000000,1.022779,1.024311,1.026353,2011-01-02 17:00:00,1.021285,trailing_stop,0,54.500000,2536.337396,PPT,0.500000,1776.512539,2198.619445,0.383878,2536.337396,PPT,0.165000,252.758626,PPT,0.110550,169.348280
7,2011-01-02 17:15:00,1.021445,long,1.000000,16.648487,False,Standard (NTI+MB+IC),1.020445,10.000000,1.022977,1.024510,1.026553,2011-01-02 18:15:00,1.020353,stop_loss,0,1.000000,-218.780524,PPT,0.500000,327.345246,327.345246,-10.922515,-218.780524,,,,,,
8,2011-01-02 20:45:00,1.018064,short,1.000000,32.805874,False,Standard (NTI+MB+IC),1.019064,10.000000,1.016537,1.015010,1.012974,2011-01-02 22:15:00,1.019111,stop_loss,0,1.500000,-1046.367963,,,,,-10.463680,-1046.367963,,,,,,
9,2011-01-03 10:45:00,1.018470,short,1.000000,41.940026,False,Standard (NTI+MB+IC),1.019470,10.000000,1.016942,1.015415,1.013378,2011-01-03 11:00:00,1.019667,stop_loss,0,0.250000,-1196.847706,,,,,-11.968477,-1196.847706,,,,,,
10,2011-01-03 15:30:00,1.017356,short,1.000000,38.410909,False,Standard (NTI+MB+IC),1.018356,10.000000,1.015830,1.014304,1.012270,2011-02-03 19:45:00,0.985076,trailing_stop,0,748.250000,1191.219485,PPT,0.500000,428.202182,848.701018,322.808411,1191.219485,PPT,0.165000,251.795710,PPT,0.110550,168.703126
11,2011-02-03 20:00:00,1.019126,long,1.000000,36.049488,False,Standard (NTI+MB+IC),1.018126,10.000000,1.020654,1.022183,1.024221,2011-02-03 22:15:00,1.018049,stop_loss,0,2.250000,-1076.121626,,,,,-10.761216,-1076.121626,,,,,,
12,2011-02-03 22:30:00,1.018116,long,1.000000,49.530552,False,Standard (NTI+MB+IC),1.017116,10.000000,1.019643,1.021170,1.023207,2011-02-04 05:45:00,1.017051,stop_loss,0,7.250000,-190.808381,PPT,0.500000,341.949635,341.949635,-10.655160,-190.808381,,,,,,
13,2011-02-04 06:00:00,1.017317,long,1.000000,20.287675,False,Standard (NTI+MB+IC),1.017022,2.946085,1.018843,1.020369,1.022403,2011-02-04 06:15:00,1.016865,stop_loss,0,0.250000,-452.180731,,,,,-4.521807,-452.180731,,,,,,
14,2011-02-04 06:30:00,1.017247,long,1.000000,23.513378,False,Standard (NTI+MB+IC),1.017056,1.908434,1.018773,1.020299,1.022333,2011-02-04 06:45:00,1.017013,stop_loss,0,0.250000,-234.231216,,,,,-2.342312,-234.231216,,,,,,
15,2011-02-04 07:00:00,1.017116,long,1.000000,54.398120,False,Standard (NTI+MB+IC),1.017064,0.518123,1.018642,1.020167,1.022201,2011-02-04 07:45:00,1.016936,stop_loss,0,0.750000,1.898306,PPT,0.500000,92.062148,92.062148,-1.803277,1.898306,,,,,,
16,2011-02-04 08:00:00,1.016565,short,1.000000,66.425363,False,Standard (NTI+MB+IC),1.017565,10.000000,1.015040,1.013515,1.011482,2011-02-04 09:00:00,1.017635,stop_loss,0,1.000000,-214.030671,PPT,0.330000,503.199597,503.199597,-10.704929,-214.030671,,,,,,
