trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2011-04-29 07:45:00,1.096101,long,1.000000,48.842140,False,Standard (NTI+MB+IC),1.095101,10.000000,1.097746,1.099390,1.101582,2011-04-29 08:45:00,1.095087,stop_loss,0,1.000000,-1014.987831,-10.149878,-1014.987831,,,,,,,,,,
2,2011-04-29 09:00:00,1.094648,long,1.000000,51.039988,False,Standard (NTI+MB+IC),1.093648,10.000000,1.096290,1.097932,1.100121,2011-04-29 09:45:00,1.093473,stop_loss,0,0.750000,-1175.646601,-11.756466,-1175.646601,,,,,,,,,,
3,2011-04-29 14:15:00,1.097304,long,1.000000,33.467827,False,Standard (NTI+MB+IC),1.096304,10.000000,1.098950,1.100596,1.102790,2011-04-29 15:15:00,1.096219,stop_loss,0,1.000000,-1084.698013,-10.846980,-1084.698013,,,,,,,,,,
4,2011-05-01 19:00:00,1.093836,long,1.000000,15.335189,False,Standard (NTI+MB+IC),1.094651,8.154215,1.095477,1.097117,1.099305,2011-05-01 19:15:00,1.094556,stop_loss,1,0.250000,1027.006929,7.201335,1027.006929,TP1,0.333333,546.917919,546.917919,,,,,,
5,2011-05-02 11:00:00,1.100230,long,1.000000,45.325326,False,Standard (NTI+MB+IC),1.099230,10.000000,1.101880,1.103531,1.105731,2011-05-02 11:15:00,1.099097,stop_loss,0,0.250000,-1133.210218,-11.332102,-1133.210218,,,,,,,,,,
6,2011-05-02 17:00:00,1.094260,short,1.000000,36.207068,False,Standard (NTI+MB+IC),1.095260,10.000000,1.092619,1.090977,1.088789,2011-05-02 21:45:00,1.090977,take_profit_2,2,4.750000,1424.359985,32.827806,1424.359985,PPT,0.500000,330.099785,1424.359985,TP1,0.333333,547.130100,TP2,0.166667,547.130100
7,2011-05-02 23:45:00,1.090996,short,1.000000,31.463175,False,Standard (NTI+MB+IC),1.091996,10.000000,1.089360,1.087723,1.085541,2011-05-03 03:30:00,1.087723,take_profit_2,2,3.750000,1739.198810,32.729892,1739.198810,PPT,0.500000,648.202406,1739.198810,TP1,0.333333,545.498202,TP2,0.166667,545.498202
8,2011-05-03 03:45:00,1.087895,short,1.000000,44.969042,False,Standard (NTI+MB+IC),1.088895,10.000000,1.086264,1.084632,1.082456,2011-05-03 07:45:00,1.084632,take_profit_2,2,4.000000,1585.598528,32.636862,1585.598528,PPT,0.500000,497.703121,1585.598528,TP1,0.333333,543.947703,TP2,0.166667,543.947703
9,2011-05-03 08:00:00,1.086296,short,1.000000,41.689798,False,Standard (NTI+MB+IC),1.087296,10.000000,1.084667,1.083037,1.080865,2011-05-03 08:30:00,1.087312,stop_loss,0,0.500000,-1015.436285,-10.154363,-1015.436285,,,,,,,,,,
10,2011-05-03 09:00:00,1.088056,short,1.000000,14.861890,False,Standard (NTI+MB+IC),1.089056,10.000000,1.086424,1.084792,1.082616,2011-05-03 09:45:00,1.089252,stop_loss,0,0.750000,-219.898030,-11.958408,-219.898030,PPT,0.500000,378.022387,378.022387,,,,,,
