trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2014-01-15 19:30:00,0.882376,short,1.000000,52.053553,False,Standard (NTI+MB+IC),0.883376,10.000000,0.881052,0.879729,0.877964,2014-01-15 20:00:00,0.879729,take_profit_2,2,0.500000,1315.375349,PPT,0.500000,432.999350,TP1,0.333333,441.187999,TP2,0.166667,441.187999,1315.375349,26.471280,1315.375349
2,2014-01-15 20:15:00,0.880675,short,1.000000,67.695557,False,Standard (NTI+MB+IC),0.881675,10.000000,0.879354,0.878033,0.876272,2014-01-16 03:30:00,0.878033,take_profit_2,2,7.250000,1358.155649,PPT,0.500000,477.480687,TP1,0.333333,440.337481,TP2,0.166667,440.337481,1358.155649,26.420249,1358.155649
3,2014-01-16 03:45:00,0.878494,short,1.000000,66.002694,False,Standard (NTI+MB+IC),0.879494,10.000000,0.877177,0.875859,0.874102,2014-01-16 04:45:00,0.879510,stop_loss,0,1.000000,-1016.029160,,,,,,,,,,,-10.160292,-1016.029160
4,2014-01-16 05:00:00,0.879164,short,1.000000,49.297710,False,Standard (NTI+MB+IC),0.880164,10.000000,0.877845,0.876527,0.874768,2014-01-16 08:30:00,0.880285,stop_loss,1,3.500000,504.852225,PPT,0.500000,252.016870,TP1,0.333333,439.582017,,,,691.598887,-11.204800,504.852225
5,2014-01-16 08:45:00,0.880558,short,1.000000,15.468806,False,Standard (NTI+MB+IC),0.881558,10.000000,0.879238,0.877917,0.876156,2014-01-16 15:30:00,0.881697,stop_loss,1,6.750000,904.769515,PPT,0.500000,654.181158,TP1,0.333333,440.279181,,,,1094.460340,-11.381449,904.769515
6,2014-01-16 21:15:00,0.880465,long,1.000000,20.084331,False,Standard (NTI+MB+IC),0.881049,5.841722,0.881786,0.883106,0.884867,2014-01-16 21:30:00,0.880852,stop_loss,0,0.250000,387.325490,,,,,,,,,,,3.873255,387.325490
7,2014-01-16 21:45:00,0.880664,long,1.000000,43.265482,False,Standard (NTI+MB+IC),0.881044,3.801104,0.881985,0.883306,0.885067,2014-01-16 22:00:00,0.880869,stop_loss,0,0.250000,205.520481,,,,,,,,,,,2.055205,205.520481
8,2014-01-16 22:15:00,0.880774,short,1.000000,44.712227,False,Standard (NTI+MB+IC),0.881700,9.259951,0.879453,0.878132,0.876370,2014-01-16 22:45:00,0.881860,stop_loss,0,0.500000,-1085.430127,,,,,,,,,,,-10.854301,-1085.430127
9,2014-01-19 22:00:00,0.879072,long,1.000000,51.105755,False,Standard (NTI+MB+IC),0.878072,10.000000,0.880390,0.881709,0.883467,2014-01-19 22:45:00,0.877889,stop_loss,0,0.750000,-1182.782160,,,,,,,,,,,-11.827822,-1182.782160
10,2014-01-19 23:00:00,0.878044,long,1.000000,43.049726,False,Standard (NTI+MB+IC),0.877419,6.249407,0.879361,0.880678,0.882434,2014-01-20 04:00:00,0.880678,take_profit_2,2,5.000000,1051.167797,PPT,0.500000,173.124045,TP1,0.333333,439.021876,TP2,0.166667,439.021876,1051.167797,26.341313,1051.167797
11,2014-01-20 04:15:00,0.880160,long,1.000000,35.090738,False,Standard (NTI+MB+IC),0.879160,10.000000,0.881480,0.882800,0.884560,2014-01-20 18:30:00,0.880201,trailing_stop,1,14.250000,782.135539,PPT,0.500000,335.223286,TP1,0.333333,440.079777,,,,775.303062,0.409949,782.135539
12,2014-01-20 21:30:00,0.883280,long,1.000000,40.044343,False,Standard (NTI+MB+IC),0.882280,10.000000,0.884605,0.885929,0.887696,2014-01-20 21:45:00,0.882246,stop_loss,0,0.250000,-1034.053270,,,,,,,,,,,-10.340533,-1034.053270
13,2014-01-21 03:00:00,0.879209,long,1.000000,14.639502,False,Standard (NTI+MB+IC),0.880891,16.827153,0.880527,0.881846,0.883605,2014-01-21 03:15:00,0.880866,stop_loss,0,0.250000,1657.807571,,,,,,,,,,,16.578076,1657.807571
14,2014-01-21 03:30:00,0.878413,short,1.000000,40.712160,False,Standard (NTI+MB+IC),0.879413,10.000000,0.877095,0.875778,0.874021,2014-01-21 08:45:00,0.879587,stop_loss,0,5.250000,-210.508537,PPT,0.500000,376.521361,,,,,,,376.521361,-11.740598,-210.508537
15,2014-01-21 09:00:00,0.880221,short,1.000000,15.819488,False,Standard (NTI+MB+IC),0.880183,0.375558,0.878901,0.877580,0.875820,2014-01-21 09:15:00,0.880320,stop_loss,0,0.250000,-98.739719,,,,,,,,,,,-0.987397,-98.739719
16,2014-01-21 09:30:00,0.881192,short,1.000000,19.374084,False,Standard (NTI+MB+IC),0.880163,10.291997,0.879871,0.878549,0.876786,2014-01-21 09:45:00,0.880298,stop_loss,0,0.250000,894.328765,,,,,,,,,,,8.943288,894.328765
17,2014-01-21 16:30:00,0.881041,long,1.000000,42.623905,False,Standard (NTI+MB+IC),0.880041,10.000000,0.882362,0.883684,0.885446,2014-01-21 17:45:00,0.879989,stop_loss,0,1.250000,-1051.666304,,,,,,,,,,,-10.516663,-1051.666304
18,2014-01-21 19:30:00,0.885192,long,1.000000,35.717528,False,Standard (NTI+MB+IC),0.884192,10.000000,0.886519,0.887847,0.889618,2014-01-22 02:30:00,0.887847,take_profit_2,2,7.000000,1384.397588,PPT,0.500000,499.206000,TP1,0.333333,442.595794,TP2,0.166667,442.595794,1384.397588,26.555748,1384.397588
19,2014-01-22 02:45:00,0.887464,long,1.000000,47.271992,False,Standard (NTI+MB+IC),0.886464,10.000000,0.888795,0.890127,0.891902,2014-01-22 09:15:00,0.886266,stop_loss,0,6.500000,-96.009590,PPT,0.500000,502.898068,,,,,,,502.898068,-11.978153,-96.009590
20,2014-01-22 11:15:00,0.884456,short,1.000000,51.244299,False,Standard (NTI+MB+IC),0.885456,10.000000,0.883130,0.881803,0.880034,2014-01-22 20:45:00,0.881803,take_profit_2,2,9.500000,1147.652663,PPT,0.500000,263.196270,TP1,0.333333,442.228196,TP2,0.166667,442.228196,1147.652663,26.533692,1147.652663
21,2014-01-22 21:00:00,0.880095,short,1.000000,50.975280,False,Standard (NTI+MB+IC),0.881095,10.000000,0.878775,0.877455,0.875695,2014-01-23 01:00:00,0.881192,stop_loss,1,4.000000,609.690282,PPT,0.500000,352.527631,TP1,0.333333,440.047528,,,,792.575158,-10.973093,609.690282
22,2014-01-23 01:15:00,0.880655,short,1.000000,17.869726,False,Standard (NTI+MB+IC),0.881655,10.000000,0.879334,0.878013,0.876252,2014-01-23 02:30:00,0.878013,take_profit_2,2,1.250000,2113.102325,PPT,0.500000,1232.447430,TP1,0.333333,440.327447,TP2,0.166667,440.327447,2113.102325,26.419647,2113.102325
23,2014-01-23 02:45:00,0.878333,short,1.000000,34.581406,False,Standard (NTI+MB+IC),0.879333,10.000000,0.877015,0.875698,0.873941,2014-01-23 03:15:00,0.879447,stop_loss,0,0.500000,-1113.855081,,,,,,,,,,,-11.138551,-1113.855081
24,2014-01-23 03:30:00,0.879604,short,1.000000,29.471238,False,Standard (NTI+MB+IC),0.880604,10.000000,0.878285,0.876965,0.875206,2014-01-23 04:45:00,0.880658,stop_loss,0,1.250000,-1054.465392,,,,,,,,,,,-10.544654,-1054.465392
25,2014-01-23 05:00:00,0.880184,short,1.000000,11.191788,False,Standard (NTI+MB+IC),0.881184,10.000000,0.878864,0.877543,0.875783,2014-01-23 06:30:00,0.877543,take_profit_2,2,1.500000,1287.100187,PPT,0.500000,406.916355,TP1,0.333333,440.091916,TP2,0.166667,440.091916,1287.100187,26.405515,1287.100187
26,2014-01-23 06:45:00,0.876512,short,1.000000,33.534573,False,Standard (NTI+MB+IC),0.877512,10.000000,0.875197,0.873883,0.872130,2014-01-23 07:45:00,0.877711,stop_loss,0,1.000000,-1198.645238,,,,,,,,,,,-11.986452,-1198.645238
27,2014-01-23 08:00:00,0.877244,short,1.000000,36.347781,False,Standard (NTI+MB+IC),0.878244,10.000000,0.875928,0.874613,0.872858,2014-01-23 08:45:00,0.878436,stop_loss,0,0.750000,-1191.581920,,,,,,,,,,,-11.915819,-1191.581920
28,2014-01-23 09:00:00,0.879092,short,1.000000,16.479092,False,Standard (NTI+MB+IC),0.880092,10.000000,0.877773,0.876455,0.874697,2014-01-23 11:45:00,0.876455,take_profit_2,2,2.750000,1215.105896,PPT,0.500000,336.013869,TP1,0.333333,439.546014,TP2,0.166667,439.546014,1215.105896,26.372761,1215.105896
29,2014-01-23 12:15:00,0.873784,short,1.000000,45.606446,False,Standard (NTI+MB+IC),0.874784,10.000000,0.872473,0.871163,0.869415,2014-01-23 13:15:00,0.874798,stop_loss,0,1.000000,-1014.279142,,,,,,,,,,,-10.142791,-1014.279142
30,2014-01-23 13:30:00,0.875696,short,1.000000,51.524521,False,Standard (NTI+MB+IC),0.876696,10.000000,0.874382,0.873069,0.871317,2014-01-23 16:15:00,0.876851,stop_loss,0,2.750000,-1155.604885,,,,,,,,,,,-11.556049,-1155.604885
31,2014-01-23 23:45:00,0.871556,short,1.000000,32.758423,False,Standard (NTI+MB+IC),0.872556,10.000000,0.870249,0.868941,0.867198,2014-01-24 00:15:00,0.868941,take_profit_2,2,0.500000,1349.534287,PPT,0.500000,477.978330,TP1,0.333333,435.777978,TP2,0.166667,435.777978,1349.534287,26.146679,1349.534287
32,2014-01-24 00:30:00,0.870242,short,1.000000,52.038820,False,Standard (NTI+MB+IC),0.871242,10.000000,0.868936,0.867631,0.865891,2014-01-24 05:15:00,0.867631,take_profit_2,2,4.750000,1161.132840,PPT,0.500000,290.891058,TP1,0.333333,435.120891,TP2,0.166667,435.120891,1161.132840,26.107253,1161.132840
33,2014-01-24 05:30:00,0.867587,short,1.000000,50.469143,False,Standard (NTI+MB+IC),0.868587,10.000000,0.866285,0.864984,0.863249,2014-01-24 06:30:00,0.868591,stop_loss,1,1.000000,724.712340,PPT,0.500000,458.318962,TP1,0.333333,433.793319,,,,892.112281,-10.043996,724.712340
34,2014-01-24 06:45:00,0.869372,short,1.000000,20.919467,False,Standard (NTI+MB+IC),0.870372,10.000000,0.868068,0.866764,0.865025,2014-01-24 07:30:00,0.870433,stop_loss,0,0.750000,-239.938423,PPT,0.500000,290.905382,,,,,,,290.905382,-10.616876,-239.938423
35,2014-01-24 07:45:00,0.870427,short,1.000000,20.862947,False,Standard (NTI+MB+IC),0.871427,10.000000,0.869122,0.867816,0.866075,2014-01-24 08:30:00,0.871612,stop_loss,0,0.750000,-1184.865784,,,,,,,,,,,-11.848658,-1184.865784
36,2014-01-24 08:45:00,0.871066,short,1.000000,24.971594,False,Standard (NTI+MB+IC),0.871909,8.434750,0.869759,0.868453,0.866711,2014-01-24 10:15:00,0.871015,trailing_stop,1,1.500000,1196.965679,PPT,0.500000,752.955905,TP1,0.333333,435.532956,,,,1188.488861,0.508609,1196.965679
37,2014-01-26 23:15:00,0.872275,long,1.000000,44.998666,False,Standard (NTI+MB+IC),0.871275,10.000000,0.873584,0.874892,0.876637,2014-01-27 03:15:00,0.871223,stop_loss,1,4.000000,783.016226,PPT,0.500000,522.287324,TP1,0.333333,436.137713,,,,958.425037,-10.524529,783.016226
38,2014-01-27 07:15:00,0.875120,long,1.000000,39.883603,False,Standard (NTI+MB+IC),0.874120,10.000000,0.876433,0.877746,0.879496,2014-01-27 08:30:00,0.874012,stop_loss,0,1.250000,-1108.797142,,,,,,,,,,,-11.087971,-1108.797142
39,2014-01-27 22:15:00,0.878550,long,1.000000,39.786068,False,Standard (NTI+MB+IC),0.877550,10.000000,0.879868,0.881186,0.882943,2014-01-28 01:00:00,0.877438,stop_loss,0,2.750000,-1112.392839,,,,,,,,,,,-11.123928,-1112.392839
40,2014-01-28 03:30:00,0.880154,long,1.000000,31.430107,False,Standard (NTI+MB+IC),0.879154,10.000000,0.881474,0.882795,0.884555,2014-01-28 05:45:00,0.878979,stop_loss,1,2.250000,757.206344,PPT,0.500000,512.962004,TP1,0.333333,440.077038,,,,953.039042,-11.749962,757.206344
41,2014-01-28 06:00:00,0.880066,long,1.000000,25.241690,False,Standard (NTI+MB+IC),0.879066,10.000000,0.881386,0.882706,0.884466,2014-01-28 09:15:00,0.878996,stop_loss,0,3.250000,-1070.417876,,,,,,,,,,,-10.704179,-1070.417876
42,2014-01-28 17:00:00,0.879291,short,1.000000,26.753084,False,Standard (NTI+MB+IC),0.878223,10.686181,0.877972,0.876653,0.874895,2014-01-28 17:15:00,0.878420,stop_loss,0,0.250000,871.468981,,,,,,,,,,,8.714690,871.468981
43,2014-01-28 17:30:00,0.879807,long,1.000000,39.326461,False,Standard (NTI+MB+IC),0.878807,10.000000,0.881127,0.882447,0.884206,2014-01-28 18:30:00,0.878656,stop_loss,0,1.000000,-1151.335475,,,,,,,,,,,-11.513355,-1151.335475
44,2014-01-28 18:45:00,0.878459,long,1.000000,40.521455,False,Standard (NTI+MB+IC),0.877519,9.397291,0.879777,0.881094,0.882851,2014-01-28 20:00:00,0.881094,take_profit_2,2,1.250000,1528.915952,PPT,0.500000,650.456866,TP1,0.333333,439.229543,TP2,0.166667,439.229543,1528.915952,26.353773,1528.915952
45,2014-01-28 20:15:00,0.881392,long,1.000000,56.545517,False,Standard (NTI+MB+IC),0.880392,10.000000,0.882714,0.884036,0.885799,2014-01-28 21:00:00,0.880237,stop_loss,0,0.750000,-1154.891013,,,,,,,,,,,-11.548910,-1154.891013
46,2014-01-28 21:15:00,0.880706,long,1.000000,44.905923,False,Standard (NTI+MB+IC),0.879706,10.000000,0.882027,0.883349,0.885110,2014-01-29 01:00:00,0.879623,stop_loss,0,3.750000,-1083.560861,,,,,,,,,,,-10.835609,-1083.560861
47,2014-01-29 04:00:00,0.874990,short,1.000000,39.152268,False,Standard (NTI+MB+IC),0.875990,10.000000,0.873678,0.872365,0.870616,2014-01-29 04:15:00,0.876056,stop_loss,0,0.250000,-1066.011156,,,,,,,,,,,-10.660112,-1066.011156
