trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2022-11-30 06:00:00,0.672424,long,1.000000,35.810394,False,Standard (NTI+MB+IC),0.671424,10.000000,0.673432,0.674441,0.675786,2022-11-30 08:45:00,0.671279,stop_loss,1,2.750000,468.581729,PPT,0.500000,323.118557,TP1,0.333333,336.211881,659.330438,-11.444923,468.581729,,,
2,2022-11-30 14:15:00,0.677792,long,1.000000,38.357329,False,Standard (NTI+MB+IC),0.676792,10.000000,0.678809,0.679826,0.681181,2022-11-30 15:15:00,0.679826,take_profit_2,2,1.000000,1201.553869,PPT,0.500000,523.761392,TP1,0.333333,338.896239,1201.553869,20.333774,1201.553869,TP2,0.166667,338.896239
3,2022-11-30 15:30:00,0.679580,long,1.000000,56.021521,False,Standard (NTI+MB+IC),0.678580,10.000000,0.680599,0.681618,0.682977,2022-11-30 16:15:00,0.678382,stop_loss,0,0.750000,-1197.767223,,,,,,,,-11.977672,-1197.767223,,,
4,2022-11-30 16:30:00,0.678892,long,1.000000,52.871820,False,Standard (NTI+MB+IC),0.677892,10.000000,0.679911,0.680929,0.682287,2022-11-30 19:00:00,0.680929,take_profit_2,2,2.500000,1162.699964,PPT,0.500000,483.807579,TP1,0.333333,339.446192,1162.699964,20.366772,1162.699964,TP2,0.166667,339.446192
5,2022-11-30 19:15:00,0.680097,long,1.000000,54.653719,False,Standard (NTI+MB+IC),0.679097,10.000000,0.681117,0.682137,0.683497,2022-12-01 00:30:00,0.682137,take_profit_2,2,5.250000,1146.632895,PPT,0.500000,466.535967,TP1,0.333333,340.048464,1146.632895,20.402908,1146.632895,TP2,0.166667,340.048464
6,2022-12-01 00:45:00,0.682454,long,1.000000,61.107807,False,Standard (NTI+MB+IC),0.681454,10.000000,0.683477,0.684501,0.685866,2022-12-01 02:45:00,0.681402,stop_loss,1,2.000000,434.109250,PPT,0.500000,268.216292,TP1,0.333333,341.226784,609.443076,-10.520030,434.109250,,,
7,2022-12-01 03:00:00,0.681111,long,1.000000,26.154915,False,Standard (NTI+MB+IC),0.680111,10.000000,0.682133,0.683155,0.684517,2022-12-01 03:15:00,0.680104,stop_loss,0,0.250000,-1007.862476,,,,,,,,-10.078625,-1007.862476,,,
8,2022-12-01 03:30:00,0.681058,long,1.000000,24.903742,False,Standard (NTI+MB+IC),0.680058,10.000000,0.682079,0.683101,0.684463,2022-12-01 04:30:00,0.679965,stop_loss,0,1.000000,-1092.435022,,,,,,,,-10.924350,-1092.435022,,,
9,2022-12-01 06:15:00,0.680007,long,1.000000,15.002426,False,Standard (NTI+MB+IC),0.679326,6.813595,0.681027,0.682047,0.683407,2022-12-01 08:30:00,0.682047,take_profit_2,2,2.250000,886.495804,PPT,0.500000,206.488782,TP1,0.333333,340.003511,886.495804,20.400211,886.495804,TP2,0.166667,340.003511
10,2022-12-02 09:45:00,0.676971,short,1.000000,44.386196,False,Standard (NTI+MB+IC),0.677971,10.000000,0.675955,0.674940,0.673586,2022-12-02 11:00:00,0.678125,stop_loss,1,1.250000,-430.787056,TP1,0.333333,338.485313,,,,338.485313,-11.539086,-430.787056,,,
