iteration,start_date,end_date,sharpe_ratio,total_pnl,total_return,win_rate,total_trades,max_drawdown,profit_factor,avg_win,avg_loss,num_wins,num_losses,max_consec_wins,max_consec_losses,integrity_ok,primary_year
1,2021-04-26 08:15:00,2021-08-20 12:00:00,-6.175263245720029,-54152.613357608854,-5.415261335761054,52.3972602739726,876,5.652440016554061,0.7602014041355013,374.0147814165498,-541.5477170930582,459,417,8,9,True,2021
2,2012-05-09 17:00:00,2012-09-04 00:45:00,-2.497767262357238,-36034.80239005958,-3.603480239005981,50.15220700152207,1314,3.783923825918555,0.901683115508485,501.4903258763212,-559.5678276985575,659,655,8,11,True,2012
3,2024-03-22 09:15:00,2024-07-17 19:00:00,-8.88742453626769,-69609.55260108801,-6.9609552601089,51.847133757961785,785,6.995992810395698,0.6507774033869042,318.7165097182579,-527.3205609958175,407,378,8,9,True,2024
4,2018-12-11 02:30:00,2019-04-09 01:15:00,-5.582900960945454,-59350.9145011153,-5.935091450111498,52.13776722090261,842,6.3133054345465585,0.7171263238596698,342.7409727943678,-520.630773096384,439,403,9,6,True,2018
5,2011-11-03 22:45:00,2012-03-01 00:45:00,-0.4790234653838688,-8713.37886515585,-0.8713378865156323,47.42268041237113,1455,4.075542214311198,0.9799137848754634,616.066033193043,-567.0574402200726,690,765,10,11,True,2011
6,2018-09-26 19:15:00,2019-01-23 17:00:00,-5.862355439900423,-71208.1323058185,-7.120813230581838,51.8479408658923,947,7.159711694152203,0.7059543400440821,348.1849070821666,-531.0678107086891,491,456,11,7,True,2018
7,2016-06-07 18:30:00,2016-10-03 02:15:00,-2.617933860656412,-43089.870695435966,-4.308987069543475,51.17416829745597,1022,5.68816675852287,0.8451445952919601,449.653680900933,-557.6327571275029,523,499,8,7,True,2016
8,2014-03-21 03:15:00,2014-07-17 09:00:00,-10.446170395689316,-108420.64764070776,-10.842064764070779,48.29059829059829,936,11.07443783730384,0.5877253777532091,341.949051731544,-543.3504525276146,452,484,7,11,True,2014
9,2020-07-29 00:15:00,2020-11-23 08:00:00,-7.662649529816505,-72770.80778049024,-7.277080778049258,49.89561586638831,958,7.416983676316001,0.7219919275137651,395.37047485409585,-545.3289474182251,478,480,7,9,True,2020
10,2020-04-12 20:00:00,2020-08-06 03:45:00,-1.1627858618472882,-14738.726319217783,-1.4738726319219102,51.76876617773944,1159,3.009550947888504,0.9512536083018197,479.3608341904763,-540.8859156234411,600,559,14,8,True,2020
11,2015-11-04 01:30:00,2016-03-02 12:15:00,-6.703311872484555,-68087.54224342576,-6.8087542243426435,49.919093851132686,1236,7.160114882428028,0.7979528494084198,435.8198365511473,-544.4077243868879,617,619,9,9,True,2015
12,2017-04-26 16:15:00,2017-08-22 00:00:00,-5.275243147846959,-58357.4468161352,-5.835744681613299,52.49500998003992,1002,6.17979813058648,0.7728914631780198,377.5683568154972,-539.8285766829554,526,476,11,8,True,2017
13,2017-08-17 08:00:00,2017-12-12 15:45:00,-10.142543606383027,-80248.87737019843,-8.024887737019942,51.473684210526315,950,8.10684045666189,0.6752318181318747,341.2003997389973,-535.9997241704297,489,461,7,9,True,2017
14,2018-10-05 09:45:00,2019-02-01 07:30:00,-6.032391483922793,-71555.2994607772,-7.155529946077744,52.152152152152155,999,7.347998885359786,0.7129189692954068,341.0670414901821,-521.4460838434353,521,478,8,6,True,2018
15,2010-05-17 06:15:00,2010-09-09 14:00:00,4.242002122249604,94347.14020364574,9.43471402036443,50.29940119760479,1336,3.0161782111462454,1.2496918431388968,702.6807360359571,-569.0577024284902,672,664,10,8,True,2010
16,2020-12-17 16:30:00,2021-04-15 15:45:00,-4.763983842771077,-51515.670957846974,-5.151567095784563,51.971326164874554,1116,5.415989992895531,0.8265983336409758,423.4017276912574,-554.2699123484631,580,536,7,9,True,2020
17,2012-09-17 10:30:00,2013-01-15 08:00:00,-7.520259261626062,-77740.00494831002,-7.774000494831218,48.90282131661442,957,8.252450517419256,0.7134587358138257,413.59987441314513,-554.8154318479795,468,489,8,8,True,2012
18,2014-09-05 11:30:00,2015-01-04 22:00:00,-3.147189416704435,-43751.64880121091,-4.37516488012122,50.966356478167505,1397,5.602733176986394,0.8846728080914087,471.3737478520776,-553.8244631706425,712,685,10,9,True,2014
19,2020-06-10 20:15:00,2020-10-06 04:00:00,-5.76375417071019,-60847.352108980645,-6.084735210898111,49.65034965034965,1001,6.780220070632548,0.776257438834896,424.7588780454883,-539.5883224158499,497,504,9,8,True,2020
