trade_id,entry_time,entry_price,direction,initial_size,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,tp1_distance_pips,tp2_distance_pips,tp3_distance_pips,exit_time,final_exit_price,exit_reason,trade_duration_hours,tp_hits,total_exited,total_exited_millions,position_integrity_ok,partial_pnl_total,final_pnl,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_price,partial_exit_1_pips,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_price,partial_exit_2_pips,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_price,partial_exit_3_pips,partial_exit_3_pnl
1,2011-04-14 01:00:00,1.051938,long,1000000.000000,1.000000,38.648881,False,Standard (NTI+MB+IC),1.051438,5.000000,1.052884,1.053831,1.055094,9.467440,18.934879,31.558132,2011-04-14 02:00:00,1.052884,tp1_pullback,1.000000,2,1000000.000000,1.000000,True,1517.608099,1612.287229,1612.287229,PARTIAL,0.700000,1.053700,17.622642,1233.584910,TP1,0.099990,1.052884,9.467440,94.664929,TP2,0.100005,1.053831,18.934879,189.358260
2,2011-04-14 02:15:00,1.053744,long,1000000.000000,1.000000,50.602906,False,Standard (NTI+MB+IC),1.053244,5.000000,1.054692,1.055640,1.056905,9.483692,18.967385,31.612308,2011-04-14 02:45:00,1.053120,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-623.588577,-623.588577,stop_loss,1.000000,1.053120,-6.235886,-623.588577,,,,,,,,,,
3,2011-04-14 03:15:00,1.052816,long,1000000.000000,1.000000,37.702080,False,Standard (NTI+MB+IC),1.052316,5.000000,1.053764,1.054711,1.055975,9.475347,18.950693,31.584489,2011-04-14 04:00:00,1.052777,trailing_stop,0.750000,0,1000000.000000,1.000000,True,198.596283,186.804494,186.804494,PARTIAL,0.700000,1.053100,2.837090,198.596283,trailing_stop,0.300000,1.052777,-0.393060,-11.791789,,,,,
4,2011-04-14 05:30:00,1.049124,long,1000000.000000,1.000000,11.672847,False,Standard (NTI+MB+IC),1.050021,8.967812,1.050068,1.051012,1.052271,9.442115,18.884231,31.473718,2011-04-14 06:00:00,1.049906,stop_loss,0.500000,1,1000000.000000,1.000000,True,314.705705,835.999629,835.999629,TP1,0.333300,1.050068,9.442115,314.705705,stop_loss,0.666700,1.049906,7.819018,521.293924,,,,,
5,2011-04-14 06:15:00,1.048544,long,1000000.000000,1.000000,37.616080,False,Standard (NTI+MB+IC),1.050061,15.167799,1.049488,1.050432,1.051690,9.436897,18.873794,31.456324,2011-04-14 06:30:00,1.049984,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,1440.333956,1440.333956,stop_loss,1.000000,1.049984,14.403340,1440.333956,,,,,,,,,,
6,2011-04-14 06:45:00,1.047582,short,1000000.000000,1.000000,44.774206,False,Standard (NTI+MB+IC),1.048082,5.000000,1.046639,1.045697,1.044439,9.428240,18.856480,31.427467,2011-04-14 07:15:00,1.048232,stop_loss,0.500000,1,1000000.000000,1.000000,True,314.243238,-119.150655,-119.150655,TP1,0.333300,1.046639,9.428240,314.243238,stop_loss,0.666700,1.048232,-6.500583,-433.393893,,,,,
7,2011-04-14 07:30:00,1.049196,short,1000000.000000,1.000000,45.569205,False,Standard (NTI+MB+IC),1.049696,5.000000,1.048252,1.047307,1.046048,9.442763,18.885527,31.475878,2011-04-14 08:00:00,1.049741,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-545.009868,-545.009868,stop_loss,1.000000,1.049741,-5.450099,-545.009868,,,,,,,,,,
8,2011-04-14 08:30:00,1.050371,short,1000000.000000,1.000000,31.215170,False,Standard (NTI+MB+IC),1.050871,5.000000,1.049426,1.048481,1.047220,9.453343,18.906685,31.511142,2011-04-14 09:30:00,1.050376,trailing_stop,1.000000,0,1000000.000000,1.000000,True,119.982770,118.502885,118.502885,PARTIAL,0.700000,1.050200,1.714040,119.982770,trailing_stop,0.300000,1.050376,-0.049330,-1.479886,,,,,
9,2011-04-15 02:45:00,1.051985,short,1000000.000000,1.000000,41.063063,False,Standard (NTI+MB+IC),1.052485,5.000000,1.051038,1.050091,1.048829,9.467865,18.935730,31.559550,2011-04-15 04:00:00,1.052001,trailing_stop,1.250000,1,1000000.000000,1.000000,True,294.157875,291.028017,291.028017,PARTIAL,0.700000,1.051700,2.849838,199.488694,TP1,0.099990,1.051038,9.467865,94.669181,trailing_stop,0.200010,1.052001,-0.156485,-3.129857
10,2011-04-15 12:00:00,1.056435,long,1000000.000000,1.000000,49.278720,False,Standard (NTI+MB+IC),1.055935,5.000000,1.057386,1.058337,1.059605,9.507918,19.015836,31.693059,2011-04-15 13:15:00,1.055899,stop_loss,1.250000,0,1000000.000000,1.000000,True,115.284912,-45.705906,-45.705906,PARTIAL,0.700000,1.056600,1.646927,115.284912,stop_loss,0.300000,1.055899,-5.366361,-160.990819,,,,,
