trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2019-11-22 03:45:00,0.679937,long,1.000000,36.528660,False,Standard (NTI+MB+IC),0.679437,5.000000,0.680549,0.681161,0.681977,2019-11-22 04:00:00,0.679366,stop_loss,0,0.250000,-571.169813,-5.711698,-571.169813,,,,,,,,,,
2,2019-11-24 20:30:00,0.679695,long,1.000000,50.648371,False,Standard (NTI+MB+IC),0.679195,5.000000,0.680307,0.680919,0.681734,2019-11-25 03:15:00,0.679180,stop_loss,0,6.750000,-39.308751,-5.155302,-39.308751,TP0,0.700000,115.350313,115.350313,,,,,,
3,2019-11-25 05:15:00,0.678558,short,1.000000,37.599451,False,Standard (NTI+MB+IC),0.679058,5.000000,0.677947,0.677336,0.676522,2019-11-25 06:15:00,0.678583,trailing_stop,0,1.000000,165.885770,-0.252641,165.885770,TP0,0.700000,173.465005,173.465005,,,,,,
4,2019-11-25 08:30:00,0.677673,short,1.000000,35.586516,False,Standard (NTI+MB+IC),0.678173,5.000000,0.677063,0.676453,0.675640,2019-11-25 09:45:00,0.677693,trailing_stop,0,1.250000,205.615789,-0.207010,205.615789,TP0,0.700000,211.826102,211.826102,,,,,,
5,2019-11-25 10:15:00,0.677603,short,1.000000,37.734520,False,Standard (NTI+MB+IC),0.678103,5.000000,0.676993,0.676384,0.675571,2019-11-25 14:30:00,0.677571,trailing_stop,0,4.250000,491.620976,0.327515,491.620976,TP0,0.700000,324.328906,425.154249,TP0,0.099000,60.374456,TP0,0.066330,40.450886
6,2019-11-26 23:30:00,0.677316,short,1.000000,42.358895,False,Standard (NTI+MB+IC),0.677816,5.000000,0.676706,0.676097,0.675284,2019-11-27 01:45:00,0.678013,stop_loss,0,2.250000,-697.572627,-6.975726,-697.572627,,,,,,,,,,
7,2019-11-27 02:00:00,0.677760,short,1.000000,20.419275,False,Standard (NTI+MB+IC),0.678260,5.000000,0.677150,0.676540,0.675727,2019-11-27 03:00:00,0.677782,trailing_stop,0,1.000000,189.643170,-0.215402,189.643170,TP0,0.700000,196.105239,196.105239,,,,,,
8,2019-11-27 03:15:00,0.677809,short,1.000000,30.614187,False,Standard (NTI+MB+IC),0.678309,5.000000,0.677199,0.676589,0.675775,2019-11-27 04:15:00,0.678441,stop_loss,0,1.000000,-632.631827,-6.326318,-632.631827,,,,,,,,,,
9,2019-11-27 04:30:00,0.678217,short,1.000000,13.721075,False,Standard (NTI+MB+IC),0.678327,1.101835,0.677606,0.676996,0.676182,2019-11-27 04:45:00,0.678336,stop_loss,0,0.250000,-118.759454,-1.187595,-118.759454,,,,,,,,,,
10,2019-11-27 18:00:00,0.676149,short,1.000000,33.983159,False,Standard (NTI+MB+IC),0.676649,5.000000,0.675541,0.674932,0.674121,2019-11-27 18:45:00,0.676784,stop_loss,0,0.750000,-634.411895,-6.344119,-634.411895,,,,,,,,,,
