trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2017-07-21 06:30:00,0.792290,short,1.000000,17.917906,False,Standard (NTI+MB+IC),0.792122,1.673360,0.791577,0.790864,0.789913,2017-07-21 07:15:00,0.791851,signal_flip,0,0.750000,666.715770,PPT,0.700000,489.781161,PPT,0.099000,70.593011,PPT,0.066330,47.297317,607.671489,4.384368,666.715770
2,2017-07-23 20:00:00,0.792000,long,1.000000,49.474136,False,Standard (NTI+MB+IC),0.791500,5.000000,0.792713,0.793426,0.794376,2017-07-23 20:30:00,0.791499,stop_loss,0,0.500000,-501.066886,,,,,,,,,,,-5.010669,-501.066886
3,2017-07-24 03:00:00,0.794642,long,1.000000,33.091878,False,Standard (NTI+MB+IC),0.794142,5.000000,0.795357,0.796072,0.797026,2017-07-24 06:00:00,0.795141,trailing_stop,0,3.000000,827.909814,PPT,0.700000,614.541067,PPT,0.099000,70.802610,PPT,0.066330,47.437748,732.781425,4.985532,827.909814
4,2017-07-24 06:45:00,0.795169,long,1.000000,36.920743,False,Standard (NTI+MB+IC),0.794669,5.000000,0.795885,0.796601,0.797555,2017-07-24 07:30:00,0.794636,stop_loss,0,0.750000,-532.980646,,,,,,,,,,,-5.329806,-532.980646
5,2017-07-24 07:45:00,0.794427,long,1.000000,22.715097,False,Standard (NTI+MB+IC),0.793927,5.000000,0.795142,0.795857,0.796811,2017-07-24 10:30:00,0.794396,trailing_stop,0,2.750000,375.022612,PPT,0.700000,190.776562,PPT,0.099000,70.783487,PPT,0.066330,47.424936,308.984986,-0.318440,375.022612
6,2017-07-24 11:30:00,0.792405,long,1.000000,33.831138,False,Standard (NTI+MB+IC),0.793568,11.634908,0.793118,0.793831,0.794782,2017-07-24 11:45:00,0.793402,stop_loss,0,0.250000,997.086373,,,,,,,,,,,9.970864,997.086373
7,2017-07-24 12:00:00,0.791957,short,1.000000,42.507295,False,Standard (NTI+MB+IC),0.792457,5.000000,0.791245,0.790532,0.789581,2017-07-24 12:30:00,0.791926,trailing_stop,0,0.500000,154.630442,PPT,0.700000,145.146170,,,,,,,145.146170,0.316142,154.630442
8,2017-07-24 12:45:00,0.791889,short,1.000000,50.410382,False,Standard (NTI+MB+IC),0.792389,5.000000,0.791176,0.790463,0.789513,2017-07-24 13:45:00,0.791874,trailing_stop,0,1.000000,290.546902,PPT,0.700000,286.118198,,,,,,,286.118198,0.147623,290.546902
9,2017-07-24 14:00:00,0.792314,short,1.000000,45.840261,False,Standard (NTI+MB+IC),0.792814,5.000000,0.791601,0.790888,0.789937,2017-07-24 14:45:00,0.792302,trailing_stop,0,0.750000,160.172410,PPT,0.700000,156.712015,,,,,,,156.712015,0.115347,160.172410
10,2017-07-25 00:00:00,0.794127,long,1.000000,28.988033,False,Standard (NTI+MB+IC),0.793627,5.000000,0.794842,0.795557,0.796510,2017-07-25 01:15:00,0.793443,stop_loss,0,1.250000,-684.425950,,,,,,,,,,,-6.844260,-684.425950
11,2017-07-25 02:15:00,0.793994,long,1.000000,39.047605,False,Standard (NTI+MB+IC),0.793494,5.000000,0.794708,0.795423,0.796376,2017-07-25 04:00:00,0.793461,stop_loss,0,1.750000,80.052514,PPT,0.700000,116.355052,PPT,0.099000,70.744846,,,,187.099898,-5.325741,80.052514
12,2017-07-25 04:15:00,0.793247,long,1.000000,39.504182,False,Standard (NTI+MB+IC),0.792747,5.000000,0.793961,0.794675,0.795627,2017-07-25 04:45:00,0.792624,stop_loss,0,0.500000,-622.968398,,,,,,,,,,,-6.229684,-622.968398
13,2017-07-25 05:00:00,0.792533,long,1.000000,15.189751,False,Standard (NTI+MB+IC),0.792726,1.932444,0.793246,0.793959,0.794910,2017-07-25 06:00:00,0.792814,signal_flip,0,1.000000,307.385105,PPT,0.700000,180.241631,PPT,0.099000,70.614647,,,,250.856278,2.812379,307.385105
14,2017-07-25 08:00:00,0.795793,long,1.000000,36.858362,False,Standard (NTI+MB+IC),0.795293,5.000000,0.796509,0.797226,0.798181,2017-07-25 09:15:00,0.795760,trailing_stop,0,1.250000,504.926124,PPT,0.330000,236.350577,PPT,0.469000,275.214157,,,,511.564735,-0.330279,504.926124
15,2017-07-25 09:30:00,0.795809,long,1.000000,47.850969,False,Standard (NTI+MB+IC),0.795309,5.000000,0.796525,0.797241,0.798196,2017-07-25 10:00:00,0.795846,trailing_stop,0,0.500000,296.483751,PPT,0.700000,217.990517,PPT,0.099000,70.906545,,,,288.897062,0.377447,296.483751
16,2017-07-25 10:15:00,0.795389,long,1.000000,44.082296,False,Standard (NTI+MB+IC),0.794889,5.000000,0.796105,0.796821,0.797776,2017-07-25 10:45:00,0.794772,stop_loss,0,0.500000,-616.936925,,,,,,,,,,,-6.169369,-616.936925
