trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total
1,2023-06-21 13:00:00,0.679050,short,1.000000,16.740295,False,Standard (NTI+MB+IC),0.677815,12.350198,0.678439,0.677828,0.677013,2023-06-21 13:15:00,0.677884,stop_loss,0,0.250000,1166.142552,11.661426,1166.142552,,,,,,,,,,
2,2023-06-21 13:30:00,0.678978,short,1.000000,38.206120,False,Standard (NTI+MB+IC),0.677829,11.488419,0.678367,0.677756,0.676941,2023-06-21 13:45:00,0.677948,stop_loss,0,0.250000,1029.885449,10.298854,1029.885449,,,,,,,,,,
3,2023-06-21 15:00:00,0.679972,long,1.000000,43.424611,False,Standard (NTI+MB+IC),0.679472,5.000000,0.680584,0.681196,0.682011,2023-06-21 17:00:00,0.679279,stop_loss,0,2.000000,-692.963557,-6.929636,-692.963557,,,,,,,,,,
4,2023-06-21 17:15:00,0.678924,long,1.000000,40.160023,False,Standard (NTI+MB+IC),0.678424,5.000000,0.679535,0.680146,0.680961,2023-06-21 23:15:00,0.678972,trailing_stop,0,6.000000,621.210300,0.479055,621.210300,PPT,0.700000,438.087414,PPT,0.099000,60.492143,PPT,0.066330,40.529736,539.109293
5,2023-06-22 00:15:00,0.677647,long,1.000000,42.495608,False,Standard (NTI+MB+IC),0.678526,8.793458,0.678256,0.678866,0.679680,2023-06-22 00:30:00,0.678448,stop_loss,0,0.250000,801.362651,8.013627,801.362651,,,,,,,,,,
6,2023-06-22 00:45:00,0.676273,short,1.000000,52.383898,False,Standard (NTI+MB+IC),0.676773,5.000000,0.675664,0.675056,0.674244,2023-06-22 02:30:00,0.676893,stop_loss,0,1.750000,245.478056,-6.205954,245.478056,PPT,0.700000,309.961830,PPT,0.099000,60.255907,,,,370.217737
7,2023-06-22 02:45:00,0.676723,short,1.000000,54.124325,False,Standard (NTI+MB+IC),0.677223,5.000000,0.676114,0.675505,0.674693,2023-06-22 03:00:00,0.677394,stop_loss,0,0.250000,-670.590191,-6.705902,-670.590191,,,,,,,,,,
8,2023-06-22 03:15:00,0.678265,short,1.000000,24.187593,False,Standard (NTI+MB+IC),0.678626,3.607653,0.677655,0.677045,0.676231,2023-06-22 03:30:00,0.678790,stop_loss,0,0.250000,-524.741669,-5.247417,-524.741669,,,,,,,,,,
9,2023-06-22 03:45:00,0.678656,short,1.000000,23.785969,False,Standard (NTI+MB+IC),0.678571,0.843591,0.678045,0.677434,0.676620,2023-06-22 04:00:00,0.678728,stop_loss,0,0.250000,-72.903446,-0.729034,-72.903446,,,,,,,,,,
10,2023-06-22 04:15:00,0.678903,short,1.000000,25.105000,False,Standard (NTI+MB+IC),0.678556,3.464882,0.678292,0.677681,0.676866,2023-06-22 04:45:00,0.678725,stop_loss,0,0.500000,447.087814,1.774202,447.087814,PPT,0.700000,393.861753,,,,,,,393.861753
