trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2023-06-05 10:30:00,0.662463,long,1.000000,49.882107,False,Standard (NTI+MB+IC),0.661963,5.000000,0.663059,0.663656,0.664451,2023-06-05 14:30:00,0.661770,stop_loss,0,4.000000,-28.128680,PPT,0.700000,179.798391,179.798391,-6.930902,-28.128680,,,,,,
2,2023-06-05 14:45:00,0.661678,long,1.000000,45.671179,False,Standard (NTI+MB+IC),0.661178,5.000000,0.662274,0.662869,0.663663,2023-06-05 22:00:00,0.662274,take_profit_1,1,7.250000,487.762880,PPT,0.700000,309.109708,487.762880,5.955106,487.762880,TP1,0.300000,178.653172,,,
3,2023-06-06 00:30:00,0.666437,long,1.000000,26.645571,False,Standard (NTI+MB+IC),0.665937,5.000000,0.667037,0.667637,0.668437,2023-06-06 01:00:00,0.667037,take_profit_1,1,0.500000,1273.801889,PPT,0.700000,1093.863807,1273.801889,5.997936,1273.801889,TP1,0.300000,179.938081,,,
4,2023-06-06 01:15:00,0.666908,long,1.000000,48.070830,False,Standard (NTI+MB+IC),0.666408,5.000000,0.667508,0.668108,0.668908,2023-06-06 01:30:00,0.666394,stop_loss,0,0.250000,-513.201570,,,,,-5.132016,-513.201570,,,,,,
5,2023-06-06 01:45:00,0.666000,long,1.000000,51.382218,False,Standard (NTI+MB+IC),0.665500,5.000000,0.666600,0.667199,0.667998,2023-06-06 02:00:00,0.666600,take_profit_1,1,0.250000,676.725051,PPT,0.700000,496.905014,676.725051,5.994001,676.725051,TP1,0.300000,179.820037,,,
6,2023-06-06 02:15:00,0.667307,long,1.000000,54.733664,False,Standard (NTI+MB+IC),0.666807,5.000000,0.667908,0.668508,0.669309,2023-06-06 03:30:00,0.666617,stop_loss,1,1.250000,-260.179814,TP1,0.333333,200.192178,200.192178,-6.905580,-260.179814,,,,,,
7,2023-06-06 03:45:00,0.666354,long,1.000000,51.288722,False,Standard (NTI+MB+IC),0.665854,5.000000,0.666953,0.667553,0.668353,2023-06-06 04:15:00,0.665735,stop_loss,0,0.500000,-618.476073,,,,,-6.184761,-618.476073,,,,,,
8,2023-06-06 04:30:00,0.666158,long,1.000000,48.246878,False,Standard (NTI+MB+IC),0.665658,5.000000,0.666758,0.667357,0.668157,2023-06-06 04:45:00,0.665548,stop_loss,0,0.250000,-610.104795,,,,,-6.101048,-610.104795,,,,,,
9,2023-06-06 05:00:00,0.666007,long,1.000000,43.204128,False,Standard (NTI+MB+IC),0.665507,5.000000,0.666606,0.667206,0.668005,2023-06-06 05:45:00,0.665415,stop_loss,0,0.750000,-592.239928,,,,,-5.922399,-592.239928,,,,,,
10,2023-06-06 07:00:00,0.665588,long,1.000000,14.519603,False,Standard (NTI+MB+IC),0.665088,5.000000,0.666187,0.666786,0.667585,2023-06-06 07:30:00,0.666187,take_profit_1,1,0.500000,909.084114,PPT,0.700000,729.375344,909.084114,5.990292,909.084114,TP1,0.300000,179.708770,,,
11,2023-06-06 07:45:00,0.666207,long,1.000000,28.265265,False,Standard (NTI+MB+IC),0.665707,5.000000,0.666807,0.667406,0.668206,2023-06-06 08:00:00,0.665578,stop_loss,0,0.250000,-629.388336,,,,,-6.293883,-629.388336,,,,,,
12,2023-06-06 08:15:00,0.664912,long,1.000000,12.303686,False,Standard (NTI+MB+IC),0.664412,5.000000,0.665510,0.666109,0.666906,2023-06-06 11:00:00,0.665510,take_profit_1,1,2.750000,332.359958,PPT,0.700000,152.833808,332.359958,5.984205,332.359958,TP1,0.300000,179.526150,,,
13,2023-06-06 11:15:00,0.666647,long,1.000000,24.725225,False,Standard (NTI+MB+IC),0.666147,5.000000,0.667247,0.667847,0.668647,2023-06-06 11:30:00,0.667247,take_profit_1,1,0.250000,573.873725,PPT,0.700000,393.878950,573.873725,5.999826,573.873725,TP1,0.300000,179.994775,,,
14,2023-06-06 11:45:00,0.667309,long,1.000000,30.065816,False,Standard (NTI+MB+IC),0.666809,5.000000,0.667910,0.668510,0.669311,2023-06-06 17:00:00,0.666808,stop_loss,0,5.250000,102.189045,PPT,0.700000,252.655004,252.655004,-5.015532,102.189045,,,,,,
15,2023-06-06 17:15:00,0.666399,long,1.000000,15.058830,False,Standard (NTI+MB+IC),0.665899,5.000000,0.666998,0.667598,0.668398,2023-06-06 19:00:00,0.666998,take_profit_1,1,1.750000,292.932121,PPT,0.700000,113.004509,292.932121,5.997587,292.932121,TP1,0.300000,179.927613,,,
16,2023-06-06 20:30:00,0.668899,long,1.000000,25.676995,False,Standard (NTI+MB+IC),0.668399,5.000000,0.669501,0.670103,0.670906,2023-06-06 20:45:00,0.668283,stop_loss,0,0.250000,-616.210381,,,,,-6.162104,-616.210381,,,,,,
17,2023-06-07 06:30:00,0.669930,long,1.000000,39.997712,False,Standard (NTI+MB+IC),0.669430,5.000000,0.670533,0.671136,0.671940,2023-06-07 08:15:00,0.669346,stop_loss,0,1.750000,63.023986,PPT,0.700000,238.180107,238.180107,-5.838537,63.023986,,,,,,
18,2023-06-07 13:00:00,0.664771,long,1.000000,14.678322,False,Standard (NTI+MB+IC),0.667490,27.192471,0.665369,0.665968,0.666765,2023-06-07 13:15:00,0.667479,stop_loss,0,0.250000,2708.094380,,,,,27.080944,2708.094380,,,,,,
19,2023-06-08 05:30:00,0.668046,long,1.000000,33.754972,False,Standard (NTI+MB+IC),0.667546,5.000000,0.668647,0.669248,0.670050,2023-06-08 08:15:00,0.668647,take_profit_1,1,2.750000,330.428036,PPT,0.700000,150.055714,330.428036,6.012411,330.428036,TP1,0.300000,180.372321,,,
20,2023-06-08 08:30:00,0.669533,long,1.000000,39.484767,False,Standard (NTI+MB+IC),0.669033,5.000000,0.670135,0.670738,0.671541,2023-06-08 10:00:00,0.670135,take_profit_1,1,1.500000,990.973563,PPT,0.700000,810.199768,990.973563,6.025793,990.973563,TP1,0.300000,180.773794,,,
21,2023-06-08 10:15:00,0.671070,long,1.000000,54.433623,False,Standard (NTI+MB+IC),0.670570,5.000000,0.671674,0.672278,0.673084,2023-06-08 21:15:00,0.670483,stop_loss,0,11.000000,26.485971,PPT,0.700000,202.764334,202.764334,-5.875945,26.485971,,,,,,
22,2023-06-08 22:00:00,0.670294,long,1.000000,16.892800,False,Standard (NTI+MB+IC),0.669794,5.000000,0.670897,0.671500,0.672305,2023-06-09 00:00:00,0.669612,stop_loss,0,2.000000,-74.287222,PPT,0.700000,130.253524,130.253524,-6.818025,-74.287222,,,,,,
23,2023-06-09 00:15:00,0.669601,long,1.000000,20.735497,False,Standard (NTI+MB+IC),0.669698,0.966869,0.670204,0.670807,0.671610,2023-06-09 00:30:00,0.669643,stop_loss,0,0.250000,41.181029,,,,,0.411810,41.181029,,,,,,
24,2023-06-09 00:45:00,0.669627,long,1.000000,46.411890,False,Standard (NTI+MB+IC),0.669705,0.781399,0.670230,0.670832,0.671636,2023-06-09 01:00:00,0.669614,stop_loss,0,0.250000,40.147384,PPT,0.700000,44.102978,44.102978,-0.131853,40.147384,,,,,,
25,2023-06-09 01:15:00,0.669444,short,1.000000,45.657583,False,Standard (NTI+MB+IC),0.669944,5.000000,0.668841,0.668239,0.667435,2023-06-09 01:30:00,0.670094,stop_loss,0,0.250000,-650.527605,,,,,-6.505276,-650.527605,,,,,,
26,2023-06-09 02:15:00,0.671412,long,1.000000,42.093350,False,Standard (NTI+MB+IC),0.670912,5.000000,0.672016,0.672620,0.673426,2023-06-09 02:30:00,0.672016,take_profit_1,1,0.250000,347.970094,PPT,0.700000,166.688889,347.970094,6.042707,347.970094,TP1,0.300000,181.281206,,,
27,2023-06-09 02:45:00,0.671481,long,1.000000,47.620706,False,Standard (NTI+MB+IC),0.670981,5.000000,0.672086,0.672690,0.673496,2023-06-09 03:45:00,0.672086,take_profit_1,1,1.000000,733.293963,PPT,0.700000,551.993975,733.293963,6.043333,733.293963,TP1,0.300000,181.299988,,,
28,2023-06-09 04:00:00,0.671239,long,1.000000,42.600257,False,Standard (NTI+MB+IC),0.670739,5.000000,0.671843,0.672447,0.673253,2023-06-09 05:15:00,0.671843,take_profit_1,1,1.250000,307.891670,PPT,0.700000,126.657124,307.891670,6.041152,307.891670,TP1,0.300000,181.234547,,,
29,2023-06-09 05:30:00,0.671344,long,1.000000,33.894701,False,Standard (NTI+MB+IC),0.670844,5.000000,0.671948,0.672553,0.673358,2023-06-09 05:45:00,0.670818,stop_loss,0,0.250000,-526.673425,,,,,-5.266734,-526.673425,,,,,,
30,2023-06-09 08:30:00,0.673648,long,1.000000,39.014159,False,Standard (NTI+MB+IC),0.673148,5.000000,0.674254,0.674860,0.675668,2023-06-09 10:15:00,0.674254,take_profit_1,1,1.750000,442.608003,PPT,0.700000,260.723167,442.608003,6.062828,442.608003,TP1,0.300000,181.884835,,,
31,2023-06-09 10:30:00,0.674380,long,1.000000,50.730430,False,Standard (NTI+MB+IC),0.673880,5.000000,0.674987,0.675594,0.676403,2023-06-09 12:30:00,0.673830,stop_loss,0,2.000000,-549.208160,,,,,-5.492082,-549.208160,,,,,,
32,2023-06-09 12:45:00,0.674091,long,1.000000,48.322078,False,Standard (NTI+MB+IC),0.673591,5.000000,0.674698,0.675304,0.676113,2023-06-11 20:30:00,0.674698,take_profit_1,1,55.750000,307.419062,PPT,0.700000,125.414536,307.419062,6.066818,307.419062,TP1,0.300000,182.004526,,,
33,2023-06-11 20:45:00,0.674418,long,1.000000,37.150854,False,Standard (NTI+MB+IC),0.673918,5.000000,0.675025,0.675632,0.676442,2023-06-11 21:45:00,0.673903,stop_loss,0,1.000000,-515.470118,,,,,-5.154701,-515.470118,,,,,,
34,2023-06-11 22:30:00,0.673344,long,1.000000,12.283519,False,Standard (NTI+MB+IC),0.672844,5.000000,0.673950,0.674556,0.675364,2023-06-11 23:00:00,0.673950,take_profit_1,1,0.500000,360.833681,PPT,0.700000,179.030736,360.833681,6.060098,360.833681,TP1,0.300000,181.802945,,,
35,2023-06-12 02:15:00,0.675634,long,1.000000,26.872240,False,Standard (NTI+MB+IC),0.675134,5.000000,0.676242,0.676850,0.677661,2023-06-12 02:30:00,0.675064,stop_loss,0,0.250000,-569.782999,,,,,-5.697830,-569.782999,,,,,,
36,2023-06-12 02:45:00,0.674984,long,1.000000,35.108097,False,Standard (NTI+MB+IC),0.674484,5.000000,0.675591,0.676199,0.677009,2023-06-12 03:45:00,0.675591,take_profit_1,1,1.000000,529.499609,PPT,0.700000,347.253950,529.499609,6.074855,529.499609,TP1,0.300000,182.245659,,,
37,2023-06-12 04:00:00,0.676652,long,1.000000,40.942042,False,Standard (NTI+MB+IC),0.676152,5.000000,0.677261,0.677870,0.678682,2023-06-12 04:45:00,0.677261,take_profit_1,1,0.750000,328.553114,PPT,0.700000,145.857173,328.553114,6.089865,328.553114,TP1,0.300000,182.695941,,,
38,2023-06-12 05:00:00,0.677259,long,1.000000,54.177377,False,Standard (NTI+MB+IC),0.676759,5.000000,0.677869,0.678478,0.679291,2023-06-12 05:30:00,0.676571,stop_loss,0,0.500000,-687.814729,,,,,-6.878147,-687.814729,,,,,,
39,2023-06-12 05:45:00,0.676672,long,1.000000,50.717970,False,Standard (NTI+MB+IC),0.676172,5.000000,0.677281,0.677890,0.678702,2023-06-12 09:00:00,0.675980,stop_loss,0,3.250000,15.024366,PPT,0.700000,222.595758,222.595758,-6.919046,15.024366,,,,,,
40,2023-06-12 09:15:00,0.675709,long,1.000000,19.941249,False,Standard (NTI+MB+IC),0.675209,5.000000,0.676318,0.676926,0.677737,2023-06-12 09:30:00,0.675201,stop_loss,0,0.250000,-508.766842,,,,,-5.087668,-508.766842,,,,,,
41,2023-06-12 09:45:00,0.674773,long,1.000000,21.547780,False,Standard (NTI+MB+IC),0.674632,1.411872,0.675381,0.675988,0.676798,2023-06-12 10:15:00,0.674485,stop_loss,0,0.500000,43.974489,PPT,0.700000,130.565958,130.565958,-2.886382,43.974489,,,,,,
42,2023-06-12 10:30:00,0.674512,long,1.000000,25.366927,False,Standard (NTI+MB+IC),0.674689,1.770908,0.675119,0.675726,0.676536,2023-06-12 12:00:00,0.675119,take_profit_1,1,1.500000,390.501307,PPT,0.700000,208.382983,390.501307,6.070611,390.501307,TP1,0.300000,182.118324,,,
43,2023-06-12 12:15:00,0.674511,long,1.000000,22.177208,False,Standard (NTI+MB+IC),0.674699,1.878113,0.675118,0.675725,0.676535,2023-06-12 12:30:00,0.674511,stop_loss,0,0.250000,111.174725,PPT,0.700000,111.277415,111.277415,-0.003423,111.174725,,,,,,
44,2023-06-13 00:45:00,0.676167,long,1.000000,36.705436,False,Standard (NTI+MB+IC),0.675667,5.000000,0.676776,0.677384,0.678196,2023-06-13 02:15:00,0.676776,take_profit_1,1,1.500000,303.481868,PPT,0.700000,120.916707,303.481868,6.085505,303.481868,TP1,0.300000,182.565161,,,
45,2023-06-13 02:30:00,0.676446,long,1.000000,44.597872,False,Standard (NTI+MB+IC),0.675946,5.000000,0.677055,0.677664,0.678476,2023-06-13 03:00:00,0.677055,take_profit_1,1,0.500000,290.100864,PPT,0.700000,107.460313,290.100864,6.088018,290.100864,TP1,0.300000,182.640551,,,
46,2023-06-13 03:15:00,0.677642,long,1.000000,53.794508,False,Standard (NTI+MB+IC),0.677142,5.000000,0.678252,0.678862,0.679675,2023-06-13 03:30:00,0.678252,take_profit_1,1,0.250000,783.383999,PPT,0.700000,600.420589,783.383999,6.098780,783.383999,TP1,0.300000,182.963409,,,
47,2023-06-13 03:45:00,0.677492,long,1.000000,59.492851,False,Standard (NTI+MB+IC),0.676992,5.000000,0.678102,0.678712,0.679525,2023-06-13 04:30:00,0.678102,take_profit_1,1,0.750000,398.270617,PPT,0.700000,215.347680,398.270617,6.097431,398.270617,TP1,0.300000,182.922937,,,
48,2023-06-13 04:45:00,0.677895,long,1.000000,52.580703,False,Standard (NTI+MB+IC),0.677395,5.000000,0.678505,0.679115,0.679928,2023-06-13 05:30:00,0.677208,stop_loss,0,0.750000,-686.432663,,,,,-6.864327,-686.432663,,,,,,
49,2023-06-13 05:45:00,0.677503,long,1.000000,35.091109,False,Standard (NTI+MB+IC),0.677003,5.000000,0.678112,0.678722,0.679535,2023-06-13 08:15:00,0.678112,take_profit_1,1,2.500000,454.112630,PPT,0.700000,271.186931,454.112630,6.097523,454.112630,TP1,0.300000,182.925699,,,
