trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2011-05-31 19:15:00,1.069147,long,1.000000,38.048651,False,Standard (NTI+MB+IC),1.068647,5.000000,1.070109,1.071071,1.072354,2011-05-31 19:30:00,1.068447,stop_loss,0,0.250000,-699.089349,-6.990893,-699.089349,,,,,,,,,,
2,2011-05-31 19:45:00,1.068535,long,1.000000,36.261317,False,Standard (NTI+MB+IC),1.068035,5.000000,1.069496,1.070458,1.071740,2011-05-31 20:00:00,1.067861,stop_loss,0,0.250000,-673.539481,-6.735395,-673.539481,,,,,,,,,,
3,2011-05-31 22:00:00,1.073130,long,1.000000,40.395549,False,Standard (NTI+MB+IC),1.072630,5.000000,1.074095,1.075061,1.076349,2011-05-31 23:00:00,1.072629,stop_loss,0,1.000000,-500.136075,-5.001361,-500.136075,,,,,,,,,,
4,2011-05-31 23:15:00,1.073442,long,1.000000,49.658551,False,Standard (NTI+MB+IC),1.072942,5.000000,1.074408,1.075374,1.076662,2011-05-31 23:30:00,1.074408,take_profit_1,1,0.250000,540.507601,9.660977,540.507601,PPT,0.700000,250.678291,TP1,0.300000,289.829310,540.507601,,,
5,2011-05-31 23:45:00,1.074044,long,1.000000,53.579821,False,Standard (NTI+MB+IC),1.073544,5.000000,1.075010,1.075977,1.077266,2011-06-01 02:30:00,1.073473,stop_loss,0,2.750000,148.056021,-5.708264,148.056021,PPT,0.700000,319.303928,,,,319.303928,,,
6,2011-06-01 02:45:00,1.074142,long,1.000000,17.687274,False,Standard (NTI+MB+IC),1.073642,5.000000,1.075109,1.076076,1.077365,2011-06-01 03:30:00,1.073608,stop_loss,0,0.750000,20.006895,-5.344790,20.006895,PPT,0.700000,180.350606,,,,180.350606,,,
7,2011-06-01 04:45:00,1.071746,long,1.000000,14.178970,False,Standard (NTI+MB+IC),1.071246,5.000000,1.072711,1.073675,1.074961,2011-06-01 05:00:00,1.072711,take_profit_1,1,0.250000,957.137694,9.645714,957.137694,PPT,0.700000,667.766261,TP1,0.300000,289.371433,957.137694,,,
8,2011-06-01 05:15:00,1.072804,long,1.000000,16.866736,False,Standard (NTI+MB+IC),1.072304,5.000000,1.073769,1.074735,1.076022,2011-06-01 06:00:00,1.073769,take_profit_1,1,0.750000,567.041657,9.655234,567.041657,PPT,0.700000,277.384648,TP1,0.300000,289.657009,567.041657,,,
9,2011-06-01 11:00:00,1.070488,short,1.000000,43.325765,False,Standard (NTI+MB+IC),1.070988,5.000000,1.069525,1.068561,1.067277,2011-06-01 11:15:00,1.071088,stop_loss,0,0.250000,-600.463966,-6.004640,-600.463966,,,,,,,,,,
10,2011-06-01 11:30:00,1.071675,short,1.000000,37.273278,False,Standard (NTI+MB+IC),1.072175,5.000000,1.070711,1.069746,1.068460,2011-06-01 12:00:00,1.070711,take_profit_1,1,0.500000,482.154584,9.645079,482.154584,PPT,0.700000,192.802218,TP1,0.300000,289.352367,482.154584,,,
11,2011-06-01 12:15:00,1.068783,short,1.000000,39.502297,False,Standard (NTI+MB+IC),1.069283,5.000000,1.067821,1.066860,1.065577,2011-06-01 12:30:00,1.069442,stop_loss,0,0.250000,-658.494883,-6.584949,-658.494883,,,,,,,,,,
12,2011-06-01 12:45:00,1.068687,short,1.000000,39.699655,False,Standard (NTI+MB+IC),1.069187,5.000000,1.067725,1.066763,1.065480,2011-06-01 13:00:00,1.067725,take_profit_1,1,0.250000,1819.105282,9.618179,1819.105282,PPT,0.700000,1530.559923,TP1,0.300000,288.545359,1819.105282,,,
13,2011-06-01 13:15:00,1.066457,short,1.000000,45.500181,False,Standard (NTI+MB+IC),1.066957,5.000000,1.065497,1.064537,1.063258,2011-06-01 13:30:00,1.067051,stop_loss,0,0.250000,-594.154303,-5.941543,-594.154303,,,,,,,,,,
