trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl
1,2020-10-07 03:15:00,0.713915,long,1.000000,59.048767,False,Standard (NTI+MB+IC),0.713415,5.000000,0.714558,0.715200,0.716057,2020-10-07 04:15:00,0.713398,stop_loss,0,1.000000,57.967878,PPT,0.700000,213.248995,213.248995,-5.176037,57.967878,,,
2,2020-10-07 04:30:00,0.713189,long,1.000000,47.755812,False,Standard (NTI+MB+IC),0.712689,5.000000,0.713831,0.714473,0.715329,2020-10-07 05:15:00,0.712517,stop_loss,0,0.750000,134.687426,PPT,0.700000,336.395637,336.395637,-6.723607,134.687426,,,
3,2020-10-07 05:45:00,0.712538,long,1.000000,17.498471,False,Standard (NTI+MB+IC),0.712246,2.924535,0.713180,0.713821,0.714676,2020-10-07 06:30:00,0.712182,stop_loss,0,0.750000,-356.226493,,,,,-3.562265,-356.226493,,,
4,2020-10-07 08:45:00,0.714385,long,1.000000,40.968980,False,Standard (NTI+MB+IC),0.713885,5.000000,0.715028,0.715671,0.716528,2020-10-07 09:30:00,0.715028,take_profit_1,1,0.750000,420.301485,PPT,0.700000,227.417503,420.301485,6.429466,420.301485,TP1,0.300000,192.883982
5,2020-10-07 09:45:00,0.714097,long,1.000000,48.157667,False,Standard (NTI+MB+IC),0.713597,5.000000,0.714740,0.715382,0.716239,2020-10-07 11:30:00,0.714740,take_profit_1,1,1.750000,299.888969,PPT,0.700000,107.082772,299.888969,6.426873,299.888969,TP1,0.300000,192.806197
6,2020-10-07 11:45:00,0.713973,long,1.000000,43.929450,False,Standard (NTI+MB+IC),0.713473,5.000000,0.714616,0.715259,0.716115,2020-10-07 12:15:00,0.713375,stop_loss,0,0.500000,-598.641647,,,,,-5.986416,-598.641647,,,
7,2020-10-07 12:45:00,0.714322,long,1.000000,30.068113,False,Standard (NTI+MB+IC),0.713822,5.000000,0.714965,0.715608,0.716465,2020-10-07 14:00:00,0.713776,stop_loss,0,1.250000,-546.785359,,,,,-5.467854,-546.785359,,,
8,2020-10-08 02:30:00,0.716079,long,1.000000,47.457510,False,Standard (NTI+MB+IC),0.715579,5.000000,0.716723,0.717368,0.718227,2020-10-08 03:30:00,0.716723,take_profit_1,1,1.000000,299.098068,PPT,0.700000,105.756760,299.098068,6.444710,299.098068,TP1,0.300000,193.341308
9,2020-10-08 03:45:00,0.716575,long,1.000000,63.456434,False,Standard (NTI+MB+IC),0.716075,5.000000,0.717220,0.717865,0.718725,2020-10-08 04:15:00,0.715926,stop_loss,0,0.500000,-649.275689,,,,,-6.492757,-649.275689,,,
10,2020-10-08 04:30:00,0.716518,long,1.000000,53.516906,False,Standard (NTI+MB+IC),0.716018,5.000000,0.717163,0.717808,0.718668,2020-10-08 05:30:00,0.715882,stop_loss,0,1.000000,-635.864032,,,,,-6.358640,-635.864032,,,
11,2020-10-08 06:00:00,0.716107,long,1.000000,30.638737,False,Standard (NTI+MB+IC),0.715607,5.000000,0.716752,0.717396,0.718256,2020-10-08 07:30:00,0.715498,stop_loss,0,1.500000,-609.588655,,,,,-6.095887,-609.588655,,,
12,2020-10-09 07:45:00,0.718763,long,1.000000,34.471871,False,Standard (NTI+MB+IC),0.718263,5.000000,0.719410,0.720056,0.720919,2020-10-09 08:15:00,0.719410,take_profit_1,1,0.500000,325.216269,PPT,0.700000,131.150356,325.216269,6.468864,325.216269,TP1,0.300000,194.065913
13,2020-10-09 08:30:00,0.720291,long,1.000000,38.764296,False,Standard (NTI+MB+IC),0.719791,5.000000,0.720940,0.721588,0.722452,2020-10-09 08:45:00,0.720940,take_profit_1,1,0.250000,746.487555,PPT,0.700000,552.008873,746.487555,6.482623,746.487555,TP1,0.300000,194.478682
14,2020-10-09 09:00:00,0.721709,long,1.000000,49.341008,False,Standard (NTI+MB+IC),0.721209,5.000000,0.722358,0.723008,0.723874,2020-10-09 10:45:00,0.722358,take_profit_1,1,1.750000,433.907585,PPT,0.700000,239.046289,433.907585,6.495377,433.907585,TP1,0.300000,194.861296
15,2020-10-09 11:00:00,0.722669,long,1.000000,62.751867,False,Standard (NTI+MB+IC),0.722169,5.000000,0.723320,0.723970,0.724837,2020-10-09 11:30:00,0.723320,take_profit_1,1,0.500000,475.518607,PPT,0.700000,280.397861,475.518607,6.504025,475.518607,TP1,0.300000,195.120747
16,2020-10-09 11:45:00,0.723661,long,1.000000,69.213435,False,Standard (NTI+MB+IC),0.723161,5.000000,0.724312,0.724964,0.725832,2020-10-09 13:15:00,0.723016,stop_loss,0,1.500000,-644.725557,,,,,-6.447256,-644.725557,,,
17,2020-10-09 13:30:00,0.723441,long,1.000000,51.252875,False,Standard (NTI+MB+IC),0.722941,5.000000,0.724092,0.724743,0.725612,2020-10-09 16:15:00,0.724092,take_profit_1,1,2.750000,341.418396,PPT,0.700000,146.089245,341.418396,6.510972,341.418396,TP1,0.300000,195.329151
18,2020-10-09 16:30:00,0.724036,long,1.000000,45.278839,False,Standard (NTI+MB+IC),0.723536,5.000000,0.724687,0.725339,0.726208,2020-10-11 17:00:00,0.723391,stop_loss,0,48.500000,-644.897425,,,,,-6.448974,-644.897425,,,
19,2020-10-11 17:15:00,0.722729,long,1.000000,23.588200,False,Standard (NTI+MB+IC),0.722229,5.000000,0.723379,0.724030,0.724897,2020-10-11 20:00:00,0.722177,stop_loss,0,2.750000,115.086902,PPT,0.700000,280.693148,280.693148,-5.520208,115.086902,,,
20,2020-10-11 20:15:00,0.721891,long,1.000000,21.090231,False,Standard (NTI+MB+IC),0.721852,0.388443,0.722541,0.723190,0.724057,2020-10-11 21:00:00,0.721673,stop_loss,0,0.750000,18.049301,PPT,0.700000,83.304390,83.304390,-2.175170,18.049301,,,
21,2020-10-11 21:15:00,0.722175,long,1.000000,42.137363,False,Standard (NTI+MB+IC),0.721866,3.094367,0.722825,0.723475,0.724342,2020-10-11 21:30:00,0.722825,take_profit_1,1,0.250000,751.473307,PPT,0.700000,556.486052,751.473307,6.499575,751.473307,TP1,0.300000,194.987255
22,2020-10-12 06:00:00,0.721244,short,1.000000,48.374400,False,Standard (NTI+MB+IC),0.721744,5.000000,0.720595,0.719946,0.719081,2020-10-12 07:30:00,0.720595,take_profit_1,1,1.500000,330.866255,PPT,0.700000,136.130248,330.866255,6.491200,330.866255,TP1,0.300000,194.736007
23,2020-10-12 07:45:00,0.721066,short,1.000000,51.599957,False,Standard (NTI+MB+IC),0.721566,5.000000,0.720417,0.719768,0.718903,2020-10-12 08:30:00,0.721641,stop_loss,0,0.750000,-574.622066,,,,,-5.746221,-574.622066,,,
24,2020-10-12 09:00:00,0.720911,short,1.000000,31.604016,False,Standard (NTI+MB+IC),0.721411,5.000000,0.720263,0.719614,0.718749,2020-10-12 12:30:00,0.721530,stop_loss,0,3.500000,11.259889,PPT,0.700000,196.977437,196.977437,-6.190585,11.259889,,,
25,2020-10-12 20:00:00,0.718485,short,1.000000,39.775764,False,Standard (NTI+MB+IC),0.718985,5.000000,0.717838,0.717191,0.716329,2020-10-12 20:15:00,0.717838,take_profit_1,1,0.250000,722.164457,PPT,0.700000,528.173633,722.164457,6.466361,722.164457,TP1,0.300000,193.990824
26,2020-10-12 20:30:00,0.717627,short,1.000000,51.328982,False,Standard (NTI+MB+IC),0.718127,5.000000,0.716981,0.716335,0.715474,2020-10-12 22:00:00,0.716981,take_profit_1,1,1.500000,303.500630,PPT,0.700000,109.741401,303.500630,6.458641,303.500630,TP1,0.300000,193.759229
27,2020-10-12 22:15:00,0.716537,short,1.000000,66.794058,False,Standard (NTI+MB+IC),0.717037,5.000000,0.715892,0.715247,0.714387,2020-10-12 22:45:00,0.717229,stop_loss,0,0.500000,-691.712996,,,,,-6.917130,-691.712996,,,
28,2020-10-12 23:00:00,0.717090,short,1.000000,64.882143,False,Standard (NTI+MB+IC),0.717590,5.000000,0.716444,0.715799,0.714938,2020-10-13 00:15:00,0.717707,stop_loss,0,1.250000,-617.678952,,,,,-6.176790,-617.678952,,,
29,2020-10-13 00:30:00,0.718069,short,1.000000,19.270433,False,Standard (NTI+MB+IC),0.718569,5.000000,0.717423,0.716776,0.715915,2020-10-13 01:00:00,0.718679,stop_loss,0,0.500000,-609.554669,,,,,-6.095547,-609.554669,,,
30,2020-10-13 01:15:00,0.718686,short,1.000000,19.576513,False,Standard (NTI+MB+IC),0.719186,5.000000,0.718039,0.717392,0.716530,2020-10-13 02:45:00,0.718039,take_profit_1,1,1.500000,317.217374,PPT,0.700000,123.172165,317.217374,6.468174,317.217374,TP1,0.300000,194.045209
31,2020-10-13 05:00:00,0.719981,short,1.000000,20.047186,False,Standard (NTI+MB+IC),0.719182,7.994188,0.719333,0.718685,0.717821,2020-10-13 05:15:00,0.719243,stop_loss,0,0.250000,738.507070,,,,,7.385071,738.507070,,,
32,2020-10-13 05:45:00,0.719614,long,1.000000,41.379408,False,Standard (NTI+MB+IC),0.719114,5.000000,0.720262,0.720910,0.721773,2020-10-13 06:30:00,0.719073,stop_loss,0,0.750000,-541.437647,,,,,-5.414376,-541.437647,,,
33,2020-10-13 09:45:00,0.716473,short,1.000000,37.039372,False,Standard (NTI+MB+IC),0.716973,5.000000,0.715829,0.715184,0.714324,2020-10-13 10:00:00,0.715829,take_profit_1,1,0.250000,755.776478,PPT,0.700000,562.328680,755.776478,6.448260,755.776478,TP1,0.300000,193.447798
