trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total
1,2013-11-13 08:30:00,0.931195,long,1.000000,43.475136,False,Standard (NTI+MB+IC),0.930695,5.000000,0.932033,0.932871,0.933989,2013-11-13 08:45:00,0.930549,stop_loss,0,0.250000,-646.189896,-6.461899,-646.189896,,,,,,,
2,2013-11-13 12:30:00,0.932836,long,1.000000,41.539722,False,Standard (NTI+MB+IC),0.932336,5.000000,0.933675,0.934515,0.935634,2013-11-13 13:00:00,0.932139,stop_loss,0,0.500000,-696.231293,-6.962313,-696.231293,,,,,,,
3,2013-11-13 13:15:00,0.932438,long,1.000000,39.911361,False,Standard (NTI+MB+IC),0.931938,5.000000,0.933277,0.934117,0.935235,2013-11-13 16:30:00,0.933277,take_profit_1,1,3.250000,512.028618,8.391944,512.028618,PPT,0.700000,260.270308,TP1,0.300000,251.758310,512.028618
4,2013-11-13 16:45:00,0.935895,long,1.000000,37.184676,False,Standard (NTI+MB+IC),0.935395,5.000000,0.936738,0.937580,0.938703,2013-11-13 17:15:00,0.936738,take_profit_1,1,0.500000,878.920557,8.423058,878.920557,PPT,0.700000,626.228802,TP1,0.300000,252.691755,878.920557
5,2013-11-13 17:30:00,0.935218,long,1.000000,49.898417,False,Standard (NTI+MB+IC),0.934718,5.000000,0.936059,0.936901,0.938023,2013-11-13 18:15:00,0.936059,take_profit_1,1,0.750000,415.234566,8.416958,415.234566,PPT,0.700000,162.725832,TP1,0.300000,252.508734,415.234566
6,2013-11-13 18:30:00,0.936323,long,1.000000,51.454973,False,Standard (NTI+MB+IC),0.935823,5.000000,0.937166,0.938008,0.939132,2013-11-13 19:00:00,0.935694,stop_loss,0,0.500000,-629.272301,-6.292723,-629.272301,,,,,,,
7,2013-11-13 19:15:00,0.937948,long,1.000000,52.839968,False,Standard (NTI+MB+IC),0.937448,5.000000,0.938792,0.939636,0.940762,2013-11-13 19:45:00,0.937354,stop_loss,0,0.500000,-594.340966,-5.943410,-594.340966,,,,,,,
8,2013-11-13 20:00:00,0.937507,long,1.000000,57.127640,False,Standard (NTI+MB+IC),0.937007,5.000000,0.938351,0.939195,0.940320,2013-11-13 20:15:00,0.936876,stop_loss,0,0.250000,-631.639617,-6.316396,-631.639617,,,,,,,
9,2013-11-13 20:30:00,0.936042,long,1.000000,45.805534,False,Standard (NTI+MB+IC),0.935542,5.000000,0.936885,0.937727,0.938850,2013-11-13 22:15:00,0.935485,stop_loss,0,1.750000,202.372939,-5.572689,202.372939,PPT,0.700000,369.553618,,,,369.553618
10,2013-11-13 22:30:00,0.934734,long,1.000000,12.967204,False,Standard (NTI+MB+IC),0.934234,5.000000,0.935576,0.936417,0.937539,2013-11-13 23:00:00,0.934085,stop_loss,0,0.500000,-649.506444,-6.495064,-649.506444,,,,,,,
11,2013-11-13 23:15:00,0.934223,long,1.000000,16.050305,False,Standard (NTI+MB+IC),0.933723,5.000000,0.935064,0.935905,0.937026,2013-11-14 00:00:00,0.935064,take_profit_1,1,0.750000,480.977791,8.408009,480.977791,PPT,0.700000,228.737518,TP1,0.300000,252.240273,480.977791
12,2013-11-14 03:15:00,0.932134,short,1.000000,49.874044,False,Standard (NTI+MB+IC),0.932634,5.000000,0.931295,0.930456,0.929337,2013-11-14 03:30:00,0.931295,take_profit_1,1,0.250000,611.402229,8.389205,611.402229,PPT,0.700000,359.726078,TP1,0.300000,251.676151,611.402229
