trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2023-07-30 22:00:00,0.667152,long,1.000000,40.628103,False,Standard (NTI+MB+IC),0.666652,5.000000,0.667752,0.668352,0.669153,2023-07-30 22:15:00,0.667752,take_profit_1,1,0.250000,452.032811,PPT,0.700000,271.901888,TP1,0.300000,180.130924,452.032811,6.004364,452.032811
2,2023-07-30 22:30:00,0.667602,long,1.000000,41.705910,False,Standard (NTI+MB+IC),0.667102,5.000000,0.668203,0.668804,0.669605,2023-07-31 01:45:00,0.668203,take_profit_1,1,3.250000,297.675848,PPT,0.700000,117.423240,TP1,0.300000,180.252608,297.675848,6.008420,297.675848
3,2023-07-31 02:00:00,0.669000,long,1.000000,31.222658,False,Standard (NTI+MB+IC),0.668500,5.000000,0.669602,0.670204,0.671007,2023-07-31 02:15:00,0.669602,take_profit_1,1,0.250000,530.783204,PPT,0.700000,350.153263,TP1,0.300000,180.629941,530.783204,6.020998,530.783204
4,2023-07-31 02:30:00,0.669197,long,1.000000,42.004510,False,Standard (NTI+MB+IC),0.668697,5.000000,0.669799,0.670401,0.671204,2023-07-31 04:15:00,0.668661,stop_loss,0,1.750000,30.291517,PPT,0.700000,191.165708,,,,191.165708,-5.362473,30.291517
5,2023-07-31 04:30:00,0.668799,long,1.000000,38.006751,False,Standard (NTI+MB+IC),0.668299,5.000000,0.669401,0.670003,0.670806,2023-07-31 05:00:00,0.669401,take_profit_1,1,0.500000,531.194385,PPT,0.700000,350.618623,TP1,0.300000,180.575761,531.194385,6.019192,531.194385
6,2023-07-31 05:15:00,0.669789,long,1.000000,42.738603,False,Standard (NTI+MB+IC),0.669289,5.000000,0.670392,0.670994,0.671798,2023-07-31 06:45:00,0.670392,take_profit_1,1,1.500000,307.738620,PPT,0.700000,126.895666,TP1,0.300000,180.842955,307.738620,6.028098,307.738620
7,2023-07-31 07:00:00,0.670658,long,1.000000,62.518026,False,Standard (NTI+MB+IC),0.670158,5.000000,0.671262,0.671865,0.672670,2023-07-31 08:30:00,0.671262,take_profit_1,1,1.500000,343.307114,PPT,0.700000,162.229389,TP1,0.300000,181.077726,343.307114,6.035924,343.307114
8,2023-07-31 08:45:00,0.671187,long,1.000000,70.304720,False,Standard (NTI+MB+IC),0.670687,5.000000,0.671791,0.672395,0.673200,2023-07-31 09:15:00,0.670499,stop_loss,0,0.500000,-687.580784,,,,,,,,-6.875808,-687.580784
9,2023-07-31 09:30:00,0.671465,long,1.000000,55.348256,False,Standard (NTI+MB+IC),0.670965,5.000000,0.672069,0.672674,0.673479,2023-07-31 09:45:00,0.672069,take_profit_1,1,0.250000,345.845325,PPT,0.700000,164.549794,TP1,0.300000,181.295531,345.845325,6.043184,345.845325
10,2023-07-31 10:00:00,0.671671,long,1.000000,52.906221,False,Standard (NTI+MB+IC),0.671171,5.000000,0.672275,0.672880,0.673686,2023-07-31 10:15:00,0.672275,take_profit_1,1,0.250000,957.692019,PPT,0.700000,776.340865,TP1,0.300000,181.351154,957.692019,6.045038,957.692019
11,2023-07-31 10:30:00,0.673077,long,1.000000,55.469544,False,Standard (NTI+MB+IC),0.672577,5.000000,0.673683,0.674289,0.675096,2023-07-31 10:45:00,0.673683,take_profit_1,1,0.250000,666.790389,PPT,0.700000,485.059584,TP1,0.300000,181.730806,666.790389,6.057694,666.790389
12,2023-07-31 11:00:00,0.673397,long,1.000000,59.851174,False,Standard (NTI+MB+IC),0.672897,5.000000,0.674003,0.674609,0.675417,2023-07-31 11:45:00,0.672829,stop_loss,0,0.750000,-567.651051,,,,,,,,-5.676511,-567.651051
13,2023-07-31 12:00:00,0.673043,long,1.000000,58.402418,False,Standard (NTI+MB+IC),0.672543,5.000000,0.673649,0.674255,0.675063,2023-07-31 12:45:00,0.672435,stop_loss,0,0.750000,-608.538945,,,,,,,,-6.085389,-608.538945
14,2023-07-31 13:00:00,0.672514,long,1.000000,19.931587,False,Standard (NTI+MB+IC),0.672014,5.000000,0.673120,0.673725,0.674532,2023-07-31 14:45:00,0.671956,stop_loss,0,1.750000,81.675664,PPT,0.700000,249.033501,,,,249.033501,-5.578595,81.675664
15,2023-07-31 17:00:00,0.671043,long,1.000000,18.524280,False,Standard (NTI+MB+IC),0.670883,1.594280,0.671647,0.672251,0.673056,2023-07-31 17:30:00,0.671647,take_profit_1,1,0.500000,291.214513,PPT,0.700000,110.032954,TP1,0.300000,181.181559,291.214513,6.039385,291.214513
16,2023-07-31 22:30:00,0.669520,short,1.000000,39.770048,False,Standard (NTI+MB+IC),0.670020,5.000000,0.668917,0.668315,0.667511,2023-07-31 22:45:00,0.668917,take_profit_1,1,0.250000,418.588133,PPT,0.700000,237.817803,TP1,0.300000,180.770330,418.588133,6.025678,418.588133
17,2023-07-31 23:00:00,0.669631,short,1.000000,48.185413,False,Standard (NTI+MB+IC),0.670131,5.000000,0.669028,0.668425,0.667622,2023-08-01 00:00:00,0.669028,take_profit_1,1,1.000000,293.365427,PPT,0.700000,112.565109,TP1,0.300000,180.800318,293.365427,6.026677,293.365427
18,2023-08-01 00:30:00,0.666741,short,1.000000,52.173072,False,Standard (NTI+MB+IC),0.667241,5.000000,0.666141,0.665541,0.664741,2023-08-01 00:45:00,0.667251,stop_loss,0,0.250000,-510.242977,,,,,,,,-5.102430,-510.242977
19,2023-08-01 01:00:00,0.666701,short,1.000000,52.791330,False,Standard (NTI+MB+IC),0.667201,5.000000,0.666101,0.665501,0.664700,2023-08-01 01:15:00,0.667280,stop_loss,0,0.250000,-579.143003,,,,,,,,-5.791430,-579.143003
20,2023-08-01 01:30:00,0.667569,short,1.000000,51.862753,False,Standard (NTI+MB+IC),0.668069,5.000000,0.666968,0.666367,0.665566,2023-08-01 02:00:00,0.666968,tp1_pullback,2,0.500000,801.082756,TP1,0.333333,200.270689,TP2,0.333333,400.541378,600.812067,6.008121,801.082756
21,2023-08-01 02:15:00,0.665486,short,1.000000,54.072292,False,Standard (NTI+MB+IC),0.665986,5.000000,0.664888,0.664289,0.663490,2023-08-01 03:15:00,0.664888,take_profit_1,1,1.000000,408.228871,PPT,0.700000,228.547517,TP1,0.300000,179.681354,408.228871,5.989378,408.228871
22,2023-08-01 03:30:00,0.664628,short,1.000000,56.729577,False,Standard (NTI+MB+IC),0.665128,5.000000,0.664030,0.663432,0.662634,2023-08-01 03:45:00,0.664030,take_profit_1,1,0.250000,338.992724,PPT,0.700000,159.543186,TP1,0.300000,179.449538,338.992724,5.981651,338.992724
23,2023-08-01 04:00:00,0.664194,short,1.000000,60.707615,False,Standard (NTI+MB+IC),0.664694,5.000000,0.663597,0.662999,0.662202,2023-08-01 04:15:00,0.663597,take_profit_1,1,0.250000,791.404351,PPT,0.700000,612.071866,TP1,0.300000,179.332485,791.404351,5.977749,791.404351
24,2023-08-01 04:30:00,0.662473,short,1.000000,66.051872,False,Standard (NTI+MB+IC),0.662973,5.000000,0.661877,0.661281,0.660486,2023-08-01 04:45:00,0.663075,stop_loss,0,0.250000,-601.773501,,,,,,,,-6.017735,-601.773501
25,2023-08-01 05:00:00,0.663432,short,1.000000,64.612219,False,Standard (NTI+MB+IC),0.663932,5.000000,0.662835,0.662238,0.661442,2023-08-01 06:15:00,0.662835,take_profit_1,1,1.250000,369.664883,PPT,0.700000,190.538190,TP1,0.300000,179.126693,369.664883,5.970890,369.664883
26,2023-08-01 06:30:00,0.662806,short,1.000000,57.698633,False,Standard (NTI+MB+IC),0.663306,5.000000,0.662209,0.661612,0.660817,2023-08-01 07:15:00,0.663491,stop_loss,0,0.750000,-685.298525,,,,,,,,-6.852985,-685.298525
27,2023-08-01 07:30:00,0.662978,short,1.000000,46.305380,False,Standard (NTI+MB+IC),0.663478,5.000000,0.662382,0.661785,0.660989,2023-08-01 08:00:00,0.662382,take_profit_1,1,0.500000,289.779574,PPT,0.700000,110.775446,TP1,0.300000,179.004128,289.779574,5.966804,289.779574
28,2023-08-01 08:15:00,0.661113,short,1.000000,50.074031,False,Standard (NTI+MB+IC),0.661613,5.000000,0.660518,0.659923,0.659130,2023-08-01 08:45:00,0.660518,take_profit_1,1,0.500000,530.576494,PPT,0.700000,352.075993,TP1,0.300000,178.500501,530.576494,5.950017,530.576494
29,2023-08-01 09:00:00,0.661281,short,1.000000,59.079403,False,Standard (NTI+MB+IC),0.661781,5.000000,0.660686,0.660091,0.659297,2023-08-01 10:15:00,0.660686,take_profit_1,1,1.250000,396.280735,PPT,0.700000,217.734851,TP1,0.300000,178.545883,396.280735,5.951529,396.280735
