trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2012-10-11 21:45:00,1.028008,long,1.000000,51.517151,False,Standard (NTI+MB+IC),1.027508,5.000000,1.028933,1.029858,1.031092,2012-10-11 22:00:00,1.027967,trailing_stop,0,0.250000,584.435089,PPT,0.700000,596.617248,PPT,0.300000,-12.182158,584.435089,-0.406072,584.435089,,,
2,2012-10-11 22:15:00,1.028509,long,1.000000,56.339999,False,Standard (NTI+MB+IC),1.028009,5.000000,1.029435,1.030360,1.031595,2012-10-11 22:30:00,1.027839,stop_loss,0,0.250000,-669.785011,PPT,1.000000,-669.785011,,,,-669.785011,-6.697850,-669.785011,,,
3,2012-10-12 09:30:00,1.023037,short,1.000000,45.977239,False,Standard (NTI+MB+IC),1.023537,5.000000,1.022116,1.021195,1.019968,2012-10-12 09:45:00,1.023619,stop_loss,0,0.250000,-582.028781,PPT,1.000000,-582.028781,,,,-582.028781,-5.820288,-582.028781,,,
4,2012-10-12 11:00:00,1.022953,short,1.000000,51.478179,False,Standard (NTI+MB+IC),1.023453,5.000000,1.022032,1.021111,1.019884,2012-10-12 11:15:00,1.023619,stop_loss,0,0.250000,-79.192483,PPT,0.700000,120.771990,PPT,0.300000,-199.964473,-79.192483,-6.665482,-79.192483,,,
5,2012-10-12 11:30:00,1.021859,short,1.000000,55.943335,False,Standard (NTI+MB+IC),1.022359,5.000000,1.020939,1.020019,1.018793,2012-10-12 11:45:00,1.022533,stop_loss,0,0.250000,-674.333376,PPT,1.000000,-674.333376,,,,-674.333376,-6.743334,-674.333376,,,
6,2012-10-12 12:00:00,1.022600,short,1.000000,59.531472,False,Standard (NTI+MB+IC),1.023100,5.000000,1.021680,1.020759,1.019532,2012-10-12 15:15:00,1.023129,stop_loss,1,3.250000,254.617615,PPT,0.700000,195.931775,TP1,0.150000,138.050987,254.617615,-5.291010,254.617615,PPT,0.150000,-79.365147
7,2012-10-12 15:30:00,1.023238,short,1.000000,18.146620,False,Standard (NTI+MB+IC),1.023738,5.000000,1.022317,1.021396,1.020168,2012-10-14 17:00:00,1.023869,stop_loss,0,49.500000,-30.210803,PPT,0.700000,159.256642,PPT,0.300000,-189.467445,-30.210803,-6.315581,-30.210803,,,
8,2012-10-14 17:15:00,1.025086,short,1.000000,21.078051,False,Standard (NTI+MB+IC),1.025586,5.000000,1.024163,1.023241,1.022011,2012-10-14 18:00:00,1.025053,trailing_stop,1,0.750000,763.431054,PPT,0.700000,620.172110,TP1,0.150000,138.386605,763.431054,0.324823,763.431054,PPT,0.150000,4.872339
9,2012-10-14 19:30:00,1.021796,short,1.000000,37.904283,False,Standard (NTI+MB+IC),1.022296,5.000000,1.020876,1.019956,1.018730,2012-10-14 19:45:00,1.022370,stop_loss,0,0.250000,-574.703261,PPT,1.000000,-574.703261,,,,-574.703261,-5.747033,-574.703261,,,
10,2012-10-14 20:00:00,1.021840,short,1.000000,43.327746,False,Standard (NTI+MB+IC),1.022340,5.000000,1.020921,1.020001,1.018775,2012-10-14 21:15:00,1.021876,trailing_stop,1,1.250000,678.676060,PPT,0.700000,546.115552,TP1,0.150000,137.948422,678.676060,-0.359194,678.676060,PPT,0.150000,-5.387913
11,2012-10-14 21:30:00,1.021901,short,1.000000,50.857201,False,Standard (NTI+MB+IC),1.022401,5.000000,1.020981,1.020061,1.018835,2012-10-14 21:45:00,1.022554,stop_loss,0,0.250000,-653.402095,PPT,1.000000,-653.402095,,,,-653.402095,-6.534021,-653.402095,,,
12,2012-10-14 22:00:00,1.021096,short,1.000000,46.238912,False,Standard (NTI+MB+IC),1.021596,5.000000,1.020177,1.019258,1.018033,2012-10-14 22:15:00,1.021131,trailing_stop,1,0.250000,788.151962,PPT,0.700000,655.483047,TP1,0.150000,137.848015,788.151962,-0.345273,788.151962,PPT,0.150000,-5.179099
13,2012-10-14 22:30:00,1.021112,short,1.000000,47.995215,False,Standard (NTI+MB+IC),1.021612,5.000000,1.020193,1.019274,1.018048,2012-10-14 22:45:00,1.021720,stop_loss,0,0.250000,-608.623316,PPT,1.000000,-608.623316,,,,-608.623316,-6.086233,-608.623316,,,
14,2012-10-14 23:00:00,1.021571,short,1.000000,42.577902,False,Standard (NTI+MB+IC),1.022071,5.000000,1.020651,1.019732,1.018506,2012-10-14 23:30:00,1.022200,stop_loss,0,0.500000,-629.323056,PPT,1.000000,-629.323056,,,,-629.323056,-6.293231,-629.323056,,,
15,2012-10-14 23:45:00,1.021409,short,1.000000,33.037785,False,Standard (NTI+MB+IC),1.021909,5.000000,1.020490,1.019571,1.018345,2012-10-15 00:15:00,1.022033,stop_loss,0,0.500000,-623.851123,PPT,1.000000,-623.851123,,,,-623.851123,-6.238511,-623.851123,,,
16,2012-10-15 00:45:00,1.021483,short,1.000000,22.312032,False,Standard (NTI+MB+IC),1.021983,5.000000,1.020564,1.019645,1.018419,2012-10-15 01:00:00,1.022083,stop_loss,0,0.250000,-600.015513,PPT,1.000000,-600.015513,,,,-600.015513,-6.000155,-600.015513,,,
17,2012-10-16 03:30:00,1.028323,long,1.000000,52.684839,False,Standard (NTI+MB+IC),1.027823,5.000000,1.029248,1.030174,1.031408,2012-10-16 03:45:00,1.027741,stop_loss,0,0.250000,-582.112571,PPT,1.000000,-582.112571,,,,-582.112571,-5.821126,-582.112571,,,
18,2012-10-16 04:00:00,1.027655,long,1.000000,58.132264,False,Standard (NTI+MB+IC),1.027155,5.000000,1.028580,1.029504,1.030738,2012-10-16 04:15:00,1.027115,stop_loss,0,0.250000,-539.522896,PPT,1.000000,-539.522896,,,,-539.522896,-5.395229,-539.522896,,,
19,2012-10-16 04:30:00,1.027499,long,1.000000,50.297912,False,Standard (NTI+MB+IC),1.026999,5.000000,1.028423,1.029348,1.030581,2012-10-16 05:00:00,1.026942,stop_loss,0,0.500000,-556.660345,PPT,1.000000,-556.660345,,,,-556.660345,-5.566603,-556.660345,,,
20,2012-10-16 05:15:00,1.025692,long,1.000000,22.308098,False,Standard (NTI+MB+IC),1.025792,0.996027,1.026616,1.027539,1.028770,2012-10-16 05:30:00,1.025719,trailing_stop,1,0.250000,777.662349,PPT,0.700000,635.285417,TP1,0.150000,138.468481,777.662349,0.260563,777.662349,PPT,0.150000,3.908451
21,2012-10-16 18:45:00,1.029885,long,1.000000,43.471668,False,Standard (NTI+MB+IC),1.029385,5.000000,1.030812,1.031739,1.032975,2012-10-16 19:00:00,1.029268,stop_loss,0,0.250000,-617.558588,PPT,1.000000,-617.558588,,,,-617.558588,-6.175586,-617.558588,,,
22,2012-10-16 19:15:00,1.030715,long,1.000000,45.478563,False,Standard (NTI+MB+IC),1.030215,5.000000,1.031643,1.032571,1.033807,2012-10-16 22:45:00,1.030763,trailing_stop,1,3.500000,289.639746,PPT,0.700000,143.293096,TP1,0.150000,139.146565,289.639746,0.480006,289.639746,PPT,0.150000,7.200085
23,2012-10-16 23:00:00,1.030402,long,1.000000,23.742876,False,Standard (NTI+MB+IC),1.029902,5.000000,1.031329,1.032256,1.033493,2012-10-17 03:30:00,1.031329,tp1_pullback,2,4.500000,871.613813,PPT,0.700000,523.853260,TP1,0.150000,139.104221,802.061702,9.273615,871.613813,TP2,0.075000,139.104221
24,2012-10-17 06:45:00,1.033563,long,1.000000,38.732549,False,Standard (NTI+MB+IC),1.033063,5.000000,1.034493,1.035424,1.036664,2012-10-17 09:15:00,1.034493,tp1_pullback,2,2.500000,759.522842,PPT,0.700000,410.695231,TP1,0.150000,139.531044,689.757320,9.302070,759.522842,TP2,0.075000,139.531044
25,2012-10-17 09:30:00,1.034975,long,1.000000,52.460241,False,Standard (NTI+MB+IC),1.034475,5.000000,1.035906,1.036838,1.038080,2012-10-17 09:45:00,1.035499,trailing_stop,2,0.250000,1561.337771,PPT,0.700000,1242.618092,TP1,0.150000,139.721602,1522.061296,5.236863,1561.337771,TP2,0.075000,139.721602
26,2012-10-17 10:00:00,1.037026,long,1.000000,54.742515,False,Standard (NTI+MB+IC),1.036526,5.000000,1.037959,1.038892,1.040137,2012-10-17 10:15:00,1.036386,stop_loss,0,0.250000,-639.440119,PPT,1.000000,-639.440119,,,,-639.440119,-6.394401,-639.440119,,,
27,2012-10-17 10:30:00,1.036852,long,1.000000,53.101452,False,Standard (NTI+MB+IC),1.036352,5.000000,1.037785,1.038718,1.039963,2012-10-17 11:00:00,1.036340,stop_loss,0,0.500000,-511.703206,PPT,1.000000,-511.703206,,,,-511.703206,-5.117032,-511.703206,,,
28,2012-10-17 11:15:00,1.037776,long,1.000000,51.002453,False,Standard (NTI+MB+IC),1.037276,5.000000,1.038710,1.039644,1.040889,2012-10-17 12:45:00,1.037138,stop_loss,0,1.500000,-638.015059,PPT,1.000000,-638.015059,,,,-638.015059,-6.380151,-638.015059,,,
29,2012-10-17 13:00:00,1.037673,long,1.000000,44.266791,False,Standard (NTI+MB+IC),1.037173,5.000000,1.038607,1.039541,1.040786,2012-10-17 13:15:00,1.037059,stop_loss,0,0.250000,-613.655456,PPT,1.000000,-613.655456,,,,-613.655456,-6.136555,-613.655456,,,
30,2012-10-17 13:30:00,1.036798,long,1.000000,18.692812,False,Standard (NTI+MB+IC),1.036298,5.000000,1.037732,1.038665,1.039909,2012-10-17 17:15:00,1.037732,tp1_pullback,2,3.750000,666.028897,PPT,0.700000,316.109432,TP1,0.150000,139.967786,596.045004,9.331186,666.028897,TP2,0.075000,139.967786
31,2012-10-17 17:30:00,1.037353,long,1.000000,31.845305,False,Standard (NTI+MB+IC),1.036853,5.000000,1.038287,1.039220,1.040465,2012-10-17 18:00:00,1.036716,stop_loss,0,0.500000,-636.889679,PPT,1.000000,-636.889679,,,,-636.889679,-6.368897,-636.889679,,,
32,2012-10-17 20:00:00,1.038171,long,1.000000,26.784815,False,Standard (NTI+MB+IC),1.037671,5.000000,1.039105,1.040039,1.041285,2012-10-17 20:15:00,1.037536,stop_loss,0,0.250000,-635.143265,PPT,1.000000,-635.143265,,,,-635.143265,-6.351433,-635.143265,,,
33,2012-10-18 08:45:00,1.036999,long,1.000000,36.960159,False,Standard (NTI+MB+IC),1.037813,8.141717,1.037932,1.038866,1.040110,2012-10-18 09:00:00,1.037784,stop_loss,0,0.250000,784.609325,PPT,1.000000,784.609325,,,,784.609325,7.846093,784.609325,,,
34,2012-10-18 09:15:00,1.036921,short,1.000000,43.705230,False,Standard (NTI+MB+IC),1.037421,5.000000,1.035988,1.035054,1.033810,2012-10-18 09:30:00,1.037460,stop_loss,0,0.250000,-539.709556,PPT,1.000000,-539.709556,,,,-539.709556,-5.397096,-539.709556,,,
35,2012-10-18 12:00:00,1.040254,long,1.000000,38.873031,False,Standard (NTI+MB+IC),1.039754,5.000000,1.041190,1.042127,1.043375,2012-10-18 12:15:00,1.039745,stop_loss,0,0.250000,-509.125104,PPT,1.000000,-509.125104,,,,-509.125104,-5.091251,-509.125104,,,
36,2012-10-18 14:30:00,1.036002,short,1.000000,37.807868,False,Standard (NTI+MB+IC),1.036502,5.000000,1.035070,1.034137,1.032894,2012-10-18 14:45:00,1.036544,stop_loss,0,0.250000,-541.815476,PPT,1.000000,-541.815476,,,,-541.815476,-5.418155,-541.815476,,,
