trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2021-06-25 09:15:00,1.196517,long,1.000000,40.894805,False,Standard (NTI+MB+IC),1.195517,10.000000,1.198312,1.200107,1.202500,2021-06-25 10:45:00,1.195498,stop_loss,0,1.500000,-1018.511897,PPT,1.000000,-1018.511897,-1018.511897,-10.185119,-1018.511897,,,,,,
2,2021-06-25 12:15:00,1.193340,long,1.000000,20.650464,False,Standard (NTI+MB+IC),1.193203,1.367392,1.195130,1.196920,1.199306,2021-06-25 13:30:00,1.193096,stop_loss,0,1.250000,-243.385583,PPT,1.000000,-243.385583,-243.385583,-2.433856,-243.385583,,,,,,
3,2021-06-27 22:30:00,1.192415,short,1.000000,45.910822,False,Standard (NTI+MB+IC),1.193415,10.000000,1.190626,1.188838,1.186453,2021-06-28 03:00:00,1.193525,stop_loss,0,4.500000,-1110.188805,PPT,1.000000,-1110.188805,-1110.188805,-11.101888,-1110.188805,,,,,,
4,2021-06-28 03:15:00,1.193770,short,1.000000,37.673733,False,Standard (NTI+MB+IC),1.194770,10.000000,1.191979,1.190188,1.187801,2021-06-28 10:45:00,1.193728,trailing_stop,1,7.500000,916.292024,TP1,0.500000,895.327331,916.292024,0.419294,916.292024,PPT,0.500000,20.964693,,,
5,2021-06-28 23:30:00,1.190820,short,1.000000,53.008676,False,Standard (NTI+MB+IC),1.191820,10.000000,1.189034,1.187247,1.184866,2021-06-29 01:30:00,1.191980,stop_loss,0,2.000000,-1160.122023,PPT,1.000000,-1160.122023,-1160.122023,-11.601220,-1160.122023,,,,,,
6,2021-06-29 01:45:00,1.192072,short,1.000000,21.372624,False,Standard (NTI+MB+IC),1.193072,10.000000,1.190284,1.188496,1.186112,2021-06-29 10:45:00,1.190284,tp1_pullback,2,9.000000,2235.135572,TP1,0.500000,894.054229,2235.135572,17.881085,2235.135572,TP2,0.250000,894.054229,PPT,0.250000,447.027114
7,2021-06-29 11:00:00,1.190437,short,1.000000,13.593984,False,Standard (NTI+MB+IC),1.191437,10.000000,1.188651,1.186865,1.184485,2021-07-01 01:15:00,1.184485,take_profit_3,3,38.250000,3273.701091,TP1,0.500000,892.827570,3273.701091,59.521838,3273.701091,TP2,0.250000,892.827570,TP3,0.250000,1488.045950
8,2021-07-01 01:30:00,1.184164,short,1.000000,61.035712,False,Standard (NTI+MB+IC),1.185164,10.000000,1.182387,1.180611,1.178243,2021-07-01 02:45:00,1.185228,stop_loss,0,1.250000,-1063.894943,PPT,1.000000,-1063.894943,-1063.894943,-10.638949,-1063.894943,,,,,,
9,2021-07-01 03:30:00,1.185019,short,1.000000,24.186668,False,Standard (NTI+MB+IC),1.186019,10.000000,1.183241,1.181464,1.179094,2021-07-01 06:45:00,1.186082,stop_loss,0,3.250000,-1063.794080,PPT,1.000000,-1063.794080,-1063.794080,-10.637941,-1063.794080,,,,,,
10,2021-07-02 03:00:00,1.182331,short,1.000000,44.682939,False,Standard (NTI+MB+IC),1.183331,10.000000,1.180557,1.178784,1.176419,2021-07-02 07:00:00,1.183398,stop_loss,0,4.000000,-1067.762335,PPT,1.000000,-1067.762335,-1067.762335,-10.677623,-1067.762335,,,,,,
11,2021-07-02 07:30:00,1.182656,short,1.000000,29.167695,False,Standard (NTI+MB+IC),1.183656,10.000000,1.180882,1.179108,1.176743,2021-07-02 08:30:00,1.183803,stop_loss,1,1.000000,313.888177,TP1,0.500000,886.992305,313.888177,-11.462083,313.888177,PPT,0.500000,-573.104128,,,
12,2021-07-02 08:45:00,1.184708,short,1.000000,19.111542,False,Standard (NTI+MB+IC),1.185708,10.000000,1.182931,1.181154,1.178785,2021-07-02 09:00:00,1.185800,stop_loss,0,0.250000,-1091.262527,PPT,1.000000,-1091.262527,-1091.262527,-10.912625,-1091.262527,,,,,,
13,2021-07-05 23:45:00,1.187387,long,1.000000,49.675344,False,Standard (NTI+MB+IC),1.186387,10.000000,1.189168,1.190949,1.193324,2021-07-06 03:45:00,1.187389,trailing_stop,1,4.000000,891.872806,TP1,0.500000,890.540066,891.872806,0.026655,891.872806,PPT,0.500000,1.332740,,,
14,2021-07-06 04:00:00,1.186110,long,1.000000,25.695659,False,Standard (NTI+MB+IC),1.186297,1.876439,1.187889,1.189668,1.192040,2021-07-06 04:15:00,1.186107,stop_loss,0,0.250000,-2.579155,PPT,1.000000,-2.579155,-2.579155,-0.025792,-2.579155,,,,,,
15,2021-07-06 04:30:00,1.184821,long,1.000000,56.769057,False,Standard (NTI+MB+IC),1.186305,14.842473,1.186598,1.188376,1.190745,2021-07-06 04:45:00,1.185220,stop_loss,0,0.250000,398.949840,PPT,1.000000,398.949840,398.949840,3.989498,398.949840,,,,,,
16,2021-07-06 05:45:00,1.183956,short,1.000000,63.640985,False,Standard (NTI+MB+IC),1.184956,10.000000,1.182180,1.180404,1.178036,2021-07-06 10:15:00,1.183886,trailing_stop,0,4.500000,70.322258,PPT,1.000000,70.322258,70.322258,0.703223,70.322258,,,,,,
17,2021-07-06 10:30:00,1.182956,short,1.000000,30.379201,False,Standard (NTI+MB+IC),1.183956,10.000000,1.181181,1.179407,1.177041,2021-07-07 01:00:00,1.182860,trailing_stop,1,14.500000,934.979529,TP1,0.500000,887.216644,934.979529,0.955258,934.979529,PPT,0.500000,47.762885,,,
18,2021-07-07 10:30:00,1.178950,short,1.000000,43.577079,False,Standard (NTI+MB+IC),1.179950,10.000000,1.177182,1.175414,1.173056,2021-07-07 11:00:00,1.180060,stop_loss,0,0.500000,-1109.949792,PPT,1.000000,-1109.949792,-1109.949792,-11.099498,-1109.949792,,,,,,
19,2021-07-07 11:15:00,1.179579,short,1.000000,37.849761,False,Standard (NTI+MB+IC),1.180579,10.000000,1.177809,1.176040,1.173681,2021-07-07 14:00:00,1.180651,stop_loss,0,2.750000,-1072.055275,PPT,1.000000,-1072.055275,-1072.055275,-10.720553,-1072.055275,,,,,,
20,2021-07-07 17:30:00,1.179206,short,1.000000,34.049074,False,Standard (NTI+MB+IC),1.180206,10.000000,1.177437,1.175668,1.173310,2021-07-08 01:30:00,1.180230,stop_loss,0,8.000000,-1024.384046,PPT,1.000000,-1024.384046,-1024.384046,-10.243840,-1024.384046,,,,,,
21,2021-07-08 01:45:00,1.180543,short,1.000000,40.857999,False,Standard (NTI+MB+IC),1.181543,10.000000,1.178772,1.177001,1.174640,2021-07-08 03:45:00,1.181713,stop_loss,0,2.000000,-1170.267278,PPT,1.000000,-1170.267278,-1170.267278,-11.702673,-1170.267278,,,,,,
22,2021-07-08 09:45:00,1.185846,long,1.000000,59.707232,False,Standard (NTI+MB+IC),1.184846,10.000000,1.187625,1.189404,1.191776,2021-07-08 11:15:00,1.184647,stop_loss,0,1.500000,-1199.923381,PPT,1.000000,-1199.923381,-1199.923381,-11.999234,-1199.923381,,,,,,
23,2021-07-08 11:30:00,1.184085,long,1.000000,21.387545,False,Standard (NTI+MB+IC),1.183085,10.000000,1.185861,1.187638,1.190006,2021-07-09 02:00:00,1.183070,stop_loss,0,14.500000,-1015.278832,PPT,1.000000,-1015.278832,-1015.278832,-10.152788,-1015.278832,,,,,,
24,2021-07-09 07:00:00,1.186311,long,1.000000,40.102439,False,Standard (NTI+MB+IC),1.185311,10.000000,1.188091,1.189870,1.192243,2021-07-12 02:00:00,1.186370,trailing_stop,1,67.000000,919.080035,TP1,0.500000,889.733480,919.080035,0.586931,919.080035,PPT,0.500000,29.346554,,,
25,2021-07-13 02:00:00,1.186203,long,1.000000,41.830986,False,Standard (NTI+MB+IC),1.185203,10.000000,1.187983,1.189762,1.192134,2021-07-13 03:45:00,1.185085,stop_loss,0,1.750000,-1118.736173,PPT,1.000000,-1118.736173,-1118.736173,-11.187362,-1118.736173,,,,,,
26,2021-07-13 06:45:00,1.184603,short,1.000000,54.819747,False,Standard (NTI+MB+IC),1.185603,10.000000,1.182827,1.181050,1.178680,2021-07-13 08:30:00,1.184538,trailing_stop,2,1.750000,1793.239768,TP1,0.500000,888.452598,1793.239768,0.653383,1793.239768,TP2,0.250000,888.452598,PPT,0.250000,16.334571
27,2021-07-13 08:45:00,1.179880,short,1.000000,50.991797,False,Standard (NTI+MB+IC),1.180880,10.000000,1.178111,1.176341,1.173981,2021-07-13 09:30:00,1.180887,stop_loss,0,0.750000,-1006.670786,PPT,1.000000,-1006.670786,-1006.670786,-10.066708,-1006.670786,,,,,,
28,2021-07-13 09:45:00,1.182098,short,1.000000,48.670083,False,Standard (NTI+MB+IC),1.183098,10.000000,1.180325,1.178552,1.176187,2021-07-13 10:15:00,1.183125,stop_loss,0,0.500000,-1026.810892,PPT,1.000000,-1026.810892,-1026.810892,-10.268109,-1026.810892,,,,,,
29,2021-07-13 10:30:00,1.182399,short,1.000000,17.848508,False,Standard (NTI+MB+IC),1.183399,10.000000,1.180626,1.178852,1.176487,2021-07-14 08:00:00,1.180626,tp1_pullback,2,21.500000,2216.998621,TP1,0.500000,886.799448,2216.998621,17.735989,2216.998621,TP2,0.250000,886.799448,PPT,0.250000,443.399724
30,2021-07-14 16:45:00,1.183572,long,1.000000,39.181024,False,Standard (NTI+MB+IC),1.182572,10.000000,1.185348,1.187123,1.189490,2021-07-14 21:45:00,1.182460,stop_loss,0,5.000000,-1112.471567,PPT,1.000000,-1112.471567,-1112.471567,-11.124716,-1112.471567,,,,,,
31,2021-07-15 01:45:00,1.184189,long,1.000000,27.525325,False,Standard (NTI+MB+IC),1.183189,10.000000,1.185965,1.187741,1.190110,2021-07-15 03:15:00,1.183174,stop_loss,0,1.500000,-1014.259589,PPT,1.000000,-1014.259589,-1014.259589,-10.142596,-1014.259589,,,,,,
32,2021-07-15 08:45:00,1.180649,short,1.000000,54.244100,False,Standard (NTI+MB+IC),1.181649,10.000000,1.178878,1.177107,1.174746,2021-07-15 09:30:00,1.181662,stop_loss,0,0.750000,-1012.956325,PPT,1.000000,-1012.956325,-1012.956325,-10.129563,-1012.956325,,,,,,
33,2021-07-15 09:45:00,1.181658,short,1.000000,46.567405,False,Standard (NTI+MB+IC),1.182658,10.000000,1.179886,1.178113,1.175750,2021-07-15 20:00:00,1.181613,trailing_stop,1,10.250000,908.702180,TP1,0.500000,886.243657,908.702180,0.449170,908.702180,PPT,0.500000,22.458524,,,
34,2021-07-19 03:00:00,1.178888,short,1.000000,36.771306,False,Standard (NTI+MB+IC),1.179888,10.000000,1.177119,1.175351,1.172993,2021-07-19 08:45:00,1.178850,trailing_stop,1,5.750000,903.153741,TP1,0.500000,884.165858,903.153741,0.379758,903.153741,PPT,0.500000,18.987883,,,
35,2021-07-19 09:00:00,1.179154,short,1.000000,17.526103,False,Standard (NTI+MB+IC),1.180154,10.000000,1.177385,1.175617,1.173258,2021-07-19 09:15:00,1.180350,stop_loss,0,0.250000,-1195.336039,PPT,1.000000,-1195.336039,-1195.336039,-11.953360,-1195.336039,,,,,,
36,2021-07-19 09:30:00,1.182067,short,1.000000,21.742176,False,Standard (NTI+MB+IC),1.183067,10.000000,1.180294,1.178521,1.176157,2021-07-20 09:15:00,1.176157,take_profit_3,3,23.750000,3250.683930,TP1,0.500000,886.550163,3250.683930,59.103344,3250.683930,TP2,0.250000,886.550163,TP3,0.250000,1477.583604
37,2021-07-20 09:30:00,1.176067,short,1.000000,44.827155,False,Standard (NTI+MB+IC),1.177067,10.000000,1.174303,1.172539,1.170187,2021-07-20 09:45:00,1.177122,stop_loss,0,0.250000,-1054.681156,PPT,1.000000,-1054.681156,-1054.681156,-10.546812,-1054.681156,,,,,,
38,2021-07-21 02:00:00,1.176445,short,1.000000,35.792004,False,Standard (NTI+MB+IC),1.177445,10.000000,1.174680,1.172916,1.170563,2021-07-21 04:30:00,1.177490,stop_loss,0,2.500000,-1045.033471,PPT,1.000000,-1045.033471,-1045.033471,-10.450335,-1045.033471,,,,,,
39,2021-07-21 04:45:00,1.177916,short,1.000000,23.234556,False,Standard (NTI+MB+IC),1.178916,10.000000,1.176150,1.174383,1.172027,2021-07-21 09:30:00,1.177913,trailing_stop,1,4.750000,885.070934,TP1,0.500000,883.437322,885.070934,0.032672,885.070934,PPT,0.500000,1.633612,,,
40,2021-07-21 15:45:00,1.180038,long,1.000000,40.398852,False,Standard (NTI+MB+IC),1.179038,10.000000,1.181808,1.183579,1.185939,2021-07-21 17:00:00,1.179012,stop_loss,0,1.250000,-1026.036984,PPT,1.000000,-1026.036984,-1026.036984,-10.260370,-1026.036984,,,,,,
41,2021-07-22 13:00:00,1.176405,short,1.000000,44.821485,False,Standard (NTI+MB+IC),1.177405,10.000000,1.174640,1.172876,1.170523,2021-07-22 15:00:00,1.177591,stop_loss,0,2.000000,-1186.112578,PPT,1.000000,-1186.112578,-1186.112578,-11.861126,-1186.112578,,,,,,
42,2021-07-26 13:00:00,1.181085,long,1.000000,36.804949,False,Standard (NTI+MB+IC),1.180085,10.000000,1.182857,1.184629,1.186991,2021-07-26 14:45:00,1.180046,stop_loss,0,1.750000,-1039.308208,PPT,1.000000,-1039.308208,-1039.308208,-10.393082,-1039.308208,,,,,,
43,2021-07-27 08:45:00,1.181909,long,1.000000,53.106684,False,Standard (NTI+MB+IC),1.180909,10.000000,1.183682,1.185455,1.187819,2021-07-27 09:30:00,1.180855,stop_loss,0,0.750000,-1053.737444,PPT,1.000000,-1053.737444,-1053.737444,-10.537374,-1053.737444,,,,,,
44,2021-07-27 09:45:00,1.181257,long,1.000000,23.392654,False,Standard (NTI+MB+IC),1.180257,10.000000,1.183029,1.184801,1.187163,2021-07-27 20:45:00,1.181308,trailing_stop,1,11.000000,911.659954,TP1,0.500000,885.942658,911.659954,0.514346,911.659954,PPT,0.500000,25.717296,,,
45,2021-07-28 02:30:00,1.181112,long,1.000000,25.886308,False,Standard (NTI+MB+IC),1.180112,10.000000,1.182884,1.184656,1.187018,2021-07-28 04:45:00,1.181160,trailing_stop,1,2.250000,909.733035,TP1,0.500000,885.834152,909.733035,0.477978,909.733035,PPT,0.500000,23.898884,,,
46,2021-07-28 14:00:00,1.179791,long,1.000000,44.216998,False,Standard (NTI+MB+IC),1.179750,0.418020,1.181561,1.183331,1.185690,2021-07-28 14:15:00,1.179836,trailing_stop,1,0.250000,907.304323,TP1,0.500000,884.843567,907.304323,0.449215,907.304323,PPT,0.500000,22.460757,,,
47,2021-07-29 01:15:00,1.185772,long,1.000000,50.225132,False,Standard (NTI+MB+IC),1.184772,10.000000,1.187551,1.189329,1.191701,2021-07-30 01:30:00,1.187551,tp1_pullback,2,24.250000,2223.322807,TP1,0.500000,889.329123,2223.322807,17.786582,2223.322807,TP2,0.250000,889.329123,PPT,0.250000,444.664561
48,2021-07-30 04:30:00,1.189962,long,1.000000,42.606370,False,Standard (NTI+MB+IC),1.188962,10.000000,1.191747,1.193532,1.195912,2021-07-30 06:00:00,1.188869,stop_loss,0,1.500000,-1093.666885,PPT,1.000000,-1093.666885,-1093.666885,-10.936669,-1093.666885,,,,,,
49,2021-08-02 07:00:00,1.188962,long,1.000000,33.166805,False,Standard (NTI+MB+IC),1.187962,10.000000,1.190745,1.192529,1.194907,2021-08-02 08:45:00,1.187799,stop_loss,0,1.750000,-1163.187261,PPT,1.000000,-1163.187261,-1163.187261,-11.631873,-1163.187261,,,,,,
50,2021-08-03 05:00:00,1.188236,long,1.000000,36.241958,False,Standard (NTI+MB+IC),1.187236,10.000000,1.190018,1.191800,1.194177,2021-08-03 09:30:00,1.187191,stop_loss,0,4.500000,-1044.498080,PPT,1.000000,-1044.498080,-1044.498080,-10.444981,-1044.498080,,,,,,
51,2021-08-03 09:45:00,1.186922,long,1.000000,38.510543,False,Standard (NTI+MB+IC),1.186230,6.914756,1.188702,1.190482,1.192856,2021-08-03 10:15:00,1.186230,stop_loss,0,0.500000,-691.596927,PPT,1.000000,-691.596927,-691.596927,-6.915969,-691.596927,,,,,,
52,2021-08-04 04:30:00,1.184717,long,1.000000,31.665835,False,Standard (NTI+MB+IC),1.186367,16.505667,1.186494,1.188271,1.190640,2021-08-04 04:45:00,1.185350,stop_loss,0,0.250000,633.334806,PPT,1.000000,633.334806,633.334806,6.333348,633.334806,,,,,,
