iteration,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,avg_trade,avg_win,avg_loss,best_trade,worst_trade,recovery_factor,win_loss_ratio,expectancy,sqn,trades_per_day,start_date,end_date,timestamp,config,currency
1,-3.753349,522,33.908046,0.807767,-3.717892,-4.985051,4.763768,-71.903233,891.055148,-565.942751,2192.768707,-699.795703,0.787895,1.574462,-71.903233,-2.102099,4.539130,2019-02-25 09:45:00,2019-06-21 06:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
2,-6.344645,587,35.434412,0.702993,-5.194904,-7.213674,6.514025,-108.085952,721.986331,-563.640133,4860.269964,-1344.252437,0.973998,1.280935,-108.085952,-3.704858,5.104348,2025-01-19 21:30:00,2025-05-15 06:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
3,-8.692213,600,30.000000,0.636171,-8.680189,-10.437412,9.250357,-144.870216,844.374196,-568.832106,2325.614174,-699.874597,0.939662,1.484400,-144.870216,-4.919781,5.128205,2018-02-07 12:00:00,2018-06-04 19:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
4,-4.171003,676,37.721893,0.828725,-3.239097,-4.746703,4.862481,-61.701232,791.439850,-578.449393,2154.261382,-699.703458,0.857793,1.368209,-61.701232,-2.205639,5.777778,2022-03-25 03:00:00,2022-07-20 12:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
5,-4.016532,716,38.826816,0.839401,-2.853783,-4.162083,5.883715,-56.096815,755.147498,-570.996174,2047.192419,-1802.714567,0.682652,1.322509,-56.096815,-2.068786,6.119658,2022-10-20 08:45:00,2023-02-14 20:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
6,-6.569747,606,33.003300,0.712899,-5.343115,-8.360268,7.147583,-108.411674,815.663830,-563.621282,2309.091701,-699.874165,0.919157,1.447184,-108.411674,-3.591493,5.269565,2018-06-26 03:15:00,2018-10-19 11:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
7,-9.930789,764,32.722513,0.663854,-7.620910,-10.387937,10.257844,-129.984147,784.491177,-574.767864,2195.678870,-699.053337,0.968117,1.364884,-129.984147,-5.041823,6.474576,2020-08-12 00:45:00,2020-12-08 03:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
8,-4.506592,454,34.140969,0.732101,-4.664863,-5.996019,4.729489,-99.264141,794.540145,-562.607499,2163.997083,-698.487635,0.952871,1.412246,-99.264141,-2.859583,3.880342,2019-04-18 11:45:00,2019-08-14 07:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
9,-8.265726,585,29.914530,0.648409,-5.795774,-8.788655,8.483633,-141.294468,871.070548,-573.401487,3854.840302,-2397.070240,0.974314,1.519129,-141.294468,-4.451299,4.034483,2023-04-26 20:45:00,2023-09-18 21:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
10,-7.322855,531,32.203390,0.636181,-6.453882,-9.230676,8.145739,-137.906882,748.823467,-559.103798,2238.358605,-698.435139,0.898980,1.339328,-137.906882,-4.617033,4.538462,2021-11-04 22:00:00,2022-03-02 06:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
11,-8.433408,466,28.969957,0.536688,-8.158112,-10.528474,8.670450,-180.974417,723.632688,-549.922934,2116.692802,-832.354663,0.972661,1.315880,-180.974417,-5.814678,3.949153,2023-12-27 13:15:00,2024-04-23 23:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
12,-9.258876,495,25.656566,0.557241,-7.850060,-10.227761,9.489923,-187.048006,917.551866,-568.255027,2283.009621,-699.436784,0.975653,1.614683,-187.048006,-5.687670,4.230769,2021-06-09 02:15:00,2021-10-04 10:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
13,-5.470732,708,37.853107,0.786644,-4.319289,-5.816680,5.981627,-77.270221,752.636126,-582.758632,2074.040542,-699.101463,0.914589,1.291506,-77.270221,-2.885781,6.051282,2022-04-28 10:00:00,2022-08-23 18:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
14,-1.115625,825,38.303030,0.962259,-0.519445,-1.010688,6.919963,-13.522731,900.130826,-580.741836,3340.975997,-699.632458,0.161218,1.549967,-13.522731,-0.475732,7.173913,2020-03-03 04:00:00,2020-06-26 12:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
15,-8.265227,613,30.668842,0.664875,-4.905775,-6.875277,9.184810,-134.832409,872.229368,-580.309148,3819.715687,-2385.892261,0.899880,1.503043,-134.832409,-4.255982,3.980519,2023-03-23 07:30:00,2023-08-25 06:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
16,-1.641146,795,38.742138,0.941669,-0.760661,-1.548950,5.398588,-20.643351,860.199276,-577.726574,3357.565810,-699.370459,0.303995,1.488938,-20.643351,-0.726352,6.737288,2019-12-27 05:00:00,2020-04-23 13:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
17,-7.891654,662,33.081571,0.693830,-6.442970,-9.870306,8.004052,-119.209272,816.610667,-581.838090,2335.635967,-699.938818,0.985957,1.403502,-119.209272,-4.126632,5.471074,2020-11-20 12:15:00,2021-03-22 05:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
18,-7.023767,687,33.187773,0.729981,-5.356018,-7.530627,8.228135,-102.238242,832.820912,-566.712070,2312.923521,-699.291745,0.853628,1.469566,-102.238242,-3.588400,5.773109,2020-11-02 17:00:00,2021-03-02 10:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
19,-9.000799,702,32.763533,0.665632,-6.706880,-8.974487,9.160988,-128.216508,779.045068,-570.314311,3561.140491,-698.578222,0.982514,1.365992,-128.216508,-4.667222,5.949153,2018-09-11 05:15:00,2019-01-08 03:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
20,-3.442826,481,36.590437,0.802494,-3.620190,-5.437048,3.700016,-71.576423,794.810797,-571.524458,2096.900502,-1402.241586,0.930489,1.390686,-71.576423,-2.108899,4.111111,2019-05-22 14:15:00,2019-09-17 10:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
21,-8.117963,511,31.506849,0.589968,-8.855931,-11.632083,8.194390,-158.864250,725.491822,-565.668044,2089.533556,-699.323823,0.990673,1.282540,-158.864250,-5.248508,4.330508,2023-08-30 23:30:00,2023-12-27 00:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
22,-10.397098,654,29.204893,0.606387,-7.893455,-9.331952,10.686417,-158.977039,838.608252,-570.507904,2192.754332,-699.898467,0.972927,1.469933,-158.977039,-5.614906,5.542373,2018-12-04 07:45:00,2019-04-02 07:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
