trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2019-11-29 15:30:00,1.293170,long,1.000000,27.275480,False,Standard (NTI+MB+IC),1.292670,5.000000,1.294333,1.295497,1.296987,2019-11-29 16:30:00,1.292660,stop_loss,0,1.000000,-509.590227,PPT,1.000000,-509.590227,-509.590227,-5.095902,-509.590227,,,,,,
2,2019-11-29 16:45:00,1.291354,long,1.000000,16.036710,False,Standard (NTI+MB+IC),1.290854,5.000000,1.292517,1.293679,1.295229,2019-12-01 19:30:00,1.291520,signal_flip,0,50.750000,165.544850,PPT,1.000000,165.544850,165.544850,1.655448,165.544850,,,,,,
3,2019-12-02 08:00:00,1.293470,long,1.000000,44.880164,False,Standard (NTI+MB+IC),1.292970,5.000000,1.294634,1.295798,1.297351,2019-12-02 08:30:00,1.292890,stop_loss,0,0.500000,-580.184904,PPT,1.000000,-580.184904,-580.184904,-5.801849,-580.184904,,,,,,
4,2019-12-02 08:45:00,1.292959,long,1.000000,48.296480,False,Standard (NTI+MB+IC),1.292459,5.000000,1.294123,1.295286,1.296838,2019-12-02 09:00:00,1.292975,trailing_stop,1,0.250000,589.670571,TP1,0.500000,581.831477,589.670571,0.156782,589.670571,PPT,0.500000,7.839094,,,
5,2019-12-02 09:15:00,1.293266,long,1.000000,50.029328,False,Standard (NTI+MB+IC),1.292766,5.000000,1.294430,1.295593,1.297145,2019-12-02 09:30:00,1.292723,stop_loss,0,0.250000,-542.283097,PPT,1.000000,-542.283097,-542.283097,-5.422831,-542.283097,,,,,,
6,2019-12-02 10:00:00,1.293374,long,1.000000,39.378108,False,Standard (NTI+MB+IC),1.292874,5.000000,1.294538,1.295702,1.297254,2019-12-02 10:15:00,1.292737,stop_loss,0,0.250000,-636.694156,PPT,1.000000,-636.694156,-636.694156,-6.366942,-636.694156,,,,,,
7,2019-12-02 10:45:00,1.292098,long,1.000000,31.628430,False,Standard (NTI+MB+IC),1.291598,5.000000,1.293261,1.294423,1.295974,2019-12-02 12:45:00,1.293261,tp1_pullback,2,2.000000,1453.609914,TP1,0.500000,581.443966,1453.609914,11.628879,1453.609914,TP2,0.250000,581.443966,PPT,0.250000,290.721983
8,2019-12-02 13:00:00,1.293828,long,1.000000,28.974735,False,Standard (NTI+MB+IC),1.293328,5.000000,1.294993,1.296157,1.297710,2019-12-02 13:15:00,1.293192,stop_loss,0,0.250000,-636.112939,PPT,1.000000,-636.112939,-636.112939,-6.361129,-636.112939,,,,,,
9,2019-12-02 20:45:00,1.293301,long,1.000000,28.417172,False,Standard (NTI+MB+IC),1.292801,5.000000,1.294141,1.294981,1.295822,2019-12-02 22:00:00,1.293448,signal_flip,0,1.250000,147.174220,PPT,1.000000,147.174220,147.174220,1.471742,147.174220,,,,,,
10,2019-12-03 02:15:00,1.295828,long,1.000000,49.895651,False,Standard (NTI+MB+IC),1.295328,5.000000,1.296994,1.298160,1.299593,2019-12-03 02:30:00,1.295183,stop_loss,0,0.250000,-644.866407,PPT,1.000000,-644.866407,-644.866407,-6.448664,-644.866407,,,,,,
11,2019-12-03 02:45:00,1.296553,long,1.000000,59.957808,False,Standard (NTI+MB+IC),1.296053,5.000000,1.297720,1.298886,1.300442,2019-12-03 03:15:00,1.296810,trailing_stop,1,0.500000,712.109133,TP1,0.500000,583.448706,712.109133,2.573209,712.109133,PPT,0.500000,128.660427,,,
12,2019-12-03 03:30:00,1.297629,long,1.000000,72.045395,False,Standard (NTI+MB+IC),1.297129,5.000000,1.298797,1.299965,1.301522,2019-12-03 03:45:00,1.297657,trailing_stop,1,0.250000,597.866751,TP1,0.500000,583.933257,597.866751,0.278670,597.866751,PPT,0.500000,13.933494,,,
