trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl
1,2025-03-19 21:00:00,0.634023,short,1.000000,49.343531,False,0.635023,10.000000,0.633072,0.632121,0.630853,2025-03-20 03:30:00,0.630853,take_profit_3,3,6.500000,1743.564249
2,2025-03-20 03:45:00,0.631014,short,1.000000,56.470209,False,0.632014,10.000000,0.630067,0.629120,0.627858,2025-03-20 08:15:00,0.627858,take_profit_3,3,4.500000,1735.287205
3,2025-03-20 08:30:00,0.627467,short,1.000000,59.492559,False,0.628467,10.000000,0.626526,0.625584,0.624329,2025-03-20 09:00:00,0.628543,stop_loss,0,0.500000,-1076.032256
4,2025-03-20 10:45:00,0.629896,short,1.000000,16.601532,False,0.630896,10.000000,0.628951,0.628006,0.626746,2025-03-21 10:30:00,0.626746,take_profit_3,3,23.750000,1732.213144
5,2025-03-21 10:45:00,0.626256,short,1.000000,42.822397,False,0.627256,10.000000,0.625317,0.624377,0.623125,2025-03-21 11:15:00,0.627275,stop_loss,0,0.500000,-1019.546925
6,2025-03-21 12:00:00,0.627111,short,1.000000,32.592213,False,0.628111,10.000000,0.626171,0.625230,0.623976,2025-03-23 17:00:00,0.628253,stop_loss,0,53.000000,-1141.676534
7,2025-03-23 17:15:00,0.628384,short,1.000000,14.819787,False,0.629384,10.000000,0.627442,0.626499,0.625242,2025-03-23 19:15:00,0.629577,stop_loss,0,2.000000,-1193.030962
8,2025-03-23 19:45:00,0.629234,long,1.000000,36.590897,False,0.628234,10.000000,0.630178,0.631122,0.632380,2025-03-23 20:45:00,0.628079,stop_loss,0,1.000000,-1155.424031
9,2025-03-24 02:15:00,0.629280,long,1.000000,36.437408,False,0.628280,10.000000,0.630224,0.631168,0.632426,2025-03-24 07:45:00,0.628192,stop_loss,1,5.500000,-72.264394
10,2025-03-24 08:00:00,0.628616,long,1.000000,23.693888,False,0.628601,0.146875,0.629559,0.630502,0.631759,2025-03-24 08:15:00,0.628522,stop_loss,0,0.250000,-93.946653
11,2025-03-24 08:30:00,0.628929,long,1.000000,18.941524,False,0.628607,3.221802,0.629872,0.630816,0.632074,2025-03-24 08:45:00,0.628553,stop_loss,0,0.250000,-375.668441
12,2025-03-24 12:30:00,0.627079,short,1.000000,43.798165,False,0.628079,10.000000,0.626139,0.625198,0.623944,2025-03-24 13:30:00,0.628165,stop_loss,0,1.000000,-1085.695088
13,2025-03-24 14:00:00,0.628352,short,1.000000,23.193971,False,0.629352,10.000000,0.627409,0.626466,0.625210,2025-03-24 20:15:00,0.629546,stop_loss,0,6.250000,-1194.683317
14,2025-03-25 05:45:00,0.631644,long,1.000000,51.358261,False,0.630644,10.000000,0.632591,0.633539,0.634802,2025-03-25 09:00:00,0.630474,stop_loss,0,3.250000,-1169.736343
15,2025-03-25 09:15:00,0.631054,long,1.000000,28.983651,False,0.630054,10.000000,0.632000,0.632947,0.634209,2025-03-25 13:30:00,0.629949,stop_loss,0,4.250000,-1104.503919
16,2025-03-26 04:30:00,0.632852,long,1.000000,42.425917,False,0.631852,10.000000,0.633801,0.634750,0.636016,2025-03-26 07:00:00,0.631808,stop_loss,0,2.500000,-1043.903319
17,2025-03-26 07:15:00,0.631827,long,1.000000,18.871884,False,0.631140,6.870757,0.632775,0.633722,0.634986,2025-03-26 08:15:00,0.630945,stop_loss,0,1.000000,-881.933300
18,2025-03-26 12:15:00,0.629136,short,1.000000,39.365393,False,0.630136,10.000000,0.628193,0.627249,0.625991,2025-03-26 21:00:00,0.630194,stop_loss,1,8.750000,-57.103281
19,2025-03-26 21:30:00,0.630968,short,1.000000,29.908823,False,0.631968,10.000000,0.630022,0.629076,0.627814,2025-03-28 07:45:00,0.630022,tp1_pullback,2,34.250000,1183.065919
20,2025-03-28 08:45:00,0.630822,long,1.000000,46.156774,False,0.629822,10.000000,0.631769,0.632715,0.633976,2025-03-28 09:30:00,0.629787,stop_loss,0,0.750000,-1035.190957
