iteration,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,avg_trade,avg_win,avg_loss,best_trade,worst_trade,recovery_factor,win_loss_ratio,expectancy,sqn,trades_per_day,start_date,end_date,timestamp,config,currency
1,-4.538374,594,45.117845,0.872203,-2.131899,0,5.713582,0,1155.745758,-1089.336203,0,0,0,0,0,0,0,2010-02-19 14:45:00,2010-06-16 22:15:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
2,-3.284980,359,41.782730,0.839374,-1.944532,0,4.281985,0,1144.412765,-978.524970,0,0,0,0,0,0,0,2014-01-20 02:15:00,2014-05-15 10:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
3,-1.114797,277,41.516245,0.928740,-0.709405,0,3.331066,0,1263.414464,-965.682951,0,0,0,0,0,0,0,2014-03-02 18:30:00,2014-06-27 00:15:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
4,-0.637215,297,48.148148,0.959369,-0.368742,0,2.712707,0,1052.144591,-1018.369001,0,0,0,0,0,0,0,2018-01-11 11:45:00,2018-05-08 19:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
5,-3.307278,359,42.896936,0.828694,-2.956366,0,3.570031,0,1038.897392,-941.770608,0,0,0,0,0,0,0,2016-09-27 00:45:00,2017-01-23 09:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
6,-0.905810,419,42.959427,0.963690,-0.587937,0,2.495450,0,1335.616172,-1043.803381,0,0,0,0,0,0,0,2012-06-06 02:00:00,2012-10-01 09:45:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
7,-4.099040,611,44.517185,0.887909,-2.152138,0,5.147957,0,1193.749067,-1078.731992,0,0,0,0,0,0,0,2010-08-05 06:45:00,2010-11-30 14:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
8,-0.607541,250,44.400000,0.956171,-0.458001,0,2.178901,0,1194.068254,-997.244486,0,0,0,0,0,0,0,2017-09-01 10:00:00,2017-12-28 17:45:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
9,-0.454312,567,40.035273,0.984379,-0.222061,0,2.967621,0,1261.213051,-855.407308,0,0,0,0,0,0,0,2020-01-29 15:15:00,2020-05-26 00:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
10,-1.588993,360,42.222222,0.920698,-1.202348,0,3.001572,0,1213.699390,-963.328078,0,0,0,0,0,0,0,2016-07-28 09:15:00,2016-11-22 17:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
11,-0.897848,289,46.366782,0.941995,-0.640978,0,3.182634,0,1088.123323,-998.625826,0,0,0,0,0,0,0,2018-01-18 16:00:00,2018-05-15 23:45:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
12,1.060174,369,48.238482,1.052673,0.586036,0,3.074200,0,1190.310425,-1053.788017,0,0,0,0,0,0,0,2013-09-16 10:45:00,2014-01-14 10:15:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
13,-1.346813,499,43.687375,0.954506,-0.766020,0,4.341751,0,1296.219692,-1053.537456,0,0,0,0,0,0,0,2010-11-24 14:00:00,2011-03-22 01:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
14,-1.590207,401,40.648379,0.924142,-1.035284,0,3.349037,0,1188.503364,-880.790400,0,0,0,0,0,0,0,2020-05-14 07:30:00,2020-09-08 15:15:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
15,1.542346,365,44.109589,1.083809,1.209230,0,1.872526,0,1238.849152,-902.113993,0,0,0,0,0,0,0,2022-01-10 22:15:00,2022-05-06 07:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
16,-2.050989,285,41.052632,0.874054,-1.648158,0,3.942125,0,1216.551654,-969.323991,0,0,0,0,0,0,0,2014-03-12 17:45:00,2014-07-08 23:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
17,-2.370863,512,43.750000,0.922853,-1.336959,0,4.344699,0,1266.111936,-1067.075372,0,0,0,0,0,0,0,2010-11-15 04:00:00,2011-03-10 15:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
18,-1.771981,303,38.943894,0.884545,-1.487237,0,3.672863,0,1150.488482,-829.607848,0,0,0,0,0,0,0,2023-09-21 18:15:00,2024-01-18 17:45:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
19,0.925552,520,41.153846,1.035424,0.789336,0,2.553163,0,1264.181235,-853.853813,0,0,0,0,0,0,0,2022-07-18 09:30:00,2022-11-10 17:15:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
20,-0.858660,331,43.504532,0.948355,-0.456129,0,2.047324,0,1094.960216,-889.095546,0,0,0,0,0,0,0,2020-07-27 02:15:00,2020-11-19 10:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
21,0.217780,331,43.202417,1.013856,0.265405,0,1.876355,0,1114.337020,-836.023353,0,0,0,0,0,0,0,2020-08-18 12:30:00,2020-12-14 15:15:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
22,-1.668961,309,39.158576,0.896735,-1.289259,0,2.883655,0,1197.761265,-859.674061,0,0,0,0,0,0,0,2024-11-11 03:45:00,2025-03-10 02:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
23,-2.615582,497,46.076459,0.906677,-1.632609,0,5.060949,0,1109.677402,-1045.790822,0,0,0,0,0,0,0,2014-10-14 09:30:00,2015-02-10 20:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
24,1.396697,432,42.592593,1.068091,0.661956,0,2.237164,0,1190.702942,-827.106352,0,0,0,0,0,0,0,2022-11-04 03:00:00,2023-03-06 19:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
25,-2.054657,308,38.636364,0.870988,-1.684294,0,3.814316,0,1165.664833,-842.649148,0,0,0,0,0,0,0,2023-09-19 14:30:00,2024-01-16 14:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
26,0.624255,333,43.543544,1.038228,0.521812,0,1.445560,0,1169.241585,-868.603637,0,0,0,0,0,0,0,2020-07-15 11:00:00,2020-11-09 18:45:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
27,-1.182946,317,39.432177,0.926478,-1.106591,0,2.739840,0,1192.541746,-838.006145,0,0,0,0,0,0,0,2024-11-26 09:30:00,2025-03-25 08:15:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
28,3.647954,407,50.368550,1.176323,2.291077,0,1.348790,0,1187.169565,-1024.208996,0,0,0,0,0,0,0,2014-07-28 11:45:00,2014-11-20 19:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
29,0.996756,488,47.950820,1.037661,0.479823,0,3.169844,0,1173.645523,-1041.990123,0,0,0,0,0,0,0,2014-09-03 07:00:00,2014-12-30 18:45:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
30,1.156761,260,46.538462,1.085774,0.955711,0,1.377662,0,1210.155960,-970.224893,0,0,0,0,0,0,0,2018-04-27 10:30:00,2018-08-22 18:15:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
31,0.669748,385,47.532468,1.032220,0.283555,0,3.641931,0,1172.499995,-1029.059504,0,0,0,0,0,0,0,2013-11-20 18:00:00,2014-03-20 17:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
32,-1.116762,240,40.833333,0.908175,-1.069513,0,1.856411,0,1127.055289,-856.472135,0,0,0,0,0,0,0,2024-03-21 22:30:00,2024-07-17 08:15:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
33,-4.350839,523,45.506692,0.848425,-2.885723,0,4.848031,0,1023.250728,-1007.165147,0,0,0,0,0,0,0,2014-12-17 17:30:00,2015-04-16 04:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
34,-2.234630,356,42.134831,0.876598,-1.709599,0,2.549170,0,1058.255909,-879.051855,0,0,0,0,0,0,0,2020-09-09 01:30:00,2021-01-06 18:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
35,-0.519067,189,37.566138,0.947116,-0.466492,0,1.967914,0,1309.317331,-831.798344,0,0,0,0,0,0,0,2019-05-01 18:30:00,2019-08-27 14:15:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
36,-1.523515,528,45.075758,0.951947,-0.741655,0,5.318881,0,1268.113066,-1093.262291,0,0,0,0,0,0,0,2010-01-31 20:30:00,2010-05-27 04:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
37,0.583310,292,44.520548,1.036955,0.330864,0,1.443433,0,1259.054270,-974.345390,0,0,0,0,0,0,0,2014-06-10 16:15:00,2014-10-06 00:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
38,0.162038,368,47.282609,1.007901,-0.046300,0,3.033272,0,1187.983224,-1057.158243,0,0,0,0,0,0,0,2013-09-11 10:15:00,2014-01-09 09:45:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
39,-5.765478,419,38.424821,0.768782,-3.397074,0,6.384433,0,1190.671610,-966.484153,0,0,0,0,0,0,0,2016-04-14 02:00:00,2016-08-09 09:45:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
40,-1.508030,451,44.345898,0.943829,-0.945999,0,3.154002,0,1266.944281,-1069.598244,0,0,0,0,0,0,0,2013-07-10 02:00:00,2013-11-04 09:45:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
41,-8.477966,492,39.227642,0.736888,-5.230840,0,8.801919,0,1230.255829,-1077.655647,0,0,0,0,0,0,0,2013-03-06 12:30:00,2013-07-01 20:45:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
42,-1.224827,503,47.316103,0.954387,-0.712142,0,4.006455,0,1076.796312,-1013.304879,0,0,0,0,0,0,0,2015-03-05 10:15:00,2015-06-30 18:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
43,-1.718350,286,46.153846,0.892906,-1.379334,0,2.797833,0,1085.376683,-1041.904066,0,0,0,0,0,0,0,2017-08-08 17:15:00,2017-12-04 01:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
44,0.651385,503,40.954274,1.026851,0.213948,0,2.438580,0,1209.273556,-816.823242,0,0,0,0,0,0,0,2022-09-25 20:00:00,2023-01-19 06:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
45,-0.400141,297,44.781145,0.973610,-0.278773,0,2.231210,0,1109.955729,-924.545845,0,0,0,0,0,0,0,2021-09-27 07:45:00,2022-01-20 15:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
46,-3.003020,363,44.352617,0.845468,-2.455336,0,3.752469,0,1020.495677,-962.029704,0,0,0,0,0,0,0,2016-09-27 23:45:00,2017-01-24 08:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
47,-3.221417,292,36.301370,0.801404,-2.921651,0,4.321399,0,1226.369026,-872.092932,0,0,0,0,0,0,0,2018-11-02 04:15:00,2019-03-01 02:00:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
48,-4.453387,644,45.341615,0.884032,-1.911376,0,6.335406,0,1162.617028,-1090.960348,0,0,0,0,0,0,0,2010-03-11 20:00:00,2010-07-07 03:45:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
49,-3.672364,285,34.385965,0.773660,-2.939032,0,4.474388,0,1280.880423,-867.646623,0,0,0,0,0,0,0,2018-11-07 18:45:00,2019-03-06 16:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
50,-2.775523,306,41.176471,0.842932,-1.787847,0,3.505794,0,1182.166815,-981.712515,0,0,0,0,0,0,0,2014-02-14 09:45:00,2014-06-12 15:30:00,20250615_121319,Config 1: Ultra-Tight Risk Management,AUDUSD
