trade_id,entry_time,entry_price,direction,initial_size,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,tp1_distance_pips,tp2_distance_pips,tp3_distance_pips,exit_time,final_exit_price,exit_reason,trade_duration_hours,tp_hits,total_exited,total_exited_millions,position_integrity_ok,partial_pnl_total,final_pnl,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_price,partial_exit_1_pips,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_price,partial_exit_2_pips,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_price,partial_exit_3_pips,partial_exit_3_pnl
1,2015-08-26 11:45:00,0.708626,short,1000000.000000,1.000000,38.906237,False,Standard (NTI+MB+IC),0.709626,10.000000,0.707563,0.706500,0.705082,10.629383,21.258766,35.431277,2015-08-26 12:45:00,0.708596,trailing_stop,1.000000,1,1000000.000000,1.000000,True,774.903988,784.718006,784.718006,PARTIAL,0.500000,0.707430,11.955306,597.765321,TP1,0.166650,0.707563,10.629383,177.138667,trailing_stop,0.333350,0.708596,0.294406,9.814018
2,2015-08-26 13:00:00,0.708186,short,1000000.000000,1.000000,43.062275,False,Standard (NTI+MB+IC),0.709186,10.000000,0.707123,0.706061,0.704645,10.622786,21.245572,35.409286,2015-08-26 13:30:00,0.709231,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-1045.567784,-1045.567784,stop_loss,1.000000,0.709231,-10.455678,-1045.567784,,,,,,,,,,
3,2015-08-26 17:45:00,0.712828,long,1000000.000000,1.000000,45.060113,False,Standard (NTI+MB+IC),0.711828,10.000000,0.713897,0.714967,0.716392,10.692421,21.384842,35.641403,2015-08-26 18:15:00,0.711795,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-1032.878144,-1032.878144,stop_loss,1.000000,0.711795,-10.328781,-1032.878144,,,,,,,,,,
4,2015-08-26 18:45:00,0.712198,long,1000000.000000,1.000000,45.037375,False,Standard (NTI+MB+IC),0.711198,10.000000,0.713266,0.714334,0.715759,10.682965,21.365931,35.609885,2015-08-26 20:45:00,0.712242,trailing_stop,2.000000,0,1000000.000000,1.000000,True,0.000000,44.735324,44.735324,trailing_stop,1.000000,0.712242,0.447353,44.735324,,,,,,,,,,
5,2015-08-26 21:30:00,0.714717,long,1000000.000000,1.000000,42.651094,False,Standard (NTI+MB+IC),0.713717,10.000000,0.715789,0.716861,0.718291,10.720757,21.441513,35.735855,2015-08-26 22:15:00,0.713631,stop_loss,0.750000,0,1000000.000000,1.000000,True,0.000000,-1085.717259,-1085.717259,stop_loss,1.000000,0.713631,-10.857173,-1085.717259,,,,,,,,,,
6,2015-08-27 00:00:00,0.711836,long,1000000.000000,1.000000,11.683732,False,Standard (NTI+MB+IC),0.711565,2.707548,0.712904,0.713972,0.715395,10.677542,21.355084,35.591807,2015-08-27 00:30:00,0.711925,trailing_stop,0.500000,0,1000000.000000,1.000000,True,206.931459,251.304939,251.304939,PARTIAL,0.500000,0.712250,4.138629,206.931459,trailing_stop,0.500000,0.711925,0.887470,44.373480,,,,,
7,2015-08-27 01:00:00,0.710360,long,1000000.000000,1.000000,31.610820,False,Standard (NTI+MB+IC),0.711603,12.426089,0.711426,0.712491,0.713912,10.655403,21.310805,35.518009,2015-08-27 02:00:00,0.710417,trailing_stop,1.000000,1,1000000.000000,1.000000,True,557.481498,576.326427,576.326427,PARTIAL,0.500000,0.711120,7.598184,379.909212,TP1,0.166650,0.711426,10.655403,177.572286,trailing_stop,0.333350,0.710417,0.565320,18.844929
8,2015-08-27 14:30:00,0.717617,long,1000000.000000,1.000000,42.481907,False,Standard (NTI+MB+IC),0.716617,10.000000,0.718694,0.719770,0.721205,10.764258,21.528516,35.880859,2015-08-27 15:00:00,0.716426,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-1191.051378,-1191.051378,stop_loss,1.000000,0.716426,-11.910514,-1191.051378,,,,,,,,,,
9,2015-08-27 18:00:00,0.717303,long,1000000.000000,1.000000,31.186019,False,Standard (NTI+MB+IC),0.716303,10.000000,0.718379,0.719455,0.720889,10.759542,21.519084,35.865141,2015-08-27 22:15:00,0.718379,tp1_pullback,4.250000,2,1000000.000000,1.000000,True,1166.571116,1345.905785,1345.905785,PARTIAL,0.500000,0.718560,12.571880,628.594007,TP1,0.166650,0.718379,10.759542,179.307770,TP2,0.166675,0.719455,21.519084,358.669339
10,2015-08-27 22:30:00,0.718136,long,1000000.000000,1.000000,48.302014,False,Standard (NTI+MB+IC),0.717136,10.000000,0.719213,0.720291,0.721727,10.772044,21.544089,35.906814,2015-08-27 23:30:00,0.718185,trailing_stop,1.000000,0,1000000.000000,1.000000,True,276.855410,301.184583,301.184583,PARTIAL,0.500000,0.718690,5.537108,276.855410,trailing_stop,0.500000,0.718185,0.486583,24.329174,,,,,
11,2015-08-27 23:45:00,0.718056,long,1000000.000000,1.000000,16.621003,False,Standard (NTI+MB+IC),0.717056,10.000000,0.719133,0.720210,0.721646,10.770843,21.541686,35.902810,2015-08-28 00:00:00,0.716949,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,-1106.935299,-1106.935299,stop_loss,1.000000,0.716949,-11.069353,-1106.935299,,,,,,,,,,
12,2015-08-28 00:15:00,0.716282,long,1000000.000000,1.000000,17.950437,False,Standard (NTI+MB+IC),0.716654,3.727875,0.717356,0.718430,0.719863,10.744224,21.488448,35.814080,2015-08-28 01:00:00,0.716300,trailing_stop,0.750000,1,1000000.000000,1.000000,True,613.254741,619.478184,619.478184,PARTIAL,0.500000,0.717150,8.684045,434.202250,TP1,0.166650,0.717356,10.744224,179.052492,trailing_stop,0.333350,0.716300,0.186694,6.223443
