trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total
1,2010-02-15 23:45:00,0.893416,long,1.000000,35.317677,False,Standard (NTI+MB+IC),0.892416,10.000000,0.894756,0.896096,0.897883,2010-02-16 00:30:00,0.893446,trailing_stop,0,0.750000,30.041281,0.300413,30.041281,,,,,,,,,,
2,2010-02-16 00:45:00,0.893250,long,1.000000,50.470678,False,Standard (NTI+MB+IC),0.892250,10.000000,0.894590,0.895930,0.897716,2010-02-16 05:45:00,0.893772,trailing_stop,0,5.000000,1294.369478,5.220896,1294.369478,TP0,0.500000,625.106364,TP0,0.165000,221.079322,TP0,0.110550,148.123146,994.308833
3,2010-02-16 06:00:00,0.893641,long,1.000000,14.912180,False,Standard (NTI+MB+IC),0.892641,10.000000,0.894981,0.896322,0.898109,2010-02-18 17:00:00,0.900901,trailing_stop,0,59.000000,1149.813867,72.604842,1149.813867,TP0,0.500000,479.583242,TP0,0.165000,221.176106,TP0,0.110550,148.187991,848.947339
4,2010-02-18 17:15:00,0.895517,long,1.000000,55.223903,False,Standard (NTI+MB+IC),0.897870,23.521576,0.896861,0.898204,0.899995,2010-02-18 17:30:00,0.897814,stop_loss,0,0.250000,2296.634881,22.966349,2296.634881,,,,,,,,,,
5,2010-02-18 17:45:00,0.892292,short,1.000000,56.750265,False,Standard (NTI+MB+IC),0.893292,10.000000,0.890954,0.889616,0.887831,2010-02-18 19:15:00,0.892159,trailing_stop,0,1.500000,1884.091903,1.337748,1884.091903,TP0,0.500000,1296.194950,TP0,0.165000,220.842367,TP0,0.110550,147.964386,1665.001702
6,2010-02-18 19:30:00,0.892285,short,1.000000,51.769143,False,Standard (NTI+MB+IC),0.893285,10.000000,0.890947,0.889608,0.887824,2010-02-18 20:15:00,0.892210,trailing_stop,0,0.750000,480.062337,0.749834,480.062337,TP0,0.500000,442.570628,,,,,,,442.570628
7,2010-02-18 20:30:00,0.891252,short,1.000000,44.965705,False,Standard (NTI+MB+IC),0.892252,10.000000,0.889915,0.888579,0.886796,2010-02-18 21:15:00,0.891171,trailing_stop,0,0.750000,774.080258,0.816216,774.080258,TP0,0.500000,526.152074,TP0,0.165000,220.584945,,,,746.737019
8,2010-02-18 21:45:00,0.891095,short,1.000000,34.055212,False,Standard (NTI+MB+IC),0.892095,10.000000,0.889759,0.888422,0.886640,2010-02-18 22:30:00,0.892293,stop_loss,0,0.750000,-1197.473199,-11.974732,-1197.473199,,,,,,,,,,
9,2010-02-19 00:15:00,0.890251,short,1.000000,17.395927,False,Standard (NTI+MB+IC),0.891251,10.000000,0.888916,0.887580,0.885800,2010-02-19 03:00:00,0.890217,trailing_stop,0,2.750000,955.364203,0.338815,955.364203,TP0,0.500000,375.534963,TP0,0.165000,220.337140,TP0,0.110550,147.625884,743.497986
10,2010-02-19 13:00:00,0.897006,long,1.000000,33.993057,False,Standard (NTI+MB+IC),0.896006,10.000000,0.898351,0.899697,0.901491,2010-02-19 13:45:00,0.897071,trailing_stop,0,0.750000,65.381261,0.653813,65.381261,,,,,,,,,,
