trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2021-02-16 22:00:00,0.775191,short,1.000000,18.228985,False,Standard (NTI+MB+IC),0.775994,8.030747,0.774028,0.772865,0.771315,2021-02-16 22:45:00,0.775096,trailing_stop,0,0.750000,94.501127,0.945011,94.501127,,,,,,,,,,
2,2021-02-17 07:00:00,0.773827,short,1.000000,38.242460,False,Standard (NTI+MB+IC),0.774827,10.000000,0.772666,0.771506,0.769958,2021-02-17 07:45:00,0.774951,stop_loss,0,0.750000,-1123.476623,-11.234766,-1123.476623,,,,,,,,,,
3,2021-02-17 09:15:00,0.773060,short,1.000000,38.168051,False,Standard (NTI+MB+IC),0.774060,10.000000,0.771901,0.770741,0.769195,2021-02-17 12:15:00,0.774060,stop_loss,0,3.000000,-1000.162173,-10.001622,-1000.162173,,,,,,,,,,
4,2021-02-17 19:00:00,0.775919,long,1.000000,43.696454,False,Standard (NTI+MB+IC),0.774919,10.000000,0.777083,0.778247,0.779798,2021-02-17 20:00:00,0.775931,trailing_stop,0,1.000000,596.646616,0.120761,596.646616,TP0,0.500000,400.561206,TP0,0.165000,192.039922,592.601129,,,
5,2021-02-17 20:15:00,0.776002,long,1.000000,66.328132,False,Standard (NTI+MB+IC),0.775002,10.000000,0.777166,0.778330,0.779882,2021-02-17 22:30:00,0.774877,stop_loss,0,2.250000,-1124.677997,-11.246780,-1124.677997,,,,,,,,,,
6,2021-02-18 03:45:00,0.777748,long,1.000000,29.081668,False,Standard (NTI+MB+IC),0.776748,10.000000,0.778915,0.780081,0.781637,2021-02-18 08:45:00,0.777844,trailing_stop,0,5.000000,719.229492,0.956273,719.229492,TP0,0.330000,384.985202,TP0,0.335000,302.209137,687.194339,,,
7,2021-02-18 09:00:00,0.776417,long,1.000000,15.456139,False,Standard (NTI+MB+IC),0.776139,2.770710,0.777581,0.778746,0.780299,2021-02-18 09:30:00,0.776076,stop_loss,0,0.500000,-340.487911,-3.404879,-340.487911,,,,,,,,,,
8,2021-02-18 09:45:00,0.776043,long,1.000000,18.850033,False,Standard (NTI+MB+IC),0.776203,1.601719,0.777207,0.778371,0.779923,2021-02-18 10:00:00,0.776163,stop_loss,0,0.250000,119.879901,1.198799,119.879901,,,,,,,,,,
9,2021-02-18 10:45:00,0.773976,short,1.000000,48.500160,False,Standard (NTI+MB+IC),0.774976,10.000000,0.772815,0.771654,0.770106,2021-02-18 11:15:00,0.775049,stop_loss,0,0.500000,-1072.773163,-10.727732,-1072.773163,,,,,,,,,,
10,2021-02-18 11:30:00,0.774892,short,1.000000,42.993753,False,Standard (NTI+MB+IC),0.775892,10.000000,0.773730,0.772568,0.771018,2021-02-18 13:15:00,0.775975,stop_loss,0,1.750000,-1082.840161,-10.828402,-1082.840161,,,,,,,,,,
11,2021-02-18 15:15:00,0.776874,long,1.000000,38.215293,False,Standard (NTI+MB+IC),0.775874,10.000000,0.778040,0.779205,0.780759,2021-02-18 16:45:00,0.776900,trailing_stop,0,1.500000,25.418089,0.254181,25.418089,,,,,,,,,,
