trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2022-02-02 01:15:00,0.713708,long,1.000000,21.024702,False,Standard (NTI+MB+IC),0.712708,10.000000,0.714779,0.715850,0.717277,2022-02-02 03:30:00,0.712562,stop_loss,0,2.250000,-1146.316481,-11.463165,-1146.316481,,,,,,,,,,
2,2022-02-02 06:30:00,0.714850,long,1.000000,35.937298,False,Standard (NTI+MB+IC),0.713850,10.000000,0.715922,0.716994,0.718424,2022-02-02 07:15:00,0.714916,trailing_stop,0,0.750000,66.124034,0.661240,66.124034,,,,,,,,,,
3,2022-02-02 07:30:00,0.715050,long,1.000000,40.702751,False,Standard (NTI+MB+IC),0.714050,10.000000,0.716122,0.717195,0.718625,2022-02-02 08:30:00,0.715148,trailing_stop,0,1.000000,354.554063,0.987329,354.554063,PPT,0.500000,305.187633,305.187633,,,,,,
4,2022-02-02 08:45:00,0.713569,long,1.000000,23.252712,False,Standard (NTI+MB+IC),0.713330,2.390014,0.714639,0.715709,0.717136,2022-02-02 09:30:00,0.713665,trailing_stop,0,0.750000,543.983899,0.965421,543.983899,PPT,0.500000,495.712831,495.712831,,,,,,
5,2022-02-02 09:45:00,0.712867,long,1.000000,20.063015,False,Standard (NTI+MB+IC),0.713421,5.546991,0.713936,0.715005,0.716431,2022-02-02 10:00:00,0.713249,stop_loss,0,0.250000,382.705962,3.827060,382.705962,,,,,,,,,,
6,2022-02-02 10:15:00,0.712255,long,1.000000,42.285418,False,Standard (NTI+MB+IC),0.713407,11.527085,0.713323,0.714391,0.715816,2022-02-02 10:45:00,0.712288,trailing_stop,0,0.500000,369.473103,0.335397,369.473103,PPT,0.500000,352.703248,352.703248,,,,,,
7,2022-02-02 14:45:00,0.714477,long,1.000000,36.475783,False,Standard (NTI+MB+IC),0.713477,10.000000,0.715548,0.716620,0.718049,2022-02-02 16:00:00,0.713397,stop_loss,0,1.250000,-1079.950511,-10.799505,-1079.950511,,,,,,,,,,
8,2022-02-02 19:45:00,0.711835,short,1.000000,53.383705,False,Standard (NTI+MB+IC),0.712835,10.000000,0.710767,0.709699,0.708276,2022-02-03 02:45:00,0.712957,stop_loss,0,7.000000,-1122.343788,-11.223438,-1122.343788,,,,,,,,,,
9,2022-02-03 09:30:00,0.716112,long,1.000000,47.708345,False,Standard (NTI+MB+IC),0.715112,10.000000,0.717186,0.718260,0.719692,2022-02-03 09:45:00,0.714926,stop_loss,0,0.250000,-1185.778172,-11.857782,-1185.778172,,,,,,,,,,
10,2022-02-03 10:00:00,0.714748,long,1.000000,46.807819,False,Standard (NTI+MB+IC),0.713748,10.000000,0.715820,0.716892,0.718322,2022-02-03 11:30:00,0.714753,trailing_stop,0,1.500000,278.392131,0.047330,278.392131,PPT,0.500000,276.025652,276.025652,,,,,,
11,2022-02-03 11:45:00,0.714110,long,1.000000,38.048589,False,Standard (NTI+MB+IC),0.713110,10.000000,0.715181,0.716253,0.717681,2022-02-03 14:15:00,0.714169,trailing_stop,0,2.500000,59.185891,0.591859,59.185891,,,,,,,,,,
12,2022-02-04 01:30:00,0.712790,long,1.000000,32.588533,False,Standard (NTI+MB+IC),0.713643,8.537094,0.713859,0.714928,0.716354,2022-02-04 01:45:00,0.713509,stop_loss,0,0.250000,719.417152,7.194172,719.417152,,,,,,,,,,
13,2022-02-04 02:00:00,0.712040,short,1.000000,43.158681,False,Standard (NTI+MB+IC),0.713040,10.000000,0.710972,0.709904,0.708480,2022-02-07 09:45:00,0.707963,trailing_stop,0,79.750000,794.255139,40.772488,794.255139,PPT,0.500000,260.224802,554.528921,PPT,0.165000,176.230011,PPT,0.110550,118.074108
14,2022-02-07 10:00:00,0.711835,long,1.000000,39.010744,False,Standard (NTI+MB+IC),0.710835,10.000000,0.712903,0.713971,0.715394,2022-02-07 11:30:00,0.710753,stop_loss,0,1.500000,-1081.964712,-10.819647,-1081.964712,,,,,,,,,,
15,2022-02-07 15:15:00,0.712453,long,1.000000,42.908644,False,Standard (NTI+MB+IC),0.711453,10.000000,0.713522,0.714591,0.716016,2022-02-07 23:30:00,0.712487,trailing_stop,0,8.250000,911.688976,0.335477,911.688976,PPT,0.500000,398.365711,692.840458,PPT,0.165000,176.332184,PPT,0.110550,118.142563
16,2022-02-07 23:45:00,0.712019,long,1.000000,15.401150,False,Standard (NTI+MB+IC),0.711896,1.223143,0.713087,0.714155,0.715579,2022-02-08 00:00:00,0.711893,stop_loss,0,0.250000,-125.676856,-1.256769,-125.676856,,,,,,,,,,
17,2022-02-08 00:15:00,0.710911,long,1.000000,40.114502,False,Standard (NTI+MB+IC),0.711923,10.125370,0.711977,0.713043,0.714465,2022-02-08 00:30:00,0.711905,stop_loss,0,0.250000,994.112214,9.941122,994.112214,,,,,,,,,,
18,2022-02-08 00:45:00,0.711248,short,1.000000,45.266345,False,Standard (NTI+MB+IC),0.712248,10.000000,0.710181,0.709115,0.707692,2022-02-08 03:00:00,0.712359,stop_loss,0,2.250000,-1110.687343,-11.106873,-1110.687343,,,,,,,,,,
19,2022-02-08 16:45:00,0.714519,long,1.000000,38.096401,False,Standard (NTI+MB+IC),0.713519,10.000000,0.715591,0.716662,0.718091,2022-02-09 02:30:00,0.714571,trailing_stop,0,9.750000,946.371379,0.524024,946.371379,PPT,0.500000,410.558240,705.886758,PPT,0.165000,176.843424,PPT,0.110550,118.485094
20,2022-02-09 02:45:00,0.715430,long,1.000000,22.607392,False,Standard (NTI+MB+IC),0.714758,6.724296,0.716503,0.717576,0.719007,2022-02-10 09:00:00,0.717554,trailing_stop,0,30.250000,951.582291,21.238590,951.582291,PPT,0.500000,415.009805,710.714902,PPT,0.165000,177.068920,PPT,0.110550,118.636176
21,2022-02-10 09:30:00,0.718171,short,1.000000,24.917333,False,Standard (NTI+MB+IC),0.718670,4.993597,0.717094,0.716017,0.714580,2022-02-10 09:45:00,0.718807,stop_loss,0,0.250000,-635.889939,-6.358899,-635.889939,,,,,,,,,,
22,2022-02-10 10:30:00,0.723681,long,1.000000,42.945245,False,Standard (NTI+MB+IC),0.722681,10.000000,0.724767,0.725852,0.727299,2022-02-10 12:15:00,0.723737,trailing_stop,0,1.750000,662.228707,0.555933,662.228707,PPT,0.500000,464.493897,643.604948,PPT,0.165000,179.111051,,,
23,2022-02-10 12:30:00,0.723276,long,1.000000,41.391877,False,Standard (NTI+MB+IC),0.722276,10.000000,0.724361,0.725446,0.726892,2022-02-10 12:45:00,0.722233,stop_loss,0,0.250000,-1042.551345,-10.425513,-1042.551345,,,,,,,,,,
24,2022-02-10 13:00:00,0.721595,long,1.000000,19.929401,False,Standard (NTI+MB+IC),0.720595,10.000000,0.722678,0.723760,0.725203,2022-02-10 13:15:00,0.720556,stop_loss,0,0.250000,-1039.724868,-10.397249,-1039.724868,,,,,,,,,,
25,2022-02-10 13:30:00,0.719973,long,1.000000,21.127931,False,Standard (NTI+MB+IC),0.719254,7.196477,0.721053,0.722133,0.723573,2022-02-10 14:00:00,0.719186,stop_loss,0,0.500000,-787.253637,-7.872536,-787.253637,,,,,,,,,,
26,2022-02-10 14:15:00,0.718846,long,1.000000,24.716843,False,Standard (NTI+MB+IC),0.719361,5.147324,0.719925,0.721003,0.722440,2022-02-10 14:30:00,0.719220,stop_loss,0,0.250000,373.899035,3.738990,373.899035,,,,,,,,,,
27,2022-02-10 14:45:00,0.716951,long,1.000000,26.744909,False,Standard (NTI+MB+IC),0.719345,23.935829,0.718027,0.719102,0.720536,2022-02-10 15:30:00,0.717039,trailing_stop,0,0.750000,413.445836,0.873955,413.445836,PPT,0.330000,354.890873,354.890873,,,,,,
28,2022-02-10 15:45:00,0.716270,short,1.000000,63.045789,False,Standard (NTI+MB+IC),0.717270,10.000000,0.715196,0.714121,0.712689,2022-02-10 16:30:00,0.716227,trailing_stop,0,0.750000,286.580239,0.431482,286.580239,PPT,0.500000,265.006125,265.006125,,,,,,
29,2022-02-10 16:45:00,0.716515,short,1.000000,62.602359,False,Standard (NTI+MB+IC),0.717515,10.000000,0.715441,0.714366,0.712933,2022-02-10 18:30:00,0.716441,trailing_stop,0,1.750000,354.820297,0.743194,354.820297,PPT,0.500000,317.660603,317.660603,,,,,,
30,2022-02-10 18:45:00,0.716043,short,1.000000,47.912727,False,Standard (NTI+MB+IC),0.717043,10.000000,0.714969,0.713895,0.712463,2022-02-11 07:30:00,0.713762,trailing_stop,0,12.750000,903.773192,22.818568,903.773192,PPT,0.500000,366.740580,662.699252,PPT,0.165000,177.220762,PPT,0.110550,118.737910
