trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2014-11-03 19:15:00,0.868387,short,1.000000,26.699584,False,Standard (NTI+MB+IC),0.869387,10.000000,0.867085,0.865782,0.864045,2014-11-03 20:15:00,0.869532,stop_loss,0,1.000000,795.413604,PPT,0.500000,693.564629,PPT,0.165000,214.925814,PPT,0.110550,144.000296,1052.490739,-11.453648,795.413604
2,2014-11-03 23:15:00,0.872242,long,1.000000,37.493140,False,Standard (NTI+MB+IC),0.871242,10.000000,0.873550,0.874859,0.876603,2014-11-04 08:15:00,0.872339,trailing_stop,0,9.000000,1173.174249,PPT,0.500000,523.950457,PPT,0.165000,215.879920,PPT,0.110550,144.639546,884.469923,0.965941,1173.174249
3,2014-11-05 01:30:00,0.870064,short,1.000000,46.975207,False,Standard (NTI+MB+IC),0.871064,10.000000,0.868759,0.867454,0.865714,2014-11-11 13:30:00,0.858156,trailing_stop,0,156.000000,994.593892,PPT,0.500000,342.045823,PPT,0.165000,215.340863,PPT,0.110550,144.278378,701.665064,119.076330,994.593892
4,2014-11-11 13:45:00,0.868996,long,1.000000,64.873676,False,Standard (NTI+MB+IC),0.867996,10.000000,0.870300,0.871603,0.873341,2014-11-11 16:45:00,0.869016,trailing_stop,0,3.000000,1565.406514,PPT,0.500000,971.753284,PPT,0.165000,215.076632,PPT,0.110550,144.101344,1330.931260,0.190557,1565.406514
5,2014-11-11 17:00:00,0.869231,long,1.000000,20.800106,False,Standard (NTI+MB+IC),0.868231,10.000000,0.870535,0.871839,0.873578,2014-11-11 19:45:00,0.868207,stop_loss,0,2.750000,718.681049,PPT,0.500000,589.305919,PPT,0.165000,215.134769,PPT,0.110550,144.140295,948.580982,-10.242813,718.681049
6,2014-11-12 02:45:00,0.871563,long,1.000000,42.585628,False,Standard (NTI+MB+IC),0.870563,10.000000,0.872870,0.874178,0.875921,2014-11-12 03:00:00,0.870525,stop_loss,0,0.250000,-1038.040508,,,,,,,,,,,-10.380405,-1038.040508
7,2014-11-12 06:30:00,0.871767,long,1.000000,37.745351,False,Standard (NTI+MB+IC),0.870767,10.000000,0.873075,0.874383,0.876126,2014-11-12 07:45:00,0.870666,stop_loss,0,1.250000,-1101.559946,,,,,,,,,,,-11.015599,-1101.559946
8,2014-11-12 10:00:00,0.873017,long,1.000000,36.161990,False,Standard (NTI+MB+IC),0.872017,10.000000,0.874326,0.875636,0.877382,2014-11-12 13:15:00,0.872003,stop_loss,0,3.250000,202.885031,PPT,0.500000,326.530293,PPT,0.165000,216.071693,,,,542.601986,-10.140805,202.885031
9,2014-11-12 14:15:00,0.871013,long,1.000000,21.576881,False,Standard (NTI+MB+IC),0.870784,2.287673,0.872320,0.873626,0.875368,2014-11-12 18:15:00,0.870666,stop_loss,0,4.000000,14.874664,PPT,0.500000,188.457770,,,,,,,188.457770,-3.471662,14.874664
10,2014-11-12 21:30:00,0.867542,long,1.000000,22.613657,False,Standard (NTI+MB+IC),0.871058,35.159430,0.868843,0.870144,0.871880,2014-11-14 00:30:00,0.872056,trailing_stop,0,27.000000,1729.739593,PPT,0.500000,1079.083218,PPT,0.165000,214.716604,PPT,0.110550,143.860125,1437.659946,45.137602,1729.739593
11,2014-11-14 00:45:00,0.868369,short,1.000000,42.786450,False,Standard (NTI+MB+IC),0.869369,10.000000,0.867066,0.865764,0.864027,2014-11-14 02:45:00,0.869552,stop_loss,0,2.000000,-1183.235106,,,,,,,,,,,-11.832351,-1183.235106
12,2014-11-14 03:30:00,0.869231,short,1.000000,11.415893,False,Standard (NTI+MB+IC),0.870231,10.000000,0.867927,0.866623,0.864885,2014-11-14 04:30:00,0.870334,stop_loss,0,1.000000,-1103.459738,,,,,,,,,,,-11.034597,-1103.459738
13,2014-11-14 05:45:00,0.871077,long,1.000000,44.755229,False,Standard (NTI+MB+IC),0.870077,10.000000,0.872384,0.873690,0.875432,2014-11-14 06:00:00,0.869936,stop_loss,0,0.250000,-1140.882845,,,,,,,,,,,-11.408828,-1140.882845
14,2014-11-14 08:00:00,0.867469,short,1.000000,31.501268,False,Standard (NTI+MB+IC),0.868469,10.000000,0.866168,0.864866,0.863131,2014-11-14 10:00:00,0.868647,stop_loss,0,2.000000,1025.125254,PPT,0.500000,624.362632,PPT,0.165000,214.698510,PPT,0.110550,143.848001,982.909143,-11.784497,1025.125254
