trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2016-10-04 17:00:00,0.761778,short,1.000000,28.132847,False,Standard (NTI+MB+IC),0.762778,10.000000,0.760635,0.759492,0.757969,2016-10-04 21:00:00,0.762926,stop_loss,1,4.000000,458.147596,PPT,0.500000,268.751731,TP1,0.333333,380.888752,649.640483,-11.489573,458.147596,,,
2,2016-10-04 21:15:00,0.763440,short,1.000000,21.166647,False,Standard (NTI+MB+IC),0.763284,1.558234,0.762295,0.761149,0.759622,2016-10-04 21:30:00,0.763367,stop_loss,0,0.250000,73.056518,,,,,,,,0.730565,73.056518,,,
3,2016-10-04 21:45:00,0.764320,short,1.000000,24.808388,False,Standard (NTI+MB+IC),0.763258,10.616520,0.763173,0.762027,0.760498,2016-10-04 22:00:00,0.763452,stop_loss,0,0.250000,723.735687,PPT,0.500000,289.819634,,,,289.819634,8.678321,723.735687,,,
4,2016-10-04 22:15:00,0.763343,short,1.000000,52.787602,False,Standard (NTI+MB+IC),0.763270,0.728644,0.762198,0.761053,0.759526,2016-10-04 22:45:00,0.763404,stop_loss,0,0.500000,21.158435,PPT,0.500000,51.569509,,,,51.569509,-0.608221,21.158435,,,
5,2016-10-04 23:00:00,0.763138,long,1.000000,46.523695,False,Standard (NTI+MB+IC),0.762548,5.898057,0.764282,0.765427,0.766953,2016-10-05 02:00:00,0.762391,stop_loss,0,3.000000,-137.324035,PPT,0.500000,236.151425,,,,236.151425,-7.469509,-137.324035,,,
6,2016-10-05 02:45:00,0.760197,short,1.000000,36.540765,False,Standard (NTI+MB+IC),0.761197,10.000000,0.759057,0.757917,0.756396,2016-10-05 03:00:00,0.761392,stop_loss,0,0.250000,-1194.262483,,,,,,,,-11.942625,-1194.262483,,,
7,2016-10-05 03:15:00,0.761561,short,1.000000,39.796873,False,Standard (NTI+MB+IC),0.762561,10.000000,0.760419,0.759277,0.757753,2016-10-05 08:15:00,0.762641,stop_loss,0,5.000000,-274.419724,PPT,0.500000,265.648058,,,,265.648058,-10.801356,-274.419724,,,
8,2016-10-06 07:15:00,0.757654,short,1.000000,38.004826,False,Standard (NTI+MB+IC),0.758654,10.000000,0.756518,0.755382,0.753866,2016-10-07 08:30:00,0.758793,stop_loss,1,25.250000,516.359447,PPT,0.500000,327.237712,TP1,0.333333,378.827238,706.064950,-11.382330,516.359447,,,
9,2016-10-07 09:00:00,0.761388,long,1.000000,46.766945,False,Standard (NTI+MB+IC),0.760388,10.000000,0.762530,0.763672,0.765195,2016-10-07 10:15:00,0.760324,stop_loss,0,1.250000,-1063.831934,,,,,,,,-10.638319,-1063.831934,,,
10,2016-10-07 11:15:00,0.757748,long,1.000000,20.070020,False,Standard (NTI+MB+IC),0.757831,0.827367,0.758885,0.760021,0.761537,2016-10-07 11:30:00,0.757758,stop_loss,0,0.250000,9.869466,,,,,,,,0.098695,9.869466,,,
11,2016-10-07 11:45:00,0.755456,long,1.000000,45.444971,False,Standard (NTI+MB+IC),0.757823,23.676021,0.756589,0.757722,0.759233,2016-10-07 12:00:00,0.757772,stop_loss,0,0.250000,2316.822039,,,,,,,,23.168220,2316.822039,,,
12,2016-10-07 12:15:00,0.756129,short,1.000000,46.447092,False,Standard (NTI+MB+IC),0.757129,10.000000,0.754994,0.753860,0.752348,2016-10-07 12:45:00,0.757248,stop_loss,0,0.500000,-1119.673864,,,,,,,,-11.196739,-1119.673864,,,
