trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2021-01-15 04:30:00,0.774061,short,1.000000,33.346158,False,Standard (NTI+MB+IC),0.775061,10.000000,0.772900,0.771739,0.770190,2021-01-15 05:30:00,0.775085,stop_loss,0,1.000000,-1024.007689,PPT,1.000000,-1024.007689,-1024.007689,-10.240077,-1024.007689,,,,,,
2,2021-01-15 07:15:00,0.773303,short,1.000000,35.552209,False,Standard (NTI+MB+IC),0.774303,10.000000,0.772144,0.770984,0.769437,2021-01-15 09:45:00,0.772144,tp1_pullback,2,2.500000,1449.943986,TP1,0.500000,579.977594,1449.943986,11.599552,1449.943986,TP2,0.250000,579.977594,PPT,0.250000,289.988797
3,2021-01-15 10:00:00,0.769484,short,1.000000,53.530535,False,Standard (NTI+MB+IC),0.770484,10.000000,0.768329,0.767175,0.765636,2021-01-15 11:00:00,0.770641,stop_loss,1,1.000000,-1.766376,TP1,0.500000,577.112756,-1.766376,-11.577583,-1.766376,PPT,0.500000,-578.879132,,,
4,2021-01-15 11:15:00,0.771696,short,1.000000,22.500833,False,Standard (NTI+MB+IC),0.772696,10.000000,0.770539,0.769381,0.767838,2021-01-15 12:00:00,0.772741,stop_loss,0,0.750000,-1044.670913,PPT,1.000000,-1044.670913,-1044.670913,-10.446709,-1044.670913,,,,,,
5,2021-01-15 12:30:00,0.771761,short,1.000000,15.381980,False,Standard (NTI+MB+IC),0.772761,10.000000,0.770603,0.769445,0.767902,2021-01-17 19:00:00,0.767902,take_profit_3,3,54.500000,2122.342003,TP1,0.500000,578.820546,2122.342003,38.588036,2122.342003,TP2,0.250000,578.820546,TP3,0.250000,964.700910
6,2021-01-17 19:15:00,0.769163,short,1.000000,51.331089,False,Standard (NTI+MB+IC),0.770163,10.000000,0.768010,0.766856,0.765318,2021-01-17 20:45:00,0.770223,stop_loss,0,1.500000,-1059.180837,PPT,1.000000,-1059.180837,-1059.180837,-10.591808,-1059.180837,,,,,,
7,2021-01-17 21:00:00,0.769661,short,1.000000,38.816275,False,Standard (NTI+MB+IC),0.770661,10.000000,0.768506,0.767352,0.765812,2021-01-18 08:45:00,0.768506,tp1_pullback,2,11.750000,1443.113947,TP1,0.500000,577.245579,1443.113947,11.544912,1443.113947,TP2,0.250000,577.245579,PPT,0.250000,288.622789
8,2021-01-18 19:30:00,0.769903,long,1.000000,33.487589,False,Standard (NTI+MB+IC),0.768903,10.000000,0.771058,0.772212,0.773752,2021-01-19 03:30:00,0.771058,tp1_pullback,2,8.000000,1443.567517,TP1,0.500000,577.427007,1443.567517,11.548540,1443.567517,TP2,0.250000,577.427007,PPT,0.250000,288.713503
9,2021-01-20 02:15:00,0.773617,long,1.000000,48.793771,False,Standard (NTI+MB+IC),0.772617,10.000000,0.774778,0.775938,0.777485,2021-01-20 04:15:00,0.772452,stop_loss,0,2.000000,-1165.282971,PPT,1.000000,-1165.282971,-1165.282971,-11.652830,-1165.282971,,,,,,
10,2021-01-20 18:30:00,0.776239,long,1.000000,51.934423,False,Standard (NTI+MB+IC),0.775239,10.000000,0.777403,0.778568,0.780120,2021-01-20 19:30:00,0.775122,stop_loss,0,1.000000,-1116.802616,PPT,1.000000,-1116.802616,-1116.802616,-11.168026,-1116.802616,,,,,,
