iteration,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,avg_trade,avg_win,avg_loss,best_trade,worst_trade,recovery_factor,win_loss_ratio,expectancy,sqn,trades_per_day,start_date,end_date,timestamp,config,currency
1,-7.362392,557,36.265709,0.649272,-7.806883,0,7.730409,0,674.720031,-591.316518,0,0,0,0,0,0,0,2012-07-27 14:30:00,2012-11-21 22:15:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
2,-5.828136,589,42.444822,0.705011,-5.490001,0,6.453330,0,557.160269,-582.806577,0,0,0,0,0,0,0,2016-03-11 16:30:00,2016-07-07 00:15:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
3,-8.231426,763,42.726081,0.686196,-7.331860,0,8.955685,0,552.137789,-600.254415,0,0,0,0,0,0,0,2015-01-09 08:30:00,2015-05-06 16:15:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
4,-5.189287,406,35.221675,0.665750,-5.568712,0,5.435882,0,722.787180,-590.309645,0,0,0,0,0,0,0,2012-10-30 04:45:00,2013-02-27 02:15:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
5,-5.137602,414,38.405797,0.649269,-5.504163,0,5.734402,0,598.155185,-574.441921,0,0,0,0,0,0,0,2021-08-22 17:30:00,2021-12-16 01:15:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
6,1.072316,503,44.930417,1.078472,0.865277,0,1.715421,0,652.095031,-493.322446,0,0,0,0,0,0,0,2019-11-27 20:15:00,2020-03-25 20:45:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
7,-4.336319,637,43.485086,0.785588,-4.508926,0,4.799896,0,573.571612,-561.784803,0,0,0,0,0,0,0,2015-08-19 00:45:00,2015-12-14 08:45:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
8,-3.458692,530,40.943396,0.799238,-3.417562,0,3.685482,0,634.522088,-550.409618,0,0,0,0,0,0,0,2023-03-29 22:45:00,2023-08-30 04:30:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
9,-4.305770,834,40.767386,0.853328,-2.721501,0,5.520413,0,736.787578,-594.262091,0,0,0,0,0,0,0,2011-05-20 03:45:00,2011-09-14 11:30:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
10,-3.110046,499,39.478958,0.801342,-3.428007,0,3.179499,0,636.812102,-518.385563,0,0,0,0,0,0,0,2025-01-02 12:15:00,2025-04-29 21:00:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
11,-4.285691,506,42.490119,0.746589,-5.027414,0,5.357851,0,587.271182,-581.169106,0,0,0,0,0,0,0,2016-11-07 20:30:00,2017-03-06 05:15:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
12,-5.771851,462,38.311688,0.636658,-7.016218,0,6.128031,0,571.390514,-557.384657,0,0,0,0,0,0,0,2018-09-12 03:15:00,2019-01-09 01:00:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
13,-7.789323,769,37.321196,0.729900,-6.073931,0,7.981770,0,733.424843,-598.311533,0,0,0,0,0,0,0,2011-03-21 05:15:00,2011-07-14 13:00:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
14,-6.391925,710,43.380282,0.732780,-5.949166,0,6.919741,0,569.095103,-595.026229,0,0,0,0,0,0,0,2015-03-03 01:30:00,2015-06-26 09:15:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
15,-3.207472,397,39.546599,0.755063,-4.553871,0,3.542765,0,629.784681,-545.628801,0,0,0,0,0,0,0,2024-07-15 20:15:00,2024-11-10 20:00:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
16,0.878196,620,41.612903,1.050991,0.720536,0,1.613212,0,701.576361,-475.758943,0,0,0,0,0,0,0,2019-12-20 11:30:00,2020-04-17 12:00:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
17,-4.607382,675,44.444444,0.782164,-4.372407,0,4.757560,0,551.442340,-564.017390,0,0,0,0,0,0,0,2015-11-27 00:15:00,2016-03-25 11:00:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
18,-4.662177,480,40.000000,0.717735,-5.543571,0,5.179217,0,617.438666,-573.506940,0,0,0,0,0,0,0,2021-10-26 12:15:00,2022-02-20 20:00:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
19,-2.884720,903,42.192691,0.907113,-1.878300,0,4.620800,0,739.405533,-594.943885,0,0,0,0,0,0,0,2011-06-22 14:15:00,2011-10-17 22:00:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
20,-4.579313,460,36.304348,0.696139,-6.194446,0,5.115200,0,628.208722,-514.348069,0,0,0,0,0,0,0,2024-11-07 01:30:00,2025-03-06 01:15:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
21,-4.111843,291,35.738832,0.593916,-6.144482,0,4.199094,0,578.244846,-541.475360,0,0,0,0,0,0,0,2019-09-19 19:15:00,2020-01-16 20:45:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
22,-3.960246,629,43.720191,0.801936,-4.253844,0,5.003603,0,583.075104,-564.825174,0,0,0,0,0,0,0,2015-08-18 07:45:00,2015-12-11 15:45:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
23,-3.734540,428,41.355140,0.744485,-4.708177,0,4.646391,0,614.756473,-582.299977,0,0,0,0,0,0,0,2018-04-18 01:00:00,2018-08-13 08:45:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
24,-4.310509,576,42.361111,0.771807,-4.502760,0,4.550802,0,597.508676,-568.967488,0,0,0,0,0,0,0,2015-09-10 17:30:00,2016-01-08 04:15:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
25,-6.249488,558,38.888889,0.674051,-6.921184,0,6.583304,0,595.562693,-562.263882,0,0,0,0,0,0,0,2020-05-27 11:00:00,2020-09-21 18:45:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
26,-0.713708,750,42.933333,0.966454,-0.347586,0,2.944757,0,638.555868,-497.084278,0,0,0,0,0,0,0,2020-02-05 16:45:00,2020-06-02 01:30:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
27,-4.977987,521,39.539347,0.733683,-4.658864,0,5.731330,0,665.726254,-593.395158,0,0,0,0,0,0,0,2013-12-04 21:15:00,2014-04-03 20:45:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
28,-9.472765,715,37.342657,0.646422,-8.985782,0,9.832280,0,648.628760,-598.016800,0,0,0,0,0,0,0,2013-07-10 20:45:00,2013-11-05 04:30:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
29,-3.302666,482,44.605809,0.791794,-3.781418,0,3.540607,0,584.177422,-594.100398,0,0,0,0,0,0,0,2020-11-04 02:00:00,2021-03-03 19:00:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
30,-2.167026,869,42.232451,0.927085,-1.377182,0,4.391853,0,750.757495,-592.028405,0,0,0,0,0,0,0,2011-06-10 06:00:00,2011-10-05 13:45:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
31,-5.435354,427,40.515222,0.641413,-6.824929,0,5.468394,0,561.984280,-596.759153,0,0,0,0,0,0,0,2018-05-11 15:30:00,2018-09-05 23:15:00,20250615_124213,Config 2: Scalping Strategy,AUDUSD
