trade_id,entry_time,entry_price,direction,initial_size,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,tp1_distance_pips,tp2_distance_pips,tp3_distance_pips,exit_time,final_exit_price,exit_reason,trade_duration_hours,tp_hits,total_exited,total_exited_millions,position_integrity_ok,partial_pnl_total,final_pnl,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_price,partial_exit_1_pips,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_price,partial_exit_2_pips,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_price,partial_exit_3_pips,partial_exit_3_pnl
1,2013-08-29 20:15:00,0.892695,short,1000000.000000,1.000000,47.343994,False,Standard (NTI+MB+IC),0.893195,5.000000,0.891891,0.891088,0.890017,8.034253,16.068506,26.780844,2013-08-29 21:00:00,0.893345,stop_loss,0.750000,0,1000000.000000,1.000000,True,108.357876,-86.658619,-86.658619,PARTIAL,0.700000,0.892540,1.547970,108.357876,stop_loss,0.300000,0.893345,-6.500550,-195.016495,,,,,
2,2013-08-29 21:15:00,0.893431,short,1000000.000000,1.000000,19.518458,False,Standard (NTI+MB+IC),0.893282,1.494179,0.892627,0.891823,0.890751,8.040880,16.081760,26.802934,2013-08-29 21:30:00,0.893441,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,-9.934440,-9.934440,stop_loss,1.000000,0.893441,-0.099344,-9.934440,,,,,,,,,,
3,2013-08-29 22:00:00,0.894131,long,1000000.000000,1.000000,46.823120,False,Standard (NTI+MB+IC),0.893631,5.000000,0.894935,0.895740,0.896813,8.047177,16.094353,26.823922,2013-08-30 00:15:00,0.894109,trailing_stop,2.250000,1,1000000.000000,1.000000,True,373.958088,369.698208,369.698208,PARTIAL,0.700000,0.894550,4.192777,293.494371,TP1,0.099990,0.894935,8.047177,80.463718,trailing_stop,0.200010,0.894109,-0.212983,-4.259881
4,2013-08-30 10:30:00,0.890464,short,1000000.000000,1.000000,48.831052,False,Standard (NTI+MB+IC),0.890964,5.000000,0.889663,0.888862,0.887793,8.014180,16.028360,26.713933,2013-08-30 11:00:00,0.891006,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-541.175334,-541.175334,stop_loss,1.000000,0.891006,-5.411753,-541.175334,,,,,,,,,,
5,2013-08-30 11:15:00,0.890293,short,1000000.000000,1.000000,59.959478,False,Standard (NTI+MB+IC),0.890793,5.000000,0.889492,0.888691,0.887623,8.012641,16.025283,26.708804,2013-08-30 12:30:00,0.890331,trailing_stop,1.250000,1,1000000.000000,1.000000,True,271.552768,264.066962,264.066962,PARTIAL,0.700000,0.890020,2.734777,191.434368,TP1,0.099990,0.889492,8.012641,80.118400,trailing_stop,0.200010,0.890331,-0.374272,-7.485807
6,2013-08-30 12:45:00,0.890241,short,1000000.000000,1.000000,59.398015,False,Standard (NTI+MB+IC),0.890741,5.000000,0.889440,0.888639,0.887571,8.012172,16.024344,26.707239,2013-08-30 13:30:00,0.890238,trailing_stop,0.750000,1,1000000.000000,1.000000,True,410.035330,410.706463,410.706463,PARTIAL,0.700000,0.889770,4.713166,329.921623,TP1,0.099990,0.889440,8.012172,80.113706,trailing_stop,0.200010,0.890238,0.033555,0.671133
7,2013-08-30 13:45:00,0.889729,short,1000000.000000,1.000000,49.061566,False,Standard (NTI+MB+IC),0.890229,5.000000,0.888929,0.888128,0.887060,8.007564,16.015128,26.691880,2013-08-30 14:00:00,0.890366,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,-636.658034,-636.658034,stop_loss,1.000000,0.890366,-6.366580,-636.658034,,,,,,,,,,
8,2013-08-30 14:15:00,0.890278,short,1000000.000000,1.000000,45.485355,False,Standard (NTI+MB+IC),0.890778,5.000000,0.889477,0.888676,0.887607,8.012502,16.025004,26.708341,2013-08-30 16:15:00,0.890241,trailing_stop,2.000000,1,1000000.000000,1.000000,True,330.730418,338.220298,338.220298,PARTIAL,0.700000,0.889920,3.580192,250.613408,TP1,0.099990,0.889477,8.012502,80.117009,trailing_stop,0.200010,0.890241,0.374475,7.489880
9,2013-08-30 16:30:00,0.890267,short,1000000.000000,1.000000,34.847032,False,Standard (NTI+MB+IC),0.890767,5.000000,0.889466,0.888664,0.887596,8.012402,16.024804,26.708007,2013-09-01 17:00:00,0.890264,trailing_stop,48.500000,0,1000000.000000,1.000000,True,165.835454,166.589748,166.589748,PARTIAL,0.700000,0.890030,2.369078,165.835454,trailing_stop,0.300000,0.890264,0.025143,0.754294,,,,,
10,2013-09-01 17:15:00,0.893562,short,1000000.000000,1.000000,20.415066,False,Standard (NTI+MB+IC),0.891847,17.142488,0.892757,0.891953,0.890881,8.042055,16.084110,26.806850,2013-09-01 17:30:00,0.891878,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,1683.751956,1683.751956,stop_loss,1.000000,0.891878,16.837520,1683.751956,,,,,,,,,,
11,2013-09-01 18:15:00,0.893034,long,1000000.000000,1.000000,42.228148,False,Standard (NTI+MB+IC),0.892534,5.000000,0.893838,0.894642,0.895713,8.037308,16.074616,26.791026,2013-09-01 18:45:00,0.892508,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-526.215297,-526.215297,stop_loss,1.000000,0.892508,-5.262153,-526.215297,,,,,,,,,,
12,2013-09-01 19:00:00,0.892768,long,1000000.000000,1.000000,38.032914,False,Standard (NTI+MB+IC),0.892268,5.000000,0.893572,0.894375,0.895447,8.034914,16.069828,26.783046,2013-09-01 21:15:00,0.895447,take_profit_3,2.250000,3,1000000.000000,1.000000,True,790.143933,790.143933,790.143933,PARTIAL,0.700000,0.893170,4.017895,281.252661,TP1,0.099990,0.893572,8.034914,80.341104,TP2,0.100005,0.894375,16.069828,160.706313
