trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total
1,2022-05-23 21:00:00,0.707692,short,1.000000,50.645453,False,Standard (NTI+MB+IC),0.708192,5.000000,0.707055,0.706418,0.705569,2022-05-23 21:15:00,0.708286,stop_loss,0,0.250000,-593.580067,-5.935801,-593.580067,,,,,,,,,,
2,2022-05-23 22:15:00,0.706857,short,1.000000,38.376605,False,Standard (NTI+MB+IC),0.707357,5.000000,0.706220,0.705584,0.704736,2022-05-23 22:30:00,0.707455,stop_loss,0,0.250000,-598.718665,-5.987187,-598.718665,,,,,,,,,,
3,2022-05-24 16:45:00,0.710438,long,1.000000,40.140863,False,Standard (NTI+MB+IC),0.709938,5.000000,0.711078,0.711717,0.712570,2022-05-24 19:30:00,0.710441,trailing_stop,0,2.750000,413.769511,0.026169,413.769511,TP0,0.700000,239.231744,TP0,0.099000,63.300047,TP0,0.066330,42.411032,344.942823
4,2022-05-25 06:00:00,0.707495,short,1.000000,46.544858,False,Standard (NTI+MB+IC),0.707995,5.000000,0.706858,0.706222,0.705373,2022-05-25 10:30:00,0.705259,trailing_stop,0,4.500000,405.353757,22.363390,405.353757,TP0,0.700000,213.538816,TP0,0.099000,63.037809,TP0,0.066330,42.235332,318.811958
5,2022-05-25 10:45:00,0.707079,short,1.000000,21.106148,False,Standard (NTI+MB+IC),0.707579,5.000000,0.706442,0.705806,0.704958,2022-05-25 14:15:00,0.707117,trailing_stop,0,3.500000,298.419299,-0.378007,298.419299,TP0,0.700000,111.194726,TP0,0.099000,63.000726,TP0,0.066330,42.210486,216.405938
6,2022-05-25 15:15:00,0.709540,long,1.000000,45.312129,False,Standard (NTI+MB+IC),0.709040,5.000000,0.710179,0.710817,0.711669,2022-05-25 15:45:00,0.708969,stop_loss,0,0.500000,-571.167240,-5.711672,-571.167240,,,,,,,,,,
7,2022-05-25 16:00:00,0.708560,long,1.000000,41.161526,False,Standard (NTI+MB+IC),0.708060,5.000000,0.709197,0.709835,0.710685,2022-05-25 21:45:00,0.708994,trailing_stop,0,5.750000,296.409308,4.344750,296.409308,TP0,0.700000,105.248251,TP0,0.099000,63.132664,TP0,0.066330,42.298885,210.679801
8,2022-05-25 22:00:00,0.707979,long,1.000000,17.624559,False,Standard (NTI+MB+IC),0.708041,0.619498,0.708616,0.709254,0.710103,2022-05-26 00:30:00,0.707965,trailing_stop,0,2.500000,512.795280,-0.146183,512.795280,TP0,0.700000,329.581147,TP0,0.099000,63.080944,TP0,0.066330,42.264232,434.926323
9,2022-05-26 21:45:00,0.712972,long,1.000000,36.193095,False,Standard (NTI+MB+IC),0.712472,5.000000,0.713614,0.714256,0.715111,2022-05-26 22:00:00,0.712416,stop_loss,0,0.250000,-556.444992,-5.564450,-556.444992,,,,,,,,,,
10,2022-05-26 22:15:00,0.712572,long,1.000000,42.896644,False,Standard (NTI+MB+IC),0.712072,5.000000,0.713213,0.713855,0.714710,2022-05-27 02:30:00,0.712699,trailing_stop,0,4.250000,722.643779,1.271912,722.643779,TP0,0.700000,530.503625,TP0,0.099000,63.490177,TP0,0.066330,42.538419,636.532221
11,2022-05-27 02:45:00,0.712603,long,1.000000,20.152458,False,Standard (NTI+MB+IC),0.712103,5.000000,0.713245,0.713886,0.714741,2022-06-09 10:15:00,0.725603,trailing_stop,0,319.500000,652.045235,129.999384,652.045235,TP0,0.700000,459.642325,TP0,0.099000,63.492960,TP0,0.066330,42.540283,565.675569
12,2022-06-09 10:30:00,0.712327,short,1.000000,62.675005,False,Standard (NTI+MB+IC),0.712827,5.000000,0.711686,0.711045,0.710190,2022-06-10 01:45:00,0.710111,trailing_stop,0,15.250000,309.517224,22.163645,309.517224,TP0,0.700000,117.188823,TP0,0.099000,63.468372,TP0,0.066330,42.523810,223.181005
13,2022-06-10 02:00:00,0.712312,short,1.000000,41.067365,False,Standard (NTI+MB+IC),0.711185,11.274735,0.711671,0.711030,0.710175,2022-06-10 03:15:00,0.712308,trailing_stop,0,1.250000,547.545581,0.046225,547.545581,TP0,0.700000,393.697297,TP0,0.099000,63.467037,TP0,0.066330,42.522915,499.687249
14,2022-06-10 03:30:00,0.713458,long,1.000000,54.325970,False,Standard (NTI+MB+IC),0.712958,5.000000,0.714101,0.714743,0.715599,2022-06-10 03:45:00,0.712907,stop_loss,0,0.250000,-551.654577,-5.516546,-551.654577,,,,,,,,,,
15,2022-06-10 04:00:00,0.712963,long,1.000000,59.521183,False,Standard (NTI+MB+IC),0.712463,5.000000,0.713605,0.714246,0.715102,2022-06-10 05:00:00,0.712992,trailing_stop,0,1.000000,153.792108,0.293488,153.792108,TP0,0.700000,144.987480,,,,,,,144.987480
16,2022-06-10 05:15:00,0.712085,long,1.000000,23.222637,False,Standard (NTI+MB+IC),0.711585,5.000000,0.712726,0.713367,0.714221,2022-06-10 05:45:00,0.712045,trailing_stop,0,0.500000,166.589697,-0.401012,166.589697,TP0,0.700000,178.620060,,,,,,,178.620060
17,2022-06-10 06:00:00,0.712143,long,1.000000,21.356959,False,Standard (NTI+MB+IC),0.711643,5.000000,0.712784,0.713424,0.714279,2022-06-10 07:30:00,0.712135,trailing_stop,0,1.500000,156.826474,-0.077446,156.826474,TP0,0.700000,159.149855,,,,,,,159.149855
18,2022-06-10 08:30:00,0.710354,long,1.000000,16.020855,False,Standard (NTI+MB+IC),0.711280,9.265580,0.710993,0.711633,0.712485,2022-06-10 09:00:00,0.711111,stop_loss,0,0.500000,718.327434,7.572423,718.327434,TP0,0.330000,210.975105,,,,,,,210.975105
19,2022-06-10 09:15:00,0.706529,short,1.000000,44.366628,False,Standard (NTI+MB+IC),0.707029,5.000000,0.705893,0.705257,0.704409,2022-07-20 14:30:00,0.688490,end_of_data,0,965.250000,944.773432,180.389057,944.773432,TP0,0.330000,209.839085,TP0,0.221100,140.592187,TP0,0.314230,508.708737,859.140009
