trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2014-07-24 09:15:00,0.942387,short,1.000000,37.151927,False,Standard (NTI+MB+IC),0.942887,5.000000,0.941539,0.940691,0.939560,2014-07-24 21:15:00,0.942395,trailing_stop,0,12.000000,413.488643,PPT,0.700000,159.055616,PPT,0.099000,83.966702,PPT,0.066330,56.257690,299.280008,-0.080743,413.488643
2,2014-07-25 13:30:00,0.939867,short,1.000000,44.489538,False,Standard (NTI+MB+IC),0.940367,5.000000,0.939021,0.938176,0.937048,2014-07-27 18:45:00,0.939835,trailing_stop,0,53.250000,273.819130,PPT,0.700000,264.095405,,,,,,,264.095405,0.324124,273.819130
3,2014-07-28 02:00:00,0.938723,short,1.000000,35.227853,False,Standard (NTI+MB+IC),0.939223,5.000000,0.937878,0.937033,0.935906,2014-07-28 03:00:00,0.939393,stop_loss,0,1.000000,-670.790053,,,,,,,,,,,-6.707901,-670.790053
4,2014-07-28 03:15:00,0.938815,short,1.000000,31.586935,False,Standard (NTI+MB+IC),0.939315,5.000000,0.937970,0.937125,0.935999,2014-07-28 04:45:00,0.939507,stop_loss,0,1.500000,-691.668577,,,,,,,,,,,-6.916686,-691.668577
5,2014-07-28 05:45:00,0.939926,short,1.000000,40.456122,False,Standard (NTI+MB+IC),0.939567,3.582673,0.939080,0.938234,0.937106,2014-07-28 06:00:00,0.939687,signal_flip,0,0.250000,229.555922,PPT,0.700000,157.920428,,,,,,,157.920428,2.387850,229.555922
6,2014-07-28 06:30:00,0.940341,long,1.000000,37.943582,False,Standard (NTI+MB+IC),0.939841,5.000000,0.941188,0.942034,0.943162,2014-07-28 10:00:00,0.940304,trailing_stop,0,3.500000,280.889419,PPT,0.700000,145.989557,PPT,0.099000,83.784423,PPT,0.066330,56.135563,285.909543,-0.372772,280.889419
7,2014-07-28 10:15:00,0.940367,long,1.000000,18.662682,False,Standard (NTI+MB+IC),0.939867,5.000000,0.941214,0.942060,0.943189,2014-07-28 17:15:00,0.940356,trailing_stop,0,7.000000,306.330729,PPT,0.700000,309.807216,,,,,,,309.807216,-0.115883,306.330729
8,2014-07-28 22:15:00,0.939538,short,1.000000,38.373858,False,Standard (NTI+MB+IC),0.940038,5.000000,0.938693,0.937847,0.936719,2014-07-29 01:00:00,0.939579,trailing_stop,0,2.750000,133.518410,PPT,0.700000,145.670191,,,,,,,145.670191,-0.405059,133.518410
9,2014-07-29 01:15:00,0.939846,short,1.000000,20.683540,False,Standard (NTI+MB+IC),0.940346,5.000000,0.939001,0.938155,0.937027,2014-07-29 02:15:00,0.939834,trailing_stop,0,1.000000,302.263605,PPT,0.700000,298.482383,,,,,,,298.482383,0.126041,302.263605
10,2014-07-29 10:00:00,0.937946,short,1.000000,40.686003,False,Standard (NTI+MB+IC),0.938446,5.000000,0.937102,0.936258,0.935132,2014-07-29 11:00:00,0.938605,stop_loss,0,1.000000,-658.700199,,,,,,,,,,,-6.587002,-658.700199
