trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2010-06-07 21:00:00,0.817373,short,1.000000,34.504590,False,Standard (NTI+MB+IC),0.814946,24.263869,0.816637,0.815901,0.814921,2010-06-07 21:15:00,0.815021,stop_loss,0,0.250000,2351.286824,23.512868,2351.286824,,,,,,,,,,
2,2010-06-07 22:15:00,0.818228,long,1.000000,51.366691,False,Standard (NTI+MB+IC),0.817728,5.000000,0.818964,0.819701,0.820683,2010-06-07 22:45:00,0.817626,stop_loss,1,0.500000,-155.994285,-6.021940,-155.994285,TP1,0.333333,245.468376,245.468376,,,,,,
3,2010-06-07 23:00:00,0.817437,long,1.000000,50.261813,False,Standard (NTI+MB+IC),0.816937,5.000000,0.818173,0.818909,0.819890,2010-06-07 23:30:00,0.818173,take_profit_1,1,0.500000,2364.564668,7.356936,2364.564668,PPT,0.700000,2143.856585,2364.564668,TP1,0.300000,220.708084,,,
4,2010-06-07 23:45:00,0.819535,long,1.000000,49.882784,False,Standard (NTI+MB+IC),0.819035,5.000000,0.820273,0.821011,0.821994,2010-06-08 00:00:00,0.818868,stop_loss,0,0.250000,-667.212463,-6.672125,-667.212463,,,,,,,,,,
5,2010-06-08 01:30:00,0.820039,long,1.000000,33.403581,False,Standard (NTI+MB+IC),0.819539,5.000000,0.820777,0.821515,0.822499,2010-06-08 02:15:00,0.819400,stop_loss,1,0.750000,-179.994919,-6.390100,-179.994919,TP1,0.333333,246.011739,246.011739,,,,,,
6,2010-06-08 02:30:00,0.820111,long,1.000000,31.182296,False,Standard (NTI+MB+IC),0.819611,5.000000,0.820849,0.821587,0.822571,2010-06-08 02:45:00,0.820849,take_profit_1,1,0.250000,983.669443,7.381000,983.669443,PPT,0.700000,762.239450,983.669443,TP1,0.300000,221.429993,,,
7,2010-06-08 05:45:00,0.813859,short,1.000000,43.670820,False,Standard (NTI+MB+IC),0.814359,5.000000,0.813126,0.812394,0.811417,2010-06-08 06:15:00,0.814551,stop_loss,1,0.500000,-216.970752,-6.916927,-216.970752,TP1,0.333333,244.157685,244.157685,,,,,,
8,2010-06-08 17:00:00,0.826923,long,1.000000,40.644988,False,Standard (NTI+MB+IC),0.826423,5.000000,0.827667,0.828411,0.829404,2010-06-08 17:30:00,0.827667,take_profit_1,1,0.500000,347.217482,7.442306,347.217482,PPT,0.700000,123.948290,347.217482,TP1,0.300000,223.269191,,,
9,2010-06-08 17:45:00,0.826629,long,1.000000,42.797151,False,Standard (NTI+MB+IC),0.826129,5.000000,0.827373,0.828117,0.829109,2010-06-08 18:30:00,0.825940,stop_loss,0,0.750000,-688.776271,-6.887763,-688.776271,,,,,,,,,,
10,2010-06-08 20:30:00,0.821337,long,1.000000,18.506538,False,Standard (NTI+MB+IC),0.821778,4.402403,0.822077,0.822816,0.823802,2010-06-08 20:45:00,0.822077,take_profit_1,1,0.250000,1245.519295,7.392037,1245.519295,PPT,0.700000,1023.758173,1245.519295,TP1,0.300000,221.761122,,,
11,2010-06-09 00:00:00,0.821863,short,1.000000,47.005390,False,Standard (NTI+MB+IC),0.822363,5.000000,0.821124,0.820384,0.819398,2010-06-09 00:15:00,0.821124,take_profit_1,1,0.250000,966.190749,7.396769,966.190749,PPT,0.700000,744.287666,966.190749,TP1,0.300000,221.903082,,,
12,2010-06-09 00:30:00,0.820575,short,1.000000,53.825894,False,Standard (NTI+MB+IC),0.821075,5.000000,0.819836,0.819098,0.818113,2010-06-09 00:45:00,0.821140,stop_loss,0,0.250000,-565.674628,-5.656746,-565.674628,,,,,,,,,,
