trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2016-07-27 19:30:00,0.750879,long,1.000000,21.604775,False,Standard (NTI+MB+IC),0.750379,5.000000,0.751555,0.752231,0.753132,2016-07-27 19:45:00,0.751555,take_profit_1,1,0.250000,819.335985,PPT,0.700000,616.598616,TP1,0.300000,202.737369,819.335985,6.757912,819.335985,,,
2,2016-07-27 20:00:00,0.751955,long,1.000000,33.385066,False,Standard (NTI+MB+IC),0.751455,5.000000,0.752632,0.753309,0.754211,2016-07-27 20:15:00,0.752632,take_profit_1,1,0.250000,759.188572,PPT,0.700000,556.160591,TP1,0.300000,203.027981,759.188572,6.767599,759.188572,,,
3,2016-07-27 20:30:00,0.752087,long,1.000000,43.314620,False,Standard (NTI+MB+IC),0.751587,5.000000,0.752764,0.753441,0.754344,2016-07-27 21:15:00,0.751467,stop_loss,0,0.750000,-620.056318,,,,,,,,-6.200563,-620.056318,,,
4,2016-07-27 23:45:00,0.752386,long,1.000000,33.475977,False,Standard (NTI+MB+IC),0.751886,5.000000,0.753064,0.753741,0.754644,2016-07-28 02:00:00,0.753064,take_profit_1,1,2.250000,366.653260,PPT,0.700000,163.508928,TP1,0.300000,203.144332,366.653260,6.771478,366.653260,,,
5,2016-07-28 02:15:00,0.752892,long,1.000000,41.781786,False,Standard (NTI+MB+IC),0.752392,5.000000,0.753570,0.754247,0.755151,2016-07-28 02:30:00,0.752242,stop_loss,0,0.250000,-650.463852,,,,,,,,-6.504639,-650.463852,,,
6,2016-07-28 02:45:00,0.753063,long,1.000000,37.496620,False,Standard (NTI+MB+IC),0.752563,5.000000,0.753741,0.754419,0.755323,2016-07-28 03:00:00,0.753741,take_profit_1,1,0.250000,1166.897909,PPT,0.700000,963.570772,TP1,0.300000,203.327137,1166.897909,6.777571,1166.897909,,,
7,2016-07-28 03:15:00,0.754460,long,1.000000,46.470077,False,Standard (NTI+MB+IC),0.753960,5.000000,0.755139,0.755818,0.756724,2016-07-28 05:00:00,0.753863,stop_loss,0,1.750000,-597.256672,,,,,,,,-5.972567,-597.256672,,,
8,2016-07-28 05:30:00,0.753320,long,1.000000,20.104138,False,Standard (NTI+MB+IC),0.752820,5.000000,0.753998,0.754676,0.755580,2016-07-28 07:00:00,0.752722,stop_loss,0,1.500000,-598.003870,,,,,,,,-5.980039,-598.003870,,,
9,2016-07-28 07:15:00,0.752281,long,1.000000,20.676529,False,Standard (NTI+MB+IC),0.751781,5.000000,0.752958,0.753635,0.754538,2016-07-28 08:00:00,0.752958,take_profit_1,1,0.750000,489.490376,PPT,0.700000,286.374535,TP1,0.300000,203.115841,489.490376,6.770528,489.490376,,,
10,2016-07-28 10:15:00,0.752162,long,1.000000,22.626386,False,Standard (NTI+MB+IC),0.751913,2.488310,0.752839,0.753515,0.754418,2016-07-28 10:30:00,0.751728,stop_loss,0,0.250000,-433.612128,,,,,,,,-4.336121,-433.612128,,,
11,2016-07-28 11:00:00,0.750924,short,1.000000,55.912977,False,Standard (NTI+MB+IC),0.751424,5.000000,0.750248,0.749572,0.748671,2016-07-28 14:00:00,0.750248,take_profit_1,1,3.000000,520.574734,PPT,0.700000,317.825244,TP1,0.300000,202.749490,520.574734,6.758316,520.574734,,,
12,2016-07-28 14:15:00,0.749455,short,1.000000,52.337125,False,Standard (NTI+MB+IC),0.749955,5.000000,0.748780,0.748106,0.747206,2016-07-28 14:30:00,0.750109,stop_loss,0,0.250000,-654.212287,,,,,,,,-6.542123,-654.212287,,,
13,2016-07-28 14:45:00,0.750222,short,1.000000,48.731814,False,Standard (NTI+MB+IC),0.750722,5.000000,0.749547,0.748871,0.747971,2016-07-28 18:30:00,0.750732,stop_loss,0,3.750000,-25.760816,PPT,0.700000,127.213488,,,,127.213488,-5.099143,-25.760816,,,
14,2016-07-28 19:15:00,0.750990,short,1.000000,17.463649,False,Standard (NTI+MB+IC),0.751338,3.476596,0.750314,0.749638,0.748737,2016-07-28 20:00:00,0.751412,stop_loss,0,0.750000,-42.740517,PPT,0.700000,83.940227,,,,83.940227,-4.222691,-42.740517,,,
15,2016-07-28 20:15:00,0.751177,short,1.000000,47.918239,False,Standard (NTI+MB+IC),0.751306,1.294867,0.750500,0.749824,0.748923,2016-07-28 20:30:00,0.751482,stop_loss,0,0.250000,-305.481577,,,,,,,,-3.054816,-305.481577,,,
16,2016-07-28 20:45:00,0.752071,long,1.000000,56.191460,False,Standard (NTI+MB+IC),0.751571,5.000000,0.752747,0.753424,0.754327,2016-07-28 21:15:00,0.752747,take_profit_1,1,0.500000,587.633981,PPT,0.700000,384.574917,TP1,0.300000,203.059064,587.633981,6.768635,587.633981,,,
17,2016-07-28 21:30:00,0.752744,long,1.000000,67.640145,False,Standard (NTI+MB+IC),0.752244,5.000000,0.753422,0.754099,0.755002,2016-07-28 22:15:00,0.753422,take_profit_1,1,0.750000,599.376915,PPT,0.700000,396.136010,TP1,0.300000,203.240905,599.376915,6.774697,599.376915,,,
18,2016-07-28 22:30:00,0.753779,long,1.000000,74.166643,False,Standard (NTI+MB+IC),0.753279,5.000000,0.754458,0.755136,0.756041,2016-07-28 23:00:00,0.753205,stop_loss,0,0.500000,-574.407137,,,,,,,,-5.744071,-574.407137,,,
19,2016-07-28 23:15:00,0.752773,long,1.000000,59.499445,False,Standard (NTI+MB+IC),0.752273,5.000000,0.753450,0.754128,0.755031,2016-07-28 23:30:00,0.753450,take_profit_1,1,0.250000,1223.190058,PPT,0.700000,1019.941364,TP1,0.300000,203.248694,1223.190058,6.774956,1223.190058,,,
20,2016-07-28 23:45:00,0.753751,long,1.000000,55.318074,False,Standard (NTI+MB+IC),0.753251,5.000000,0.754430,0.755108,0.756012,2016-07-29 00:30:00,0.753209,stop_loss,0,0.750000,-542.491435,,,,,,,,-5.424914,-542.491435,,,
21,2016-07-29 00:45:00,0.753207,long,1.000000,42.552451,False,Standard (NTI+MB+IC),0.752707,5.000000,0.753885,0.754563,0.755467,2016-07-29 01:30:00,0.752701,stop_loss,0,0.750000,-9.595435,PPT,0.700000,142.167820,,,,142.167820,-5.058775,-9.595435,,,
22,2016-07-29 02:00:00,0.751323,long,1.000000,14.752383,False,Standard (NTI+MB+IC),0.751639,3.163871,0.751999,0.752675,0.753577,2016-07-29 02:15:00,0.751493,stop_loss,0,0.250000,170.046606,,,,,,,,1.700466,170.046606,,,
23,2016-07-29 02:30:00,0.751489,long,1.000000,16.161446,False,Standard (NTI+MB+IC),0.751653,1.637231,0.752165,0.752842,0.753743,2016-07-29 02:45:00,0.751615,stop_loss,0,0.250000,125.780590,,,,,,,,1.257806,125.780590,,,
24,2016-07-29 03:00:00,0.750919,long,1.000000,33.740005,False,Standard (NTI+MB+IC),0.751635,7.156315,0.751595,0.752271,0.753172,2016-07-29 03:15:00,0.751513,stop_loss,0,0.250000,594.318172,,,,,,,,5.943182,594.318172,,,
25,2016-07-29 03:30:00,0.750331,short,1.000000,36.415821,False,Standard (NTI+MB+IC),0.750831,5.000000,0.749656,0.748980,0.748080,2016-07-29 03:45:00,0.749656,take_profit_1,1,0.250000,749.237058,PPT,0.700000,546.647708,TP1,0.300000,202.589350,749.237058,6.752978,749.237058,,,
26,2016-07-29 04:00:00,0.749369,short,1.000000,43.204160,False,Standard (NTI+MB+IC),0.749869,5.000000,0.748695,0.748020,0.747121,2016-07-29 04:30:00,0.749948,stop_loss,0,0.500000,-578.845614,,,,,,,,-5.788456,-578.845614,,,
27,2016-07-29 04:45:00,0.750106,short,1.000000,43.368455,False,Standard (NTI+MB+IC),0.750606,5.000000,0.749431,0.748756,0.747856,2016-07-29 05:30:00,0.750621,stop_loss,0,0.750000,-514.938819,,,,,,,,-5.149388,-514.938819,,,
28,2016-07-29 07:30:00,0.751991,short,1.000000,14.260631,False,Standard (NTI+MB+IC),0.751763,2.281652,0.751314,0.750637,0.749735,2016-07-29 07:45:00,0.751933,stop_loss,0,0.250000,95.077128,PPT,0.700000,77.683492,,,,77.683492,0.579788,95.077128,,,
29,2016-07-29 08:30:00,0.754455,long,1.000000,33.749904,False,Standard (NTI+MB+IC),0.753955,5.000000,0.755134,0.755813,0.756718,2016-07-29 08:45:00,0.755134,take_profit_1,1,0.250000,1376.369086,PPT,0.700000,1172.666300,TP1,0.300000,203.702786,1376.369086,6.790093,1376.369086,,,
30,2016-07-29 09:00:00,0.757811,long,1.000000,45.050385,False,Standard (NTI+MB+IC),0.757311,5.000000,0.758493,0.759175,0.760084,2016-07-29 09:30:00,0.757265,stop_loss,0,0.500000,-545.546425,,,,,,,,-5.455464,-545.546425,,,
