trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2018-03-05 12:00:00,0.775780,long,1.000000,42.143706,False,Standard (NTI+MB+IC),0.775280,5.000000,0.776478,0.777176,0.778107,2018-03-05 13:00:00,0.776478,take_profit_1,1,1.000000,629.760210,PPT,0.700000,420.299726,TP1,0.300000,209.460484,629.760210,6.982016,629.760210
2,2018-03-05 13:15:00,0.776268,long,1.000000,39.018550,False,Standard (NTI+MB+IC),0.775768,5.000000,0.776966,0.777665,0.778596,2018-03-05 18:30:00,0.776966,take_profit_1,1,5.250000,400.323410,PPT,0.700000,190.731178,TP1,0.300000,209.592232,400.323410,6.986408,400.323410
3,2018-03-05 19:15:00,0.777943,long,1.000000,44.154960,False,Standard (NTI+MB+IC),0.777443,5.000000,0.778643,0.779343,0.780276,2018-03-05 20:15:00,0.778643,take_profit_1,1,1.000000,481.272867,PPT,0.700000,271.228384,TP1,0.300000,210.044483,481.272867,7.001483,481.272867
4,2018-03-05 20:30:00,0.779023,long,1.000000,63.981093,False,Standard (NTI+MB+IC),0.778523,5.000000,0.779724,0.780425,0.781360,2018-03-05 20:45:00,0.778454,stop_loss,0,0.250000,-569.011679,,,,,,,,-5.690117,-569.011679
5,2018-03-05 21:00:00,0.778236,long,1.000000,68.606893,False,Standard (NTI+MB+IC),0.777736,5.000000,0.778936,0.779637,0.780570,2018-03-05 21:30:00,0.777575,stop_loss,0,0.500000,-660.779148,,,,,,,,-6.607791,-660.779148
6,2018-03-05 21:45:00,0.778535,long,1.000000,59.618355,False,Standard (NTI+MB+IC),0.778035,5.000000,0.779236,0.779937,0.780871,2018-03-05 22:45:00,0.777961,stop_loss,0,1.000000,62.283661,PPT,0.700000,234.393482,,,,234.393482,-5.736994,62.283661
7,2018-03-05 23:00:00,0.777911,long,1.000000,45.638039,False,Standard (NTI+MB+IC),0.777411,5.000000,0.778611,0.779311,0.780245,2018-03-05 23:45:00,0.777394,stop_loss,0,0.750000,-517.047278,,,,,,,,-5.170473,-517.047278
8,2018-03-06 00:00:00,0.777394,long,1.000000,17.162299,False,Standard (NTI+MB+IC),0.776894,5.000000,0.778094,0.778793,0.779726,2018-03-06 02:00:00,0.776729,stop_loss,0,2.000000,70.528929,PPT,0.700000,270.072775,,,,270.072775,-6.651462,70.528929
9,2018-03-06 02:15:00,0.776196,long,1.000000,14.520257,False,Standard (NTI+MB+IC),0.776649,4.532633,0.776895,0.777593,0.778525,2018-03-06 02:30:00,0.776562,stop_loss,0,0.250000,366.322258,,,,,,,,3.663223,366.322258
10,2018-03-06 03:00:00,0.776442,short,1.000000,37.448682,False,Standard (NTI+MB+IC),0.776942,5.000000,0.775743,0.775044,0.774113,2018-03-06 04:15:00,0.775743,take_profit_1,1,1.250000,484.090036,PPT,0.700000,274.450677,TP1,0.300000,209.639360,484.090036,6.987979,484.090036
11,2018-03-06 06:15:00,0.778894,short,1.000000,31.435935,False,Standard (NTI+MB+IC),0.777164,17.304863,0.778193,0.777492,0.776557,2018-03-06 06:30:00,0.777183,stop_loss,0,0.250000,1711.214571,,,,,,,,17.112146,1711.214571
12,2018-03-06 06:45:00,0.780517,long,1.000000,44.076969,False,Standard (NTI+MB+IC),0.780017,5.000000,0.781219,0.781922,0.782858,2018-03-06 07:00:00,0.781219,take_profit_1,1,0.250000,892.063706,PPT,0.700000,681.324202,TP1,0.300000,210.739504,892.063706,7.024650,892.063706
13,2018-03-06 07:15:00,0.781990,long,1.000000,55.219797,False,Standard (NTI+MB+IC),0.781490,5.000000,0.782694,0.783397,0.784336,2018-03-06 07:45:00,0.782694,take_profit_1,1,0.500000,820.307043,PPT,0.700000,609.169808,TP1,0.300000,211.137235,820.307043,7.037908,820.307043
14,2018-03-06 08:00:00,0.783436,long,1.000000,68.130150,False,Standard (NTI+MB+IC),0.782936,5.000000,0.784142,0.784847,0.785787,2018-03-06 08:15:00,0.782761,stop_loss,0,0.250000,-675.667408,,,,,,,,-6.756674,-675.667408
15,2018-03-06 08:30:00,0.782014,long,1.000000,65.612732,False,Standard (NTI+MB+IC),0.781514,5.000000,0.782718,0.783422,0.784360,2018-03-06 09:15:00,0.781373,stop_loss,0,0.750000,-13.082968,PPT,0.700000,179.205212,,,,179.205212,-6.409606,-13.082968
16,2018-03-06 09:30:00,0.781239,long,1.000000,53.402063,False,Standard (NTI+MB+IC),0.780739,5.000000,0.781942,0.782645,0.783583,2018-03-06 09:45:00,0.781942,take_profit_1,1,0.250000,498.697734,PPT,0.700000,287.763228,TP1,0.300000,210.934506,498.697734,7.031150,498.697734
17,2018-03-06 10:00:00,0.782215,long,1.000000,47.168958,False,Standard (NTI+MB+IC),0.781715,5.000000,0.782919,0.783623,0.784562,2018-03-06 10:15:00,0.782919,take_profit_1,1,0.250000,543.525792,PPT,0.700000,332.327676,TP1,0.300000,211.198116,543.525792,7.039937,543.525792
