trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2022-08-22 23:45:00,0.689787,long,1.000000,51.345673,False,Standard (NTI+MB+IC),0.689287,5.000000,0.690408,0.691029,0.691857,2022-08-23 00:15:00,0.689278,stop_loss,0,0.500000,-509.089705,PPT,1.000000,-509.089705,-509.089705,-5.090897,-509.089705,,,,,,
2,2022-08-23 01:30:00,0.688121,long,1.000000,23.280538,False,Standard (NTI+MB+IC),0.688288,1.669754,0.688740,0.689359,0.690185,2022-08-23 01:45:00,0.688222,stop_loss,0,0.250000,101.323183,PPT,1.000000,101.323183,101.323183,1.013232,101.323183,,,,,,
3,2022-08-23 02:00:00,0.686478,long,1.000000,53.884184,False,Standard (NTI+MB+IC),0.688282,18.044241,0.687096,0.687714,0.688537,2022-08-23 02:15:00,0.688223,stop_loss,0,0.250000,1745.325944,PPT,1.000000,1745.325944,1745.325944,17.453259,1745.325944,,,,,,
4,2022-08-23 02:30:00,0.686151,short,1.000000,62.246069,False,Standard (NTI+MB+IC),0.686651,5.000000,0.685533,0.684916,0.684092,2022-08-23 02:45:00,0.686806,stop_loss,0,0.250000,-655.291716,PPT,1.000000,-655.291716,-655.291716,-6.552917,-655.291716,,,,,,
5,2022-08-23 03:00:00,0.686752,short,1.000000,56.223010,False,Standard (NTI+MB+IC),0.687252,5.000000,0.686134,0.685516,0.684692,2022-08-23 03:30:00,0.687425,stop_loss,0,0.500000,-673.510498,PPT,1.000000,-673.510498,-673.510498,-6.735105,-673.510498,,,,,,
6,2022-08-23 03:45:00,0.688093,short,1.000000,22.281870,False,Standard (NTI+MB+IC),0.688593,5.000000,0.687474,0.686855,0.686029,2022-08-23 04:00:00,0.688658,stop_loss,0,0.250000,-564.580904,PPT,1.000000,-564.580904,-564.580904,-5.645809,-564.580904,,,,,,
7,2022-08-23 04:15:00,0.688569,short,1.000000,21.336982,False,Standard (NTI+MB+IC),0.689069,5.000000,0.687949,0.687330,0.686503,2022-08-23 04:30:00,0.689082,stop_loss,0,0.250000,-513.148780,PPT,1.000000,-513.148780,-513.148780,-5.131488,-513.148780,,,,,,
8,2022-08-23 04:45:00,0.688304,short,1.000000,19.531078,False,Standard (NTI+MB+IC),0.688804,5.000000,0.687685,0.687065,0.686239,2022-08-23 05:45:00,0.687685,tp1_pullback,2,1.000000,774.342064,TP1,0.500000,309.736825,774.342064,6.194737,774.342064,TP2,0.250000,309.736825,PPT,0.250000,154.868413
9,2022-08-23 09:45:00,0.691374,short,1.000000,24.530440,False,Standard (NTI+MB+IC),0.691874,5.000000,0.690752,0.690130,0.689300,2022-08-23 10:00:00,0.692029,stop_loss,0,0.250000,-654.700165,PPT,1.000000,-654.700165,-654.700165,-6.547002,-654.700165,,,,,,
10,2022-08-23 10:15:00,0.693061,long,1.000000,38.860215,False,Standard (NTI+MB+IC),0.692561,5.000000,0.693684,0.694308,0.695140,2022-08-23 11:00:00,0.695140,take_profit_3,3,0.750000,1143.549839,TP1,0.500000,311.877229,1143.549839,20.791815,1143.549839,TP2,0.250000,311.877229,TP3,0.250000,519.795381
