iteration,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,avg_trade,avg_win,avg_loss,best_trade,worst_trade,recovery_factor,win_loss_ratio,expectancy,sqn,trades_per_day,start_date,end_date,timestamp,config,currency
1,-2.890878,170,36.470588,0.745119,-2.523023,-3.645764,4.047205,-170.051665,1363.094706,-1050.191249,3166.634942,-1199.157832,0.714290,1.297949,-170.051665,-1.689506,1.452991,2024-03-19 20:45:00,2024-07-15 06:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
2,-5.673410,226,34.070796,0.643724,-4.765171,-6.416229,6.144448,-251.035847,1331.270074,-1068.737565,3140.055361,-1768.738237,0.923339,1.245647,-251.035847,-2.950319,1.915254,2018-11-14 22:00:00,2019-03-13 18:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
3,-1.286790,222,37.837838,0.908430,-1.018941,-1.999592,3.384655,-57.963512,1519.723088,-1018.294485,3170.536536,-1199.135730,0.380183,1.492420,-57.963512,-0.620157,1.897436,2021-10-27 00:45:00,2022-02-21 08:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
4,-0.824163,213,41.784038,0.936625,-0.729235,-1.210312,3.105295,-38.693085,1368.570919,-1048.745475,3360.278328,-1193.662022,0.265406,1.304960,-38.693085,-0.408355,1.789916,2020-09-16 04:30:00,2021-01-13 21:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
5,-3.301314,167,32.934132,0.720138,-3.056683,-4.216888,4.601897,-197.683447,1544.525614,-1053.232539,3134.971353,-2141.249246,0.717381,1.466462,-197.683447,-1.884863,1.427350,2019-01-18 08:45:00,2019-05-15 17:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
6,-1.553561,209,40.191388,0.878554,-1.292603,-1.960171,2.226045,-74.333080,1337.929057,-1023.373236,3011.637887,-1196.378534,0.697902,1.307372,-74.333080,-0.828305,1.786325,2023-08-01 09:45:00,2023-11-26 18:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
7,-3.879438,268,37.686567,0.785472,-2.636229,-3.849071,5.696440,-144.755155,1406.348775,-1082.847952,3662.821298,-2145.133623,0.681029,1.298750,-144.755155,-1.741026,1.774834,2023-01-12 22:30:00,2023-06-13 06:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
8,0.409041,203,44.334975,1.034557,0.361659,0.535050,2.440296,20.149788,1360.649808,-1047.505095,3034.754764,-1194.501852,0.167619,1.298943,20.149788,0.212166,1.720339,2023-09-14 03:45:00,2024-01-11 03:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
9,-6.454874,324,38.888889,0.701156,-3.876712,-5.389361,6.906787,-199.224496,1201.950050,-1090.881026,2985.834387,-4269.210741,0.934570,1.101816,-199.224496,-2.853909,2.817391,2022-10-03 09:45:00,2023-01-26 17:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
10,-1.902788,181,39.226519,0.838482,-1.446679,-1.993684,2.673302,-105.126395,1391.251689,-1070.970432,3098.923078,-2535.263205,0.711774,1.299057,-105.126395,-1.050732,1.533898,2019-11-18 15:15:00,2020-03-16 12:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
11,-0.547654,156,39.743590,0.945458,-0.296314,-0.398280,1.710277,-35.106029,1531.191941,-1068.196179,3162.680747,-1198.679733,0.320214,1.433437,-35.106029,-0.310383,1.356522,2024-06-04 03:00:00,2024-09-27 10:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
12,0.548918,141,43.262411,1.064651,0.495012,0.602274,2.321020,38.930346,1481.861557,-1061.304702,3066.443517,-1186.201204,0.236499,1.396264,38.930346,0.328579,1.226087,2024-07-08 09:30:00,2024-10-31 17:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
13,-3.140129,278,38.848921,0.825953,-2.117314,-3.622338,4.205486,-112.954265,1379.786834,-1061.283904,10925.099284,-1196.991319,0.746674,1.300111,-112.954265,-1.312966,2.355932,2024-11-06 16:15:00,2025-03-05 14:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
14,-0.012678,237,41.350211,0.999132,0.006835,0.011648,1.757678,-0.534949,1489.067178,-1050.758031,3282.031999,-1196.915528,0.007213,1.417136,-0.534949,-0.005841,2.025641,2020-07-28 18:00:00,2020-11-23 01:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
15,-0.481935,143,37.762238,0.948367,-0.263867,-0.533154,2.342374,-33.701741,1639.239896,-1048.744981,3249.294950,-1194.322487,0.205746,1.563049,-33.701741,-0.278567,1.222222,2021-08-04 05:15:00,2021-11-29 13:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
16,-1.874244,129,35.658915,0.785283,-2.033161,-2.607690,2.804980,-145.290217,1490.145855,-1051.676473,3068.122217,-1187.876456,0.668184,1.416924,-145.290217,-1.225451,1.093220,2019-09-09 19:15:00,2020-01-06 17:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
17,-4.290332,296,38.851351,0.780437,-2.964169,-3.811468,5.163524,-144.943661,1326.083144,-1079.573952,3099.013469,-2570.654477,0.830892,1.228339,-144.943661,-1.907734,2.508475,2019-12-24 07:30:00,2020-04-21 07:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
18,-4.330846,225,36.444444,0.715562,-4.194085,-5.928041,5.591848,-192.482047,1328.674535,-1064.753653,3180.526924,-1773.596258,0.774493,1.247870,-192.482047,-2.236162,1.906780,2018-10-11 03:00:00,2019-02-07 00:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
19,-3.582676,319,39.184953,0.825778,-2.420976,-3.747679,4.624725,-112.309593,1358.491824,-1059.990918,3137.892104,-1198.813989,0.774679,1.281607,-112.309593,-1.524114,2.726496,2022-02-09 06:15:00,2022-06-06 15:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
20,-4.519505,280,35.714286,0.764707,-3.195196,-4.627635,5.231182,-161.410882,1468.851037,-1067.111948,3137.967770,-1198.876009,0.863955,1.376473,-161.410882,-1.994321,2.393162,2021-12-15 21:45:00,2022-04-12 06:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
21,-4.640194,347,39.769452,0.793766,-3.361598,-4.138099,6.172879,-133.723165,1294.163270,-1076.538131,3098.984795,-2538.620309,0.751707,1.202153,-133.723165,-1.926420,2.965812,2020-01-31 00:30:00,2020-05-27 09:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
22,-6.561950,274,34.671533,0.657974,-5.456467,-7.665258,6.815485,-239.487229,1328.800554,-1071.818734,3666.546821,-2168.662216,0.962800,1.239762,-239.487229,-3.099801,2.014706,2022-12-08 14:00:00,2023-04-24 13:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
23,-1.843602,302,41.721854,0.902260,-1.257158,-2.111240,3.886951,-61.046440,1350.689629,-1071.721126,3045.963290,-1194.992620,0.474306,1.260300,-61.046440,-0.796820,2.626087,2022-03-27 21:00:00,2022-07-21 04:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
24,0.165281,101,39.603960,1.026039,0.237303,0.326886,1.615825,16.364494,1628.201320,-1040.577687,3069.600887,-1195.273474,0.102289,1.564709,16.364494,0.113225,0.855932,2019-10-23 14:45:00,2020-02-19 13:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
25,-2.188509,165,38.181818,0.794210,-2.308981,-3.309800,3.738967,-132.636895,1340.664271,-1042.617026,3163.504511,-1199.959368,0.585324,1.285865,-132.636895,-1.297759,1.410256,2024-04-12 05:15:00,2024-08-07 13:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
26,-0.494153,151,39.735099,0.949635,-0.376490,-0.489127,1.710717,-32.725366,1552.877673,-1078.177920,3168.554098,-1199.574629,0.288857,1.440280,-32.725366,-0.280643,1.290598,2024-06-04 12:30:00,2024-09-29 20:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
27,-2.067229,275,40.727273,0.882518,-1.564741,-2.089812,2.425329,-75.171966,1386.509583,-1079.517570,3269.933137,-1193.880560,0.852350,1.284379,-75.171966,-0.924157,2.391304,2020-05-03 22:15:00,2020-08-27 06:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
28,-4.841415,262,32.442748,0.743564,-3.296866,-4.473920,5.198635,-184.786841,1651.552657,-1066.644792,3240.533385,-1193.936839,0.931286,1.548362,-184.786841,-2.134880,2.239316,2018-05-15 19:00:00,2018-09-10 02:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
