iteration,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,avg_trade,avg_win,avg_loss,best_trade,worst_trade,recovery_factor,win_loss_ratio,expectancy,sqn,trades_per_day,start_date,end_date,timestamp,config,currency
1,-4.738857,340,33.235294,0.630066,-6.343871,-8.606978,4.818571,-139.378155,714.260272,-564.317108,1949.606682,-699.324477,0.983457,1.265707,-139.378155,-3.740914,2.905983,2021-08-19 00:45:00,2021-12-14 08:30:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
2,-7.382075,600,34.666667,0.671937,-7.146587,-9.971075,7.705769,-123.034579,726.920339,-574.031067,1845.201548,-696.342448,0.957993,1.266343,-123.034579,-4.343697,5.217391,2022-02-28 13:00:00,2022-06-23 21:45:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
3,-2.821449,283,35.335689,0.729428,-3.457292,-4.048021,3.362210,-99.697837,760.625320,-569.819780,1843.851609,-695.607462,0.839165,1.334852,-99.697837,-2.331905,2.398305,2019-09-12 09:00:00,2020-01-09 07:30:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
4,-6.950349,559,33.452594,0.671832,-6.036045,-7.881386,7.299744,-124.335404,760.901936,-569.333744,1963.496040,-698.224214,0.952136,1.336478,-124.335404,-4.228502,4.860870,2020-06-29 00:45:00,2020-10-22 08:30:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
5,-2.727314,432,40.740741,0.817417,-2.195394,-3.266838,4.135208,-63.132263,693.752875,-583.490796,1877.084929,-1978.631114,0.659535,1.188970,-63.132263,-1.838668,3.661017,2019-11-21 07:45:00,2020-03-19 05:15:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
6,-8.662231,479,29.645094,0.543320,-9.551995,-11.975156,8.724597,-180.839900,725.746003,-562.843455,2001.329656,-973.779747,0.992852,1.289428,-180.839900,-5.999189,4.025210,2020-11-25 06:00:00,2021-03-24 22:00:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
7,-5.556768,610,37.704918,0.746607,-6.603806,-8.853599,5.926464,-91.094561,711.857159,-577.091655,1888.033684,-699.852514,0.937620,1.233525,-91.094561,-3.200967,5.213675,2022-01-28 11:15:00,2022-05-25 20:00:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
8,-6.802661,567,37.213404,0.682807,-5.717908,-7.001356,7.404461,-119.976391,694.016781,-602.427400,1908.214674,-4400.227049,0.918725,1.152034,-119.976391,-3.982137,4.764706,2022-11-01 11:00:00,2023-02-28 22:45:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
9,-5.957690,431,32.018561,0.642327,-6.212229,-8.519104,6.387276,-138.229462,775.298468,-568.491764,2001.349224,-698.315388,0.932743,1.363781,-138.229462,-4.040698,3.683761,2021-01-19 09:00:00,2021-05-16 18:00:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
10,-6.904567,376,31.914894,0.524214,-7.994785,-9.320417,7.045195,-183.632113,633.945452,-566.871596,1805.824472,-698.659807,0.980039,1.118323,-183.632113,-5.599414,3.159664,2023-11-08 03:45:00,2024-03-06 07:45:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
11,-6.977876,721,38.141470,0.731393,-4.603128,-7.107436,7.850350,-96.780532,690.914381,-582.466856,1877.134903,-1782.247031,0.888862,1.186187,-96.780532,-3.772675,6.162393,2020-02-27 14:15:00,2020-06-23 23:00:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
12,-5.536887,627,39.234450,0.751910,-4.256984,-5.971334,6.116921,-88.307611,682.162162,-585.776283,1762.447404,-1694.309672,0.905175,1.164544,-88.307611,-3.203752,5.452174,2022-09-20 03:30:00,2023-01-13 11:15:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
13,-7.409526,526,32.509506,0.649903,-5.504700,-7.174391,7.802358,-140.865504,804.368959,-596.175626,6849.206656,-1863.101973,0.949652,1.349215,-140.865504,-4.142491,3.602740,2023-01-03 03:15:00,2023-05-29 06:00:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
14,-8.556597,500,33.200000,0.550292,-10.206311,-12.860813,8.966428,-171.131939,630.748629,-569.671384,1904.595605,-1745.224032,0.954293,1.107215,-171.131939,-6.014882,4.237288,2018-10-10 05:00:00,2019-02-06 02:45:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
15,-3.814551,337,37.091988,0.682115,-4.231287,-5.084928,4.276578,-113.191427,654.819499,-566.028057,1843.786638,-1965.297824,0.891963,1.156868,-113.191427,-3.133748,2.855932,2019-11-08 13:00:00,2020-03-06 11:30:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
16,-4.619001,340,36.176471,0.634656,-5.811603,-8.220806,4.974707,-135.852983,652.348572,-582.621606,1875.864706,-2151.737739,0.928497,1.119678,-135.852983,-3.675627,2.956522,2019-02-03 18:15:00,2019-05-30 15:00:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
17,-2.857044,332,36.746988,0.761912,-3.139333,-4.559360,3.052422,-86.055531,749.420159,-571.427122,1843.165899,-694.928229,0.935992,1.311489,-86.055531,-2.188047,2.837607,2019-07-05 03:15:00,2019-10-30 10:00:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
18,-8.361700,567,32.804233,0.613238,-6.909506,-8.254930,8.527304,-147.472663,712.797746,-567.447194,2040.610721,-697.894541,0.980580,1.256148,-147.472663,-5.291025,4.930435,2018-02-06 06:45:00,2018-06-01 14:30:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
19,-2.603689,328,36.585366,0.780573,-3.094087,-5.619922,3.030833,-79.380751,771.847344,-570.473883,1874.584029,-2157.436170,0.859067,1.352993,-79.380751,-1.942906,2.803419,2019-04-19 04:00:00,2019-08-14 23:45:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
20,-4.125114,348,36.781609,0.676608,-5.038843,-6.738033,4.350028,-118.537773,674.270332,-579.807943,1875.849499,-2155.338858,0.948296,1.162920,-118.537773,-3.196140,2.974359,2019-01-30 20:00:00,2019-05-28 16:45:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
21,-7.786471,576,32.638889,0.651729,-7.026544,-9.271996,8.032546,-135.181782,775.055580,-576.224628,1963.492815,-699.188211,0.969365,1.345058,-135.181782,-4.646850,4.923077,2020-06-16 09:15:00,2020-10-11 17:00:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
22,-4.860366,417,35.731415,0.676289,-4.914667,-6.769743,5.592067,-116.555528,681.486353,-560.242991,1805.818245,-698.672522,0.869154,1.216412,-116.555528,-3.525678,3.626087,2023-09-04 16:15:00,2023-12-29 16:00:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
23,-7.302639,424,33.018868,0.548413,-7.876044,-9.674454,7.330330,-172.232054,633.458148,-569.403280,1805.799437,-698.330319,0.996222,1.112495,-172.232054,-5.506885,3.563025,2023-10-12 15:00:00,2024-02-08 19:00:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
24,-8.635356,522,33.524904,0.566292,-9.905938,-12.414019,9.032466,-165.428269,644.295768,-573.790535,1904.547385,-1731.067623,0.956035,1.122876,-165.428269,-5.771122,4.423729,2018-10-02 01:45:00,2019-01-28 23:30:00,20250618_163720,Config 2: Scalping Strategy,EURUSD
