trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2023-01-20 16:30:00,1.085740,long,1.000000,36.957934,False,Standard (NTI+MB+IC),1.085240,5.000000,1.086717,1.087694,1.088997,2023-01-22 20:15:00,1.088997,take_profit_3,3,51.750000,1791.470244,TP1,0.500000,488.582794,TP2,0.250000,488.582794,TP3,0.250000,814.304656,1791.470244,32.572186,1791.470244
2,2023-01-22 20:30:00,1.089832,long,1.000000,70.543579,False,Standard (NTI+MB+IC),1.089332,5.000000,1.090813,1.091794,1.093102,2023-01-22 21:00:00,1.089310,stop_loss,0,0.500000,-522.256464,PPT,1.000000,-522.256464,,,,,,,-522.256464,-5.222565,-522.256464
3,2023-01-22 21:15:00,1.089864,long,1.000000,76.865842,False,Standard (NTI+MB+IC),1.089364,5.000000,1.090845,1.091826,1.093133,2023-01-22 21:45:00,1.089223,stop_loss,0,0.500000,-641.118822,PPT,1.000000,-641.118822,,,,,,,-641.118822,-6.411188,-641.118822
4,2023-01-22 22:00:00,1.090103,long,1.000000,72.707931,False,Standard (NTI+MB+IC),1.089603,5.000000,1.091084,1.092066,1.093374,2023-01-22 23:00:00,1.089459,stop_loss,0,1.000000,-644.698312,PPT,1.000000,-644.698312,,,,,,,-644.698312,-6.446983,-644.698312
5,2023-01-22 23:15:00,1.089163,long,1.000000,24.328298,False,Standard (NTI+MB+IC),1.088663,5.000000,1.090143,1.091123,1.092430,2023-01-23 01:45:00,1.089145,trailing_stop,2,2.500000,975.956280,TP1,0.500000,490.123169,TP2,0.250000,490.123169,PPT,0.250000,-4.290059,975.956280,-0.171602,975.956280
6,2023-01-23 02:00:00,1.090870,long,1.000000,32.456587,False,Standard (NTI+MB+IC),1.090370,5.000000,1.091852,1.092833,1.094142,2023-01-23 02:15:00,1.090332,stop_loss,0,0.250000,-537.481135,PPT,1.000000,-537.481135,,,,,,,-537.481135,-5.374811,-537.481135
7,2023-01-23 02:30:00,1.090050,long,1.000000,34.169032,False,Standard (NTI+MB+IC),1.089550,5.000000,1.091031,1.092012,1.093320,2023-01-23 02:45:00,1.090121,trailing_stop,1,0.250000,526.175961,TP1,0.500000,490.522367,PPT,0.500000,35.653595,,,,526.175961,0.713072,526.175961
8,2023-01-23 03:00:00,1.090292,long,1.000000,39.764870,False,Standard (NTI+MB+IC),1.089792,5.000000,1.091274,1.092255,1.093563,2023-01-23 03:15:00,1.089773,stop_loss,0,0.250000,-519.670405,PPT,1.000000,-519.670405,,,,,,,-519.670405,-5.196704,-519.670405
9,2023-01-23 03:30:00,1.089999,long,1.000000,36.354866,False,Standard (NTI+MB+IC),1.089499,5.000000,1.090980,1.091961,1.093269,2023-01-23 03:45:00,1.089390,stop_loss,0,0.250000,-608.939376,PPT,1.000000,-608.939376,,,,,,,-608.939376,-6.089394,-608.939376
10,2023-01-23 04:00:00,1.089725,long,1.000000,35.278668,False,Standard (NTI+MB+IC),1.089225,5.000000,1.090705,1.091686,1.092994,2023-01-23 05:15:00,1.090705,tp1_pullback,2,1.250000,1225.940091,TP1,0.500000,490.376036,TP2,0.250000,490.376036,PPT,0.250000,245.188018,1225.940091,9.807521,1225.940091
11,2023-01-23 05:30:00,1.089671,long,1.000000,38.827980,False,Standard (NTI+MB+IC),1.089171,5.000000,1.090652,1.091633,1.092940,2023-01-23 06:00:00,1.089100,stop_loss,0,0.500000,-571.133731,PPT,1.000000,-571.133731,,,,,,,-571.133731,-5.711337,-571.133731
12,2023-01-23 06:30:00,1.087922,long,1.000000,14.858208,False,Standard (NTI+MB+IC),1.087422,5.000000,1.088901,1.089880,1.091186,2023-01-23 07:00:00,1.087354,stop_loss,0,0.500000,-568.211484,PPT,1.000000,-568.211484,,,,,,,-568.211484,-5.682115,-568.211484
13,2023-01-23 07:15:00,1.087039,long,1.000000,35.793613,False,Standard (NTI+MB+IC),1.086539,5.000000,1.088017,1.088996,1.090300,2023-01-23 07:45:00,1.087083,signal_flip,1,0.500000,510.905836,TP1,0.500000,489.167601,PPT,0.500000,21.738234,,,,510.905836,0.434765,510.905836
14,2023-01-24 02:15:00,1.089142,long,1.000000,49.009973,False,Standard (NTI+MB+IC),1.088642,5.000000,1.090122,1.091102,1.092409,2023-01-24 02:45:00,1.088595,stop_loss,0,0.500000,-547.060095,PPT,1.000000,-547.060095,,,,,,,-547.060095,-5.470601,-547.060095
15,2023-01-24 03:00:00,1.088609,long,1.000000,47.064663,False,Standard (NTI+MB+IC),1.088109,5.000000,1.089589,1.090569,1.091875,2023-01-24 03:30:00,1.087977,stop_loss,0,0.500000,-631.943520,PPT,1.000000,-631.943520,,,,,,,-631.943520,-6.319435,-631.943520
16,2023-01-24 03:45:00,1.087487,long,1.000000,21.475112,False,Standard (NTI+MB+IC),1.086987,5.000000,1.088466,1.089445,1.090750,2023-01-24 04:15:00,1.086900,stop_loss,0,0.500000,-586.852251,PPT,1.000000,-586.852251,,,,,,,-586.852251,-5.868523,-586.852251
17,2023-01-24 04:45:00,1.086080,long,1.000000,40.018808,False,Standard (NTI+MB+IC),1.085580,5.000000,1.087057,1.088035,1.089338,2023-01-24 05:00:00,1.085420,stop_loss,0,0.250000,-659.897427,PPT,1.000000,-659.897427,,,,,,,-659.897427,-6.598974,-659.897427
18,2023-01-24 23:15:00,1.089962,long,1.000000,38.973721,False,Standard (NTI+MB+IC),1.089462,5.000000,1.090943,1.091924,1.093232,2023-01-25 00:30:00,1.089403,stop_loss,0,1.250000,-559.052551,PPT,1.000000,-559.052551,,,,,,,-559.052551,-5.590526,-559.052551
19,2023-01-25 01:30:00,1.090509,long,1.000000,32.623840,False,Standard (NTI+MB+IC),1.090009,5.000000,1.091490,1.092472,1.093780,2023-01-25 01:45:00,1.090003,stop_loss,0,0.250000,-505.993256,PPT,1.000000,-505.993256,,,,,,,-505.993256,-5.059933,-505.993256
20,2023-01-25 02:15:00,1.090441,long,1.000000,29.522901,False,Standard (NTI+MB+IC),1.089941,5.000000,1.091422,1.092403,1.093712,2023-01-25 02:30:00,1.089807,stop_loss,0,0.250000,-633.533003,PPT,1.000000,-633.533003,,,,,,,-633.533003,-6.335330,-633.533003
21,2023-01-25 03:45:00,1.087722,long,1.000000,40.366497,False,Standard (NTI+MB+IC),1.087222,5.000000,1.088701,1.089680,1.090985,2023-01-25 04:00:00,1.087139,stop_loss,0,0.250000,-582.924359,PPT,1.000000,-582.924359,,,,,,,-582.924359,-5.829244,-582.924359
22,2023-01-25 10:30:00,1.089472,long,1.000000,41.013497,False,Standard (NTI+MB+IC),1.088972,5.000000,1.090452,1.091433,1.092740,2023-01-25 11:00:00,1.088792,stop_loss,0,0.500000,-679.571253,PPT,1.000000,-679.571253,,,,,,,-679.571253,-6.795713,-679.571253
23,2023-01-25 15:00:00,1.091312,long,1.000000,38.662622,False,Standard (NTI+MB+IC),1.090812,5.000000,1.092294,1.093277,1.094586,2023-01-25 15:15:00,1.090654,stop_loss,0,0.250000,-658.737233,PPT,1.000000,-658.737233,,,,,,,-658.737233,-6.587372,-658.737233
24,2023-01-25 16:15:00,1.091594,long,1.000000,32.371872,False,Standard (NTI+MB+IC),1.091094,5.000000,1.092576,1.093559,1.094869,2023-01-25 20:15:00,1.091081,stop_loss,0,4.000000,-512.686867,PPT,1.000000,-512.686867,,,,,,,-512.686867,-5.126869,-512.686867
25,2023-01-26 13:00:00,1.086976,short,1.000000,42.450900,False,Standard (NTI+MB+IC),1.087476,5.000000,1.085998,1.085020,1.083715,2023-01-26 13:15:00,1.087536,stop_loss,0,0.250000,-559.220166,PPT,1.000000,-559.220166,,,,,,,-559.220166,-5.592202,-559.220166
26,2023-01-26 23:45:00,1.086583,short,1.000000,74.098627,False,Standard (NTI+MB+IC),1.087083,5.000000,1.085605,1.084627,1.083456,2023-01-27 00:30:00,1.087176,stop_loss,0,0.750000,-592.974759,PPT,1.000000,-592.974759,,,,,,,-592.974759,-5.929748,-592.974759
27,2023-01-27 00:45:00,1.087342,short,1.000000,65.194345,False,Standard (NTI+MB+IC),1.087842,5.000000,1.086363,1.085385,1.084269,2023-01-27 02:30:00,1.087860,stop_loss,0,1.750000,-518.251345,PPT,1.000000,-518.251345,,,,,,,-518.251345,-5.182513,-518.251345
28,2023-01-27 03:15:00,1.087323,short,1.000000,35.320928,False,Standard (NTI+MB+IC),1.087823,5.000000,1.086345,1.085366,1.084061,2023-01-27 03:30:00,1.087826,stop_loss,0,0.250000,-502.776825,PPT,1.000000,-502.776825,,,,,,,-502.776825,-5.027768,-502.776825
29,2023-01-27 03:45:00,1.088993,short,1.000000,17.417538,False,Standard (NTI+MB+IC),1.089493,5.000000,1.088013,1.087033,1.085726,2023-01-27 04:30:00,1.089003,trailing_stop,1,0.750000,485.222765,TP1,0.500000,490.046859,PPT,0.500000,-4.824095,,,,485.222765,-0.096482,485.222765
30,2023-01-30 05:30:00,1.090671,long,1.000000,52.500564,False,Standard (NTI+MB+IC),1.090171,5.000000,1.091652,1.092634,1.093943,2023-01-30 06:15:00,1.090087,stop_loss,0,0.750000,-584.171047,PPT,1.000000,-584.171047,,,,,,,-584.171047,-5.841710,-584.171047
31,2023-01-30 07:45:00,1.090383,long,1.000000,27.473013,False,Standard (NTI+MB+IC),1.089883,5.000000,1.091364,1.092346,1.093654,2023-01-30 08:15:00,1.089788,stop_loss,0,0.500000,-594.580330,PPT,1.000000,-594.580330,,,,,,,-594.580330,-5.945803,-594.580330
