iteration,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,avg_trade,avg_win,avg_loss,best_trade,worst_trade,recovery_factor,win_loss_ratio,expectancy,sqn,trades_per_day,start_date,end_date,timestamp,config,currency
1,-5.508960,300,35.000000,0.735925,-3.252587,-4.900496,6.479430,-183.632004,1462.133141,-1069.813236,3933.240961,-1197.969466,0.850223,1.366718,-183.632004,-2.251220,2.564103,2018-03-13 22:00:00,2018-07-09 05:45:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
2,-3.430853,234,35.897436,0.786348,-2.391819,-3.251934,4.919564,-146.617662,1503.246815,-1070.541770,3830.683101,-1199.038656,0.697390,1.404193,-146.617662,-1.584017,2.034783,2021-06-08 00:30:00,2021-10-01 08:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
3,-0.983370,307,39.739414,0.950439,-0.478378,-0.979854,2.954291,-32.031595,1545.772795,-1072.529624,3498.785261,-1198.375152,0.332862,1.441240,-32.031595,-0.387134,2.623932,2019-06-28 09:15:00,2019-10-23 17:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
4,-4.169430,263,34.980989,0.773268,-2.584237,-3.815282,4.771566,-158.533445,1545.636165,-1075.396627,3761.125695,-1199.666685,0.873807,1.437271,-158.533445,-1.791071,2.247863,2021-11-04 17:15:00,2022-03-02 02:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
5,-5.210101,301,35.215947,0.751976,-3.060023,-5.038959,6.208892,-173.093066,1490.217569,-1077.251668,4475.008218,-2378.970431,0.839135,1.383351,-173.093066,-2.118011,2.315385,2023-06-15 17:30:00,2023-10-24 06:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
6,-5.269687,341,36.950147,0.781227,-2.715847,-4.125475,7.372895,-154.536277,1493.470274,-1120.344768,8974.910997,-2935.250704,0.714738,1.333045,-154.536277,-1.890826,2.214286,2023-01-19 18:15:00,2023-06-23 00:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
7,-7.723400,261,31.417625,0.602283,-4.717242,-6.687398,7.921984,-295.915725,1426.333561,-1084.879085,3863.298344,-1196.691156,0.974933,1.314740,-295.915725,-3.566456,2.250000,2021-03-29 09:15:00,2021-07-23 13:00:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
8,-3.093223,525,43.047619,0.904498,-1.256934,-2.429068,6.808359,-58.918539,1296.274422,-1083.244991,6924.172219,-1198.660787,0.454327,1.196659,-58.918539,-0.994433,4.487179,2022-09-21 18:30:00,2023-01-17 05:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
9,-3.597411,246,35.365854,0.788612,-2.952051,-4.572284,5.522857,-146.236212,1542.597556,-1070.315067,3641.284431,-1196.154084,0.651368,1.441256,-146.236212,-1.620418,2.102564,2019-03-07 23:30:00,2019-07-03 20:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
10,-4.942391,293,35.494881,0.756232,-3.324243,-5.099486,5.815762,-168.682288,1474.283545,-1072.748143,3687.680224,-2367.530580,0.849827,1.374305,-168.682288,-2.053439,2.462185,2023-07-18 21:45:00,2023-11-15 12:15:00,20250618_163607,Config 1: Ultra-Tight Risk Management,GBPUSD
