trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2023-06-07 02:30:00,1.240550,short,1.000000,39.474836,False,Standard (NTI+MB+IC),1.241550,10.000000,1.238689,1.236829,1.234348,2023-06-07 04:00:00,1.241652,stop_loss,0,1.500000,-1101.990169,PPT,1.000000,-1101.990169,-1101.990169,-11.019902,-1101.990169,,,,,,
2,2023-06-07 04:45:00,1.243830,short,1.000000,19.624115,False,Standard (NTI+MB+IC),1.244830,10.000000,1.241964,1.240099,1.237611,2023-06-07 06:00:00,1.244970,stop_loss,0,1.250000,-1139.964152,PPT,1.000000,-1139.964152,-1139.964152,-11.399642,-1139.964152,,,,,,
3,2023-06-07 08:15:00,1.246030,long,1.000000,55.476233,False,Standard (NTI+MB+IC),1.245030,10.000000,1.247899,1.249768,1.252260,2023-06-07 10:15:00,1.247899,tp1_pullback,2,2.000000,2396.765106,TP1,0.500000,994.981313,2396.765106,18.690451,2396.765106,TP2,0.250000,934.522528,PPT,0.250000,467.261264
4,2023-06-07 10:30:00,1.246842,long,1.000000,49.913277,False,Standard (NTI+MB+IC),1.245842,10.000000,1.248712,1.250582,1.253076,2023-06-07 12:00:00,1.245490,stop_loss,0,1.500000,-1351.876683,PPT,1.000000,-1351.876683,-1351.876683,-13.518767,-1351.876683,,,,,,
5,2023-06-07 12:30:00,1.243567,long,1.000000,17.262481,False,Standard (NTI+MB+IC),1.242634,9.332877,1.245433,1.247298,1.249785,2023-06-08 10:00:00,1.251240,take_profit_3,3,21.500000,3783.495625,TP1,0.500000,932.675567,3783.495625,76.725780,3783.495625,TP2,0.250000,932.675567,TP3,0.250000,1918.144492
6,2023-06-08 10:15:00,1.253717,long,1.000000,57.338558,False,Standard (NTI+MB+IC),1.252717,10.000000,1.255597,1.257478,1.259985,2023-06-09 04:00:00,1.253746,trailing_stop,1,17.750000,954.726846,TP1,0.500000,940.287649,954.726846,0.288784,954.726846,PPT,0.500000,14.439197,,,
7,2023-06-09 04:15:00,1.254450,long,1.000000,17.021268,False,Standard (NTI+MB+IC),1.253450,10.000000,1.256332,1.258214,1.260723,2023-06-11 17:00:00,1.256332,tp1_pullback,2,60.750000,2352.094507,TP1,0.500000,940.837803,2352.094507,18.816756,2352.094507,TP2,0.250000,940.837803,PPT,0.250000,470.418901
8,2023-06-11 17:15:00,1.257145,long,1.000000,22.676707,False,Standard (NTI+MB+IC),1.256145,10.000000,1.259031,1.260916,1.263431,2023-06-12 08:00:00,1.257060,trailing_stop,1,14.750000,900.443801,TP1,0.500000,942.858622,900.443801,-0.848296,900.443801,PPT,0.500000,-42.414821,,,
9,2023-06-12 08:15:00,1.255834,long,1.000000,21.626986,False,Standard (NTI+MB+IC),1.254834,10.000000,1.257717,1.259601,1.262113,2023-06-12 10:00:00,1.252880,stop_loss,0,1.750000,-2953.589532,PPT,1.000000,-2953.589532,-2953.589532,-29.535895,-2953.589532,,,,,,
10,2023-06-13 02:15:00,1.255439,long,1.000000,48.465977,False,Standard (NTI+MB+IC),1.254439,10.000000,1.257322,1.259206,1.261716,2023-06-13 09:15:00,1.257322,tp1_pullback,2,7.000000,2353.948644,TP1,0.500000,941.579458,2353.948644,18.831589,2353.948644,TP2,0.250000,941.579458,PPT,0.250000,470.789729
11,2023-06-13 09:30:00,1.259142,long,1.000000,48.600948,False,Standard (NTI+MB+IC),1.258142,10.000000,1.261030,1.262919,1.265437,2023-06-14 08:15:00,1.265437,take_profit_3,3,22.750000,3462.639213,TP1,0.500000,944.356149,3462.639213,62.957077,3462.639213,TP2,0.250000,944.356149,TP3,0.250000,1573.926915
12,2023-06-14 08:30:00,1.266963,long,1.000000,53.300640,False,Standard (NTI+MB+IC),1.265963,10.000000,1.268864,1.270764,1.273298,2023-06-14 14:00:00,1.267051,trailing_stop,1,5.500000,994.028925,TP1,0.500000,950.222316,994.028925,0.876132,994.028925,PPT,0.500000,43.806609,,,
13,2023-06-14 14:15:00,1.263808,long,1.000000,31.213054,False,Standard (NTI+MB+IC),1.262808,10.000000,1.265704,1.267599,1.270127,2023-06-14 14:30:00,1.263831,trailing_stop,1,0.250000,959.149656,TP1,0.500000,947.856020,959.149656,0.225873,959.149656,PPT,0.500000,11.293636,,,
14,2023-06-14 14:45:00,1.266934,long,1.000000,24.212503,False,Standard (NTI+MB+IC),1.265934,10.000000,1.268835,1.270735,1.273269,2023-06-14 16:00:00,1.265907,stop_loss,0,1.250000,-1027.629589,PPT,1.000000,-1027.629589,-1027.629589,-10.276296,-1027.629589,,,,,,
15,2023-06-14 16:15:00,1.266179,long,1.000000,19.085250,False,Standard (NTI+MB+IC),1.265179,10.000000,1.268078,1.269978,1.272510,2023-06-14 21:00:00,1.265005,stop_loss,0,4.750000,-1174.483813,PPT,1.000000,-1174.483813,-1174.483813,-11.744838,-1174.483813,,,,,,
16,2023-06-14 21:15:00,1.264449,long,1.000000,10.592954,False,Standard (NTI+MB+IC),1.263449,10.000000,1.266345,1.268242,1.270771,2023-06-14 21:45:00,1.263380,stop_loss,0,0.500000,-1068.339089,PPT,1.000000,-1068.339089,-1068.339089,-10.683391,-1068.339089,,,,,,
