iteration,start_date,end_date,sharpe_ratio,total_pnl,total_return,win_rate,total_trades,max_drawdown,profit_factor,avg_win,avg_loss,primary_year
1,2024-06-27 06:30:00,2024-11-20 15:15:00,1.6262657376877998,202874.6167608679,202.87461676086923,62.485746864310144,877,-2.2543367556832963,2.31356769254129,652.0440054959867,-469.4392044101318,2024
2,2020-11-19 05:45:00,2021-04-18 20:30:00,1.834252466970132,324345.0435683633,324.3450435683668,59.944495837187795,1081,-2.1468875701503234,2.5841707248027257,816.4911442517509,-472.84345936898956,2020
3,2024-10-31 09:15:00,2025-03-28 09:00:00,1.7783535667143735,289637.7427423117,289.63774274231446,61.88212927756654,1052,-1.919478598503101,2.527668280615292,736.1480785454169,-472.80462940338043,2024
4,2021-09-03 03:00:00,2022-01-27 06:45:00,1.580081525886308,229052.12809188798,229.05212809188873,61.23110151187905,926,-3.4859753329949124,2.3428251174469468,704.8093999405065,-475.1387233269637,2021
5,2021-05-06 11:30:00,2021-09-30 11:15:00,1.4417773806588547,187913.00159746333,187.91300159746396,58.27956989247311,930,-1.9999999999997673,2.0512850800911675,676.4926205419921,-460.68556375334344,2021
6,2024-08-04 22:00:00,2024-12-29 21:45:00,1.6444497155981368,235191.99654496252,235.1919965449643,61.49068322981367,966,-1.9529034576506246,2.3473109826037324,689.8249127294797,-469.25806886115384,2024
7,2022-08-30 08:00:00,2023-01-23 14:45:00,2.11627235917139,612970.8553070113,612.970855307007,61.330239752513535,1293,-1.4728930207292685,3.6087783748196185,1069.2756187836326,-469.92942077680664,2022
8,2021-09-15 04:00:00,2022-02-08 07:45:00,1.6112912830070045,231862.41466870398,231.8624146687049,61.34636264929425,921,-3.781169702103424,2.3667496821890306,710.632805790152,-476.5312376481258,2021
9,2020-05-19 10:15:00,2020-10-12 14:15:00,2.046507278668755,382380.5076307076,382.3805076307114,61.61290322580645,1240,-2.2266960697690186,2.681932626357825,798.0712304814398,-477.6174631451964,2020
10,2023-12-03 21:30:00,2024-04-29 19:30:00,1.3124642153559558,188459.615013251,188.4596150132523,58.69809203142536,891,-1.9230188077252222,2.094718294216662,689.5088750304851,-467.8084962709066,2023
11,2019-04-10 09:45:00,2019-09-04 01:30:00,1.700264679471449,227057.89886323464,227.05789886323626,64.39909297052154,882,-2.317918127739214,2.532882354991574,660.5329281217261,-471.73504557295064,2019
12,2020-07-05 19:45:00,2020-11-26 23:45:00,2.1157707162569475,374126.1839117652,374.12618391176926,60.81967213114754,1220,-1.5402085739904399,2.6419790881350487,811.289682458786,-476.67523111434014,2020
13,2019-02-22 12:45:00,2019-07-19 05:30:00,1.660216187025011,265751.3945009456,265.7513945009486,64.35754189944134,895,-1.9817649660418113,2.7248618993778613,728.8585218717669,-482.9815488940212,2019
14,2023-02-15 19:30:00,2023-08-29 11:15:00,1.663925487633839,332933.7806714984,332.93378067150195,60.396039603960396,1111,-1.752783995152692,2.6049768494091445,805.3236216648536,-471.4508396945895,2023
15,2023-09-08 03:15:00,2024-02-05 01:00:00,1.566521772886089,231549.27146985824,231.54927146985975,59.06374501992032,1004,-2.7421158061124924,2.197846106735179,716.4485032400041,-470.3277152103772,2023
16,2021-06-21 19:30:00,2021-11-14 23:15:00,1.4464791620225463,207609.29381721682,207.60929381721732,59.93340732519423,901,-2.4203739006660894,2.233485942275299,696.1487543889376,-466.23555000778475,2021
