crypto,config,iteration,start_date,end_date,sharpe_ratio,total_pnl,win_rate,max_drawdown,profit_factor,total_trades
ETH,Config 1: Crypto Ultra-Tight,1,2019-02-14 05:30:00,2019-05-08 13:15:00,0.17773194221266056,180058364.23159444,85.29874213836479,-1.648727858720159e-07,1604786036.5509176,1272
ETH,Config 1: Crypto Ultra-Tight,2,2023-09-22 23:30:00,2023-12-15 07:15:00,0.17751274488162982,1361958185.5139644,89.35824532900081,-0.0030738637648144488,17464935764.981873,1231
ETH,Config 1: Crypto Ultra-Tight,3,2019-03-31 03:15:00,2019-06-22 11:00:00,0.17821244551986967,326278739.0446372,89.16139240506328,-4.770217143995565e-07,3969297502.4143443,1264
ETH,Config 1: Crypto Ultra-Tight,4,2018-12-17 17:15:00,2019-03-11 01:00:00,0.1777760716133372,189610541.6054505,86.0768672951414,-8.509472873060908e-08,1645912308.536731,1379
ETH,Config 1: Crypto Ultra-Tight,5,2024-07-21 23:15:00,2024-10-13 07:00:00,0.20001221005106554,2967229120.821613,89.23076923076924,-0.0005161584587199259,33641530940.775604,1365
ETH,Config 1: Crypto Ultra-Tight,6,2021-08-20 16:00:00,2021-11-11 23:45:00,0.17755171271216502,4287194153.002211,92.02226345083488,-0.0010870374746467955,83065185385.03706,1078
ETH,Config 1: Crypto Ultra-Tight,7,2019-11-08 20:30:00,2020-01-31 04:15:00,0.17764917473955788,171986933.5594068,81.9560272934041,-0.00200001522898674,1204381121.2801995,1319
ETH,Config 1: Crypto Ultra-Tight,8,2015-08-29 03:45:00,2015-11-20 11:30:00,0.2008778847458079,3179671.151548065,66.59192825112108,-0.003999999989900971,35807106.177397996,446
ETH,Config 1: Crypto Ultra-Tight,9,2021-10-02 23:45:00,2021-12-25 07:30:00,0.17756446997167144,4414356389.891154,91.25475285171103,-4.387263218986824e-09,79951000626.24919,1052
ETH,Config 1: Crypto Ultra-Tight,10,2017-11-30 07:00:00,2018-02-21 14:45:00,0.17754721726754222,2066426135.2494497,91.61425576519916,-0.00028372216991556825,43595927047.135605,954
ETH,Config 1: Crypto Ultra-Tight,11,2020-08-14 04:00:00,2020-11-05 11:45:00,0.17752827600109894,463350862.2143088,89.49511400651465,-0.00200001522898674,5986399665.846318,1228
ETH,Config 1: Crypto Ultra-Tight,12,2024-10-31 04:30:00,2025-01-22 12:15:00,0.1775110127365054,4118683999.732388,90.73770491803279,-6.914748380996179e-09,60734449998.559,1220
ETH,Config 1: Crypto Ultra-Tight,13,2016-05-10 12:45:00,2016-08-01 20:30:00,0.18068844147635926,26230201.21322943,72.88135593220339,-0.0040000013541430235,195165122.528061,826
ETH,Config 1: Crypto Ultra-Tight,14,2019-12-11 17:45:00,2020-03-04 01:30:00,0.17775982376513957,255221740.45463073,85.52950687146321,-1.5761014786675203e-07,2376348204.772602,1237
