pair,config,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,data_start,data_end
AUDUSD,config_1_ultra_tight,0,0,0,0,15570,2010-01-03 17:00:00,2025-05-30 16:45:00
AUDUSD,config_2_scalping,0,0,0,0,13759,2010-01-03 17:00:00,2025-05-30 16:45:00
GBPUSD,config_1_ultra_tight,0,0,0,0,7772,2018-01-01 17:00:00,2025-05-30 16:45:00
GBPUSD,config_2_scalping,0,0,0,0,6792,2018-01-01 17:00:00,2025-05-30 16:45:00
EURUSD,config_1_ultra_tight,0,0,0,0,6216,2018-01-01 17:00:00,2025-05-30 16:45:00
EURUSD,config_2_scalping,0,0,0,0,5309,2018-01-01 17:00:00,2025-05-30 16:45:00
NZDUSD,config_1_ultra_tight,0,0,0,0,6567,2018-01-01 17:00:00,2025-05-30 16:45:00
NZDUSD,config_2_scalping,0,0,0,0,5765,2018-01-01 17:00:00,2025-05-30 16:45:00
USDCAD,config_1_ultra_tight,0,0,0,0,6252,2018-01-01 17:00:00,2025-05-30 16:45:00
USDCAD,config_2_scalping,0,0,0,0,5401,2018-01-01 17:00:00,2025-05-30 16:45:00
GBPJPY,config_1_ultra_tight,0,0,0,0,20497,2018-01-01 17:00:00,2025-05-30 16:45:00
GBPJPY,config_2_scalping,0,0,0,0,20478,2018-01-01 17:00:00,2025-05-30 16:45:00
EURJPY,config_1_ultra_tight,0,0,0,0,21306,2018-01-01 17:00:00,2025-05-30 16:45:00
EURJPY,config_2_scalping,0,0,0,0,21281,2018-01-01 17:00:00,2025-05-30 16:45:00
AUDJPY,config_1_ultra_tight,0,0,0,0,21760,2018-01-01 17:00:00,2025-05-30 16:45:00
AUDJPY,config_2_scalping,0,0,0,0,21760,2018-01-01 17:00:00,2025-05-30 16:45:00
CADJPY,config_1_ultra_tight,0,0,0,0,21758,2018-01-01 17:00:00,2025-05-30 16:45:00
CADJPY,config_2_scalping,0,0,0,0,21758,2018-01-01 17:00:00,2025-05-30 16:45:00
CHFJPY,config_1_ultra_tight,0,0,0,0,19197,2018-01-01 17:00:00,2025-05-30 16:45:00
CHFJPY,config_2_scalping,0,0,0,0,19190,2018-01-01 17:00:00,2025-05-30 16:45:00
AUDNZD,config_1_ultra_tight,0,0,0,0,4278,2018-01-01 17:00:00,2025-05-30 16:45:00
AUDNZD,config_2_scalping,0,0,0,0,3644,2018-01-01 17:00:00,2025-05-30 16:45:00
EURGBP,config_1_ultra_tight,0,0,0,0,4655,2018-01-01 17:00:00,2025-05-30 16:45:00
EURGBP,config_2_scalping,0,0,0,0,4085,2018-01-01 17:00:00,2025-05-30 16:45:00
