iteration,start_date,end_date,sharpe_ratio,total_pnl,total_return,win_rate,total_trades,max_drawdown,profit_factor,avg_win,avg_loss,start_year,end_year,primary_year
1,2010-01-25 10:15:00,2022-02-15 22:30:00,0.7863034608441579,6950690.488449843,6950.690488449837,61.172248803827756,33440,-3.41673824463832,2.1838978534797713,626.7947111291033,-452.1736077022819,2010,2022,2010
2,2010-03-22 11:30:00,2022-04-13 01:00:00,0.8212690061151067,6911308.191945125,6911.308191945118,61.25292108574511,33378,-2.868209042493888,2.18256022049652,623.9016214236105,-451.89518735482454,2010,2022,2010
3,2012-05-10 05:00:00,2024-07-21 21:00:00,0.8523685915674991,5828038.266126638,5828.038266126612,62.477214155509465,31818,-1.6016579200711822,2.0781375233713666,565.1034824355102,-452.7727499127495,2012,2024,2012
4,2011-12-20 15:00:00,2024-03-01 00:15:00,0.8679834336082435,6094404.68659556,6094.404686595521,62.35472304648862,32352,-2.083719898711217,2.1034846570873227,575.8824588334442,-453.4750107111363,2011,2024,2024
5,2013-01-24 19:00:00,2025-04-07 06:15:00,0.7785142665877893,5622051.817826495,5622.05181782647,62.486161632136636,31615,-2.5770105854552687,2.0478737289720312,556.1757286390981,-452.37771512971074,2013,2025,2013
6,2010-04-29 00:45:00,2022-05-20 14:15:00,0.7932608796918116,6955527.232943101,6955.5272329431045,61.3199366047666,33441,-3.3882140628078163,2.190388800401656,624.1392292430933,-451.7256901364612,2010,2022,2010
7,2011-01-03 09:30:00,2023-01-25 00:00:00,0.8588177726018641,6725402.26355299,6725.402263552986,61.667821946294566,33181,-2.421589045825074,2.168047941551083,610.0682148562814,-452.6938870064923,2011,2023,2011
8,2011-06-05 21:30:00,2023-08-14 14:00:00,0.7749613455524419,6609119.200996226,6609.119200996194,61.97212901665608,33081,-4.467480998405207,2.158855693925285,600.5688374663259,-453.34996310813045,2011,2023,2011
9,2013-02-05 08:45:00,2025-04-16 20:00:00,0.7927622151172097,5648652.1285986975,5648.652128598671,62.498420320990775,31652,-2.656011851148642,2.05239265180715,556.8744290774066,-452.18515816428277,2013,2025,2013
10,2011-11-22 13:15:00,2024-02-01 22:30:00,0.7567345545388956,6169841.2189762825,6169.841218976239,62.29952285670309,32485,-1.9338701742108315,2.110717277523833,579.3392244985897,-453.5662616498393,2011,2024,2024
