trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2017-01-18 23:00:00,0.752289,short,1.000000,21.248936,False,Standard (NTI+MB+IC),0.752665,3.759108,0.751161,0.750033,0.748528,2017-01-18 23:45:00,0.752284,trailing_stop,0,0.750000,132.526937,TP0,0.500000,129.705610,129.705610,0.056427,132.526937,,,,,,
2,2017-01-19 02:00:00,0.752828,long,1.000000,45.082835,False,Standard (NTI+MB+IC),0.751828,10.000000,0.753957,0.755086,0.756592,2017-01-19 12:45:00,0.753956,trailing_stop,0,10.750000,965.781818,TP0,0.500000,401.161060,712.323560,11.280772,965.781818,TP0,0.165000,186.324850,TP0,0.110550,124.837650
3,2017-01-19 20:45:00,0.758054,long,1.000000,42.257534,False,Standard (NTI+MB+IC),0.757054,10.000000,0.759191,0.760328,0.761844,2017-01-19 23:00:00,0.758060,trailing_stop,0,2.250000,6.434038,,,,,0.064340,6.434038,,,,,,
4,2017-01-20 01:15:00,0.756492,long,1.000000,17.950108,False,Standard (NTI+MB+IC),0.755965,5.261568,0.757626,0.758761,0.760274,2017-01-20 02:30:00,0.755805,stop_loss,0,1.250000,-686.939550,,,,,-6.869395,-686.939550,,,,,,
5,2017-01-20 02:45:00,0.755866,long,1.000000,50.704861,False,Standard (NTI+MB+IC),0.756023,1.567951,0.757000,0.758133,0.759645,2017-01-20 03:00:00,0.755833,stop_loss,0,0.250000,-33.151412,,,,,-0.331514,-33.151412,,,,,,
6,2017-01-20 03:15:00,0.755060,short,1.000000,46.234144,False,Standard (NTI+MB+IC),0.756060,10.000000,0.753927,0.752794,0.751284,2017-01-20 10:15:00,0.754509,trailing_stop,0,7.000000,1021.102242,TP0,0.500000,454.836557,766.921596,5.508287,1021.102242,TP0,0.165000,186.877269,TP0,0.110550,125.207770
7,2017-01-22 19:45:00,0.756445,long,1.000000,37.466739,False,Standard (NTI+MB+IC),0.755445,10.000000,0.757579,0.758714,0.760227,2017-01-22 23:45:00,0.756535,trailing_stop,0,4.000000,954.898479,TP0,0.500000,492.733545,805.390981,0.908691,954.898479,TP0,0.165000,187.220022,TP0,0.110550,125.437415
8,2017-01-23 17:00:00,0.758450,long,1.000000,42.086646,False,Standard (NTI+MB+IC),0.757450,10.000000,0.759587,0.760725,0.762242,2017-01-23 18:45:00,0.758508,trailing_stop,0,1.750000,756.771291,TP0,0.500000,350.223320,663.709482,0.584911,756.771291,TP0,0.165000,187.716264,TP0,0.110550,125.769897
9,2017-01-23 23:45:00,0.757562,long,1.000000,17.297907,False,Standard (NTI+MB+IC),0.757720,1.576226,0.758698,0.759835,0.761350,2017-01-24 00:15:00,0.757597,stop_loss,0,0.500000,106.446056,TP0,0.500000,89.025870,89.025870,0.348404,106.446056,,,,,,
10,2017-01-24 00:30:00,0.757548,long,1.000000,37.848194,False,Standard (NTI+MB+IC),0.757724,1.753789,0.758685,0.759821,0.761336,2017-01-24 00:45:00,0.757639,stop_loss,0,0.250000,90.526804,,,,,0.905268,90.526804,,,,,,
11,2017-01-24 01:00:00,0.757142,short,1.000000,42.070050,False,Standard (NTI+MB+IC),0.758142,10.000000,0.756006,0.754871,0.753356,2017-01-24 06:45:00,0.757060,trailing_stop,0,5.750000,834.631518,TP0,0.500000,281.102276,594.048078,0.824802,834.631518,TP0,0.165000,187.392696,TP0,0.110550,125.553106
