trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2010-06-21 21:15:00,0.880774,short,1.000000,16.961531,False,Standard (NTI+MB+IC),0.879033,17.414783,0.879453,0.878132,0.876370,2010-07-13 11:30:00,0.834262,trailing_stop,0,518.250000,1497.648961,TP0,0.500000,837.068358,TP0,0.165000,217.991599,TP0,0.110550,146.054371,1201.114328,465.120380,1497.648961
2,2010-07-13 11:45:00,0.881712,long,1.000000,43.036388,False,Standard (NTI+MB+IC),0.880712,10.000000,0.883035,0.884357,0.886121,2010-07-13 12:30:00,0.881770,trailing_stop,0,0.750000,372.525026,TP0,0.500000,343.847030,,,,,,,343.847030,0.573560,372.525026
3,2010-07-13 12:45:00,0.880101,long,1.000000,40.967431,False,Standard (NTI+MB+IC),0.879101,10.000000,0.881421,0.882741,0.884501,2010-07-13 14:15:00,0.880123,trailing_stop,0,1.500000,310.961929,TP0,0.500000,299.686178,,,,,,,299.686178,0.225515,310.961929
4,2010-07-13 17:00:00,0.883137,long,1.000000,33.014830,False,Standard (NTI+MB+IC),0.882137,10.000000,0.884461,0.885786,0.887552,2010-07-13 19:45:00,0.883176,trailing_stop,0,2.750000,401.333706,TP0,0.500000,381.721557,,,,,,,381.721557,0.392243,401.333706
5,2010-07-14 12:30:00,0.884221,long,1.000000,35.283563,False,Standard (NTI+MB+IC),0.883221,10.000000,0.885548,0.886874,0.888642,2010-07-14 12:45:00,0.883106,stop_loss,0,0.250000,-1114.965945,,,,,,,,,,,-11.149659,-1114.965945
6,2010-07-14 20:00:00,0.878759,short,1.000000,33.117437,False,Standard (NTI+MB+IC),0.879759,10.000000,0.877440,0.876122,0.874365,2010-07-14 21:15:00,0.878705,trailing_stop,0,1.250000,406.026675,TP0,0.500000,379.275025,,,,,,,379.275025,0.535033,406.026675
7,2010-07-14 22:45:00,0.882587,short,1.000000,22.633072,False,Standard (NTI+MB+IC),0.882415,1.721275,0.881263,0.879939,0.878174,2010-07-15 06:30:00,0.878867,trailing_stop,0,7.750000,1155.577209,TP0,0.500000,493.620609,TP0,0.165000,218.440342,TP0,0.110550,146.355029,858.415980,37.205577,1155.577209
8,2010-07-15 06:45:00,0.882544,long,1.000000,42.189060,False,Standard (NTI+MB+IC),0.881544,10.000000,0.883867,0.885191,0.886956,2010-07-15 07:00:00,0.881475,stop_loss,0,0.250000,-1068.167934,,,,,,,,,,,-10.681679,-1068.167934
9,2010-07-15 10:15:00,0.875489,short,1.000000,37.690694,False,Standard (NTI+MB+IC),0.876489,10.000000,0.874176,0.872863,0.871112,2010-07-15 10:45:00,0.876553,stop_loss,0,0.500000,-1063.476457,,,,,,,,,,,-10.634765,-1063.476457
10,2010-07-15 23:15:00,0.877758,short,1.000000,53.268906,False,Standard (NTI+MB+IC),0.878758,10.000000,0.876441,0.875125,0.873369,2010-07-16 03:15:00,0.877376,trailing_stop,0,4.000000,1386.164651,TP0,0.500000,728.996631,TP0,0.165000,217.245103,TP0,0.110550,145.554219,1091.795954,3.816941,1386.164651
11,2010-07-16 03:30:00,0.878195,short,1.000000,20.336581,False,Standard (NTI+MB+IC),0.879195,10.000000,0.876877,0.875560,0.873804,2010-07-16 05:45:00,0.877857,trailing_stop,0,2.250000,1776.306460,TP0,0.500000,1147.334213,TP0,0.165000,217.353180,TP0,0.110550,145.626631,1510.314025,3.380751,1776.306460
12,2010-07-16 09:45:00,0.871393,short,1.000000,30.398246,False,Standard (NTI+MB+IC),0.872393,10.000000,0.870086,0.868779,0.867036,2010-07-16 10:45:00,0.872517,stop_loss,0,1.000000,-321.859365,TP0,0.330000,431.339687,,,,,,,431.339687,-11.241777,-321.859365
13,2010-07-16 11:00:00,0.871686,short,1.000000,42.716725,False,Standard (NTI+MB+IC),0.872686,10.000000,0.870378,0.869071,0.867327,2010-07-16 15:00:00,0.870833,trailing_stop,0,4.000000,995.473474,TP0,0.500000,342.954032,TP0,0.165000,215.742262,TP0,0.110550,144.547316,703.243610,8.533542,995.473474
14,2010-07-16 15:45:00,0.869396,short,1.000000,30.627476,False,Standard (NTI+MB+IC),0.870396,10.000000,0.868092,0.866788,0.865049,2010-07-19 02:00:00,0.865685,trailing_stop,0,58.250000,1300.275245,TP0,0.500000,648.227244,TP0,0.165000,215.175622,TP0,0.110550,144.167667,1007.570534,37.118810,1300.275245
15,2010-07-19 22:30:00,0.876446,long,1.000000,46.358431,False,Standard (NTI+MB+IC),0.875446,10.000000,0.877761,0.879076,0.880829,2010-07-20 05:45:00,0.877275,trailing_stop,0,7.250000,1133.910410,TP0,0.500000,476.844136,TP0,0.165000,216.920462,TP0,0.110550,145.336710,839.101307,8.286688,1133.910410
16,2010-07-20 06:00:00,0.875423,long,1.000000,19.094517,False,Standard (NTI+MB+IC),0.874478,9.449213,0.876736,0.878049,0.879800,2010-07-20 07:30:00,0.875505,trailing_stop,0,1.500000,532.794652,TP0,0.500000,288.612379,TP0,0.165000,216.667137,,,,505.279516,0.821347,532.794652
17,2010-07-20 07:45:00,0.875223,long,1.000000,21.256719,False,Standard (NTI+MB+IC),0.874859,3.635285,0.876535,0.877848,0.879599,2010-07-20 08:00:00,0.874800,stop_loss,0,0.250000,-422.378415,,,,,,,,,,,-4.223784,-422.378415
18,2010-07-20 08:15:00,0.871622,long,1.000000,49.769794,False,Standard (NTI+MB+IC),0.874832,32.099829,0.872929,0.874237,0.875980,2010-07-20 16:00:00,0.883400,end_of_data,0,7.750000,1992.830935,TP0,0.500000,1339.093329,TP0,0.165000,215.726399,TP0,0.110550,144.536687,1699.356415,117.781867,1992.830935
