trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2017-09-01 09:00:00,0.797778,long,1.000000,52.467586,False,Standard (NTI+MB+IC),0.797278,5.000000,0.798496,0.799214,0.800171,2017-09-01 09:45:00,0.797786,trailing_stop,0,0.750000,646.148923,TP0,0.700000,526.390117,TP0,0.099000,71.082021,TP0,0.066330,47.624954,645.097092,0.078104,646.148923
2,2017-09-01 10:45:00,0.797409,long,1.000000,36.747692,False,Standard (NTI+MB+IC),0.796909,5.000000,0.798126,0.798844,0.799801,2017-09-01 12:45:00,0.797361,trailing_stop,0,2.000000,689.300211,TP0,0.700000,505.013844,TP0,0.099000,71.049102,TP0,0.066330,47.602898,623.665844,-0.480377,689.300211
3,2017-09-01 13:00:00,0.797146,long,1.000000,29.979130,False,Standard (NTI+MB+IC),0.796646,5.000000,0.797863,0.798581,0.799537,2017-09-01 13:45:00,0.797131,trailing_stop,0,0.750000,173.575759,TP0,0.700000,177.992523,,,,,,,177.992523,-0.147225,173.575759
4,2017-09-01 14:00:00,0.796884,long,1.000000,10.367070,False,Standard (NTI+MB+IC),0.796384,5.000000,0.797601,0.798319,0.799275,2017-09-03 17:00:00,0.796362,stop_loss,0,51.000000,-522.191424,,,,,,,,,,,-5.221914,-522.191424
5,2017-09-03 17:15:00,0.795016,long,1.000000,12.949918,False,Standard (NTI+MB+IC),0.795600,5.833246,0.795732,0.796447,0.797401,2017-09-03 17:30:00,0.795413,stop_loss,0,0.250000,396.276527,,,,,,,,,,,3.962765,396.276527
6,2017-09-04 21:30:00,0.797630,long,1.000000,51.467875,False,Standard (NTI+MB+IC),0.797130,5.000000,0.798348,0.799066,0.800023,2017-09-04 22:15:00,0.797595,trailing_stop,0,0.750000,182.756642,TP0,0.700000,118.778807,TP0,0.099000,71.068861,,,,189.847668,-0.352787,182.756642
7,2017-09-04 22:30:00,0.796883,long,1.000000,54.101427,False,Standard (NTI+MB+IC),0.796383,5.000000,0.797600,0.798317,0.799273,2017-09-04 23:00:00,0.796278,stop_loss,0,0.500000,-604.581326,,,,,,,,,,,-6.045813,-604.581326
8,2017-09-05 08:30:00,0.800364,long,1.000000,37.317535,False,Standard (NTI+MB+IC),0.799864,5.000000,0.801084,0.801805,0.802765,2017-09-05 12:00:00,0.801111,trailing_stop,0,3.500000,612.427111,TP0,0.700000,396.284970,TP0,0.099000,71.312422,TP0,0.066330,47.779322,515.376714,7.470154,612.427111
9,2017-09-05 12:15:00,0.800816,long,1.000000,19.511459,False,Standard (NTI+MB+IC),0.800316,5.000000,0.801537,0.802257,0.803218,2017-09-05 12:30:00,0.800238,stop_loss,0,0.250000,-577.551495,,,,,,,,,,,-5.775515,-577.551495
10,2017-09-05 12:45:00,0.799301,long,1.000000,19.169348,False,Standard (NTI+MB+IC),0.798801,5.000000,0.800020,0.800740,0.801699,2017-09-05 13:00:00,0.798712,stop_loss,0,0.250000,-588.572368,,,,,,,,,,,-5.885724,-588.572368
