trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
1,2023-01-06 04:00:00,0.674726,short,1.000000,44.525081,False,Standard (NTI+MB+IC),0.675726,10.000000,0.673714,0.672702,0.671352,2023-01-06 08:30:00,0.673714,tp1_pullback,2,4.500000,1265.111466,TP1,0.500000,506.044587,TP2,0.250000,506.044587,PPT,0.250000,253.022293,1265.111466,10.120892,1265.111466
2,2023-01-06 08:45:00,0.678770,short,1.000000,29.510232,False,Standard (NTI+MB+IC),0.679770,10.000000,0.677752,0.676734,0.675376,2023-01-06 09:30:00,0.675376,take_profit_3,3,0.750000,1866.617447,TP1,0.500000,509.077485,TP2,0.250000,509.077485,TP3,0.250000,848.462476,1866.617447,33.938499,1866.617447
3,2023-01-06 09:45:00,0.674782,short,1.000000,22.025774,False,Standard (NTI+MB+IC),0.675782,10.000000,0.673770,0.672757,0.671408,2023-01-06 10:00:00,0.675824,stop_loss,0,0.250000,-1042.712148,PPT,1.000000,-1042.712148,,,,,,,-1042.712148,-10.427121,-1042.712148
4,2023-01-06 12:00:00,0.686324,long,1.000000,62.315375,False,Standard (NTI+MB+IC),0.685324,10.000000,0.687354,0.688383,0.689756,2023-01-08 17:00:00,0.687354,tp1_pullback,2,53.000000,1286.857902,TP1,0.500000,514.743161,TP2,0.250000,514.743161,PPT,0.250000,257.371580,1286.857902,10.294863,1286.857902
5,2023-01-08 17:15:00,0.687493,long,1.000000,43.233826,False,Standard (NTI+MB+IC),0.686493,10.000000,0.688524,0.689555,0.690930,2023-01-08 19:30:00,0.688524,tp1_pullback,2,2.250000,1289.048800,TP1,0.500000,515.619520,TP2,0.250000,515.619520,PPT,0.250000,257.809760,1289.048800,10.312390,1289.048800
6,2023-01-08 19:45:00,0.689989,long,1.000000,52.845923,False,Standard (NTI+MB+IC),0.688989,10.000000,0.691024,0.692059,0.693439,2023-01-08 20:15:00,0.688895,stop_loss,0,0.500000,-1093.687787,PPT,1.000000,-1093.687787,,,,,,,-1093.687787,-10.936878,-1093.687787
7,2023-01-08 20:30:00,0.690437,long,1.000000,46.443319,False,Standard (NTI+MB+IC),0.689437,10.000000,0.691473,0.692508,0.693889,2023-01-08 22:00:00,0.691473,tp1_pullback,2,1.500000,1294.569593,TP1,0.500000,517.827837,TP2,0.250000,517.827837,PPT,0.250000,258.913919,1294.569593,10.356557,1294.569593
8,2023-01-08 22:15:00,0.691640,long,1.000000,38.757513,False,Standard (NTI+MB+IC),0.690640,10.000000,0.692678,0.693715,0.695098,2023-01-09 02:30:00,0.692678,tp1_pullback,2,4.250000,1296.825212,TP1,0.500000,518.730085,TP2,0.250000,518.730085,PPT,0.250000,259.365042,1296.825212,10.374602,1296.825212
9,2023-01-09 02:45:00,0.691569,long,1.000000,17.784122,False,Standard (NTI+MB+IC),0.690569,10.000000,0.692607,0.693644,0.695027,2023-01-09 03:00:00,0.691591,trailing_stop,1,0.250000,529.322199,TP1,0.500000,518.677093,PPT,0.500000,10.645107,,,,529.322199,0.212902,529.322199
10,2023-01-09 03:15:00,0.693316,long,1.000000,30.746330,False,Standard (NTI+MB+IC),0.692316,10.000000,0.694356,0.695396,0.696783,2023-01-09 04:00:00,0.692277,stop_loss,0,0.750000,-1039.304941,PPT,1.000000,-1039.304941,,,,,,,-1039.304941,-10.393049,-1039.304941
11,2023-01-10 22:30:00,0.690188,long,1.000000,36.135130,False,Standard (NTI+MB+IC),0.689188,10.000000,0.691224,0.692259,0.693639,2023-01-11 01:30:00,0.691224,tp1_pullback,2,3.000000,1294.103277,TP1,0.500000,517.641311,TP2,0.250000,517.641311,PPT,0.250000,258.820655,1294.103277,10.352826,1294.103277
12,2023-01-11 02:15:00,0.691376,long,1.000000,20.824813,False,Standard (NTI+MB+IC),0.690376,10.000000,0.692413,0.693450,0.694832,2023-01-11 02:30:00,0.690226,stop_loss,0,0.250000,-1149.616244,PPT,1.000000,-1149.616244,,,,,,,-1149.616244,-11.496162,-1149.616244
13,2023-01-11 02:45:00,0.690527,long,1.000000,17.921170,False,Standard (NTI+MB+IC),0.689527,10.000000,0.691563,0.692599,0.693980,2023-01-11 03:15:00,0.689490,stop_loss,0,0.500000,-1037.055031,PPT,1.000000,-1037.055031,,,,,,,-1037.055031,-10.370550,-1037.055031
14,2023-01-15 20:45:00,0.701427,long,1.000000,49.330670,False,Standard (NTI+MB+IC),0.700427,10.000000,0.702479,0.703531,0.704934,2023-01-15 23:00:00,0.700320,stop_loss,0,2.250000,-1106.554306,PPT,1.000000,-1106.554306,,,,,,,-1106.554306,-11.065543,-1106.554306
15,2023-01-15 23:15:00,0.700543,long,1.000000,51.212589,False,Standard (NTI+MB+IC),0.699543,10.000000,0.701593,0.702644,0.704045,2023-01-15 23:45:00,0.699395,stop_loss,0,0.500000,-1147.358763,PPT,1.000000,-1147.358763,,,,,,,-1147.358763,-11.473588,-1147.358763
16,2023-01-16 00:00:00,0.699466,long,1.000000,23.214637,False,Standard (NTI+MB+IC),0.698466,10.000000,0.700515,0.701564,0.702963,2023-01-16 01:00:00,0.698460,stop_loss,0,1.000000,-1005.793168,PPT,1.000000,-1005.793168,,,,,,,-1005.793168,-10.057932,-1005.793168
17,2023-01-16 01:15:00,0.698049,long,1.000000,23.809909,False,Standard (NTI+MB+IC),0.697049,10.000000,0.699096,0.700143,0.701539,2023-01-16 01:45:00,0.696967,stop_loss,0,0.500000,-1081.528167,PPT,1.000000,-1081.528167,,,,,,,-1081.528167,-10.815282,-1081.528167
18,2023-01-16 02:00:00,0.697772,long,1.000000,28.149283,False,Standard (NTI+MB+IC),0.696772,10.000000,0.698819,0.699865,0.701261,2023-01-16 02:30:00,0.696673,stop_loss,0,0.500000,-1098.853110,PPT,1.000000,-1098.853110,,,,,,,-1098.853110,-10.988531,-1098.853110
19,2023-01-16 19:15:00,0.696666,long,1.000000,45.017238,False,Standard (NTI+MB+IC),0.695666,10.000000,0.697711,0.698756,0.700149,2023-01-16 21:15:00,0.695616,stop_loss,1,2.000000,-2.162375,TP1,0.500000,522.499269,PPT,0.500000,-524.661644,,,,-2.162375,-10.493233,-2.162375
20,2023-01-17 11:15:00,0.698611,long,1.000000,50.509668,False,Standard (NTI+MB+IC),0.697611,10.000000,0.699659,0.700707,0.702104,2023-01-17 12:45:00,0.697547,stop_loss,0,1.500000,-1064.033683,PPT,1.000000,-1064.033683,,,,,,,-1064.033683,-10.640337,-1064.033683
21,2023-01-17 14:30:00,0.699573,long,1.000000,43.436246,False,Standard (NTI+MB+IC),0.698573,10.000000,0.700623,0.701672,0.703071,2023-01-17 15:30:00,0.698555,stop_loss,0,1.000000,-1018.661729,PPT,1.000000,-1018.661729,,,,,,,-1018.661729,-10.186617,-1018.661729
22,2023-01-18 02:00:00,0.702077,long,1.000000,23.341410,False,Standard (NTI+MB+IC),0.701077,10.000000,0.703130,0.704184,0.705588,2023-01-18 04:00:00,0.700966,stop_loss,1,2.000000,-28.882783,TP1,0.500000,526.558003,PPT,0.500000,-555.440787,,,,-28.882783,-11.108816,-28.882783
23,2023-01-18 12:00:00,0.697200,long,1.000000,45.278370,False,Standard (NTI+MB+IC),0.696431,7.691948,0.698246,0.699292,0.700686,2023-01-18 12:15:00,0.696412,stop_loss,0,0.250000,-787.833966,PPT,1.000000,-787.833966,,,,,,,-787.833966,-7.878340,-787.833966
24,2023-01-18 16:15:00,0.693839,short,1.000000,61.900913,False,Standard (NTI+MB+IC),0.694839,10.000000,0.692798,0.691757,0.690370,2023-01-18 20:45:00,0.690370,take_profit_3,3,4.500000,1908.056664,TP1,0.500000,520.379090,TP2,0.250000,520.379090,TP3,0.250000,867.298484,1908.056664,34.691939,1908.056664
25,2023-01-18 21:00:00,0.689517,short,1.000000,58.263727,False,Standard (NTI+MB+IC),0.690517,10.000000,0.688483,0.687448,0.686069,2023-01-18 21:30:00,0.690651,stop_loss,0,0.500000,-1133.471172,PPT,1.000000,-1133.471172,,,,,,,-1133.471172,-11.334712,-1133.471172
26,2023-01-18 21:45:00,0.690468,short,1.000000,56.632369,False,Standard (NTI+MB+IC),0.691468,10.000000,0.689432,0.688396,0.687015,2023-01-18 22:45:00,0.691520,stop_loss,0,1.000000,-1052.413158,PPT,1.000000,-1052.413158,,,,,,,-1052.413158,-10.524132,-1052.413158
27,2023-01-18 23:00:00,0.689784,short,1.000000,32.313414,False,Standard (NTI+MB+IC),0.690784,10.000000,0.688749,0.687715,0.686335,2023-01-19 05:45:00,0.688749,tp1_pullback,2,6.750000,1293.345115,TP1,0.500000,517.338046,TP2,0.250000,517.338046,PPT,0.250000,258.669023,1293.345115,10.346761,1293.345115
28,2023-01-19 06:00:00,0.688262,short,1.000000,32.529800,False,Standard (NTI+MB+IC),0.689262,10.000000,0.687230,0.686197,0.684821,2023-01-19 08:30:00,0.689399,stop_loss,1,2.500000,-52.168707,TP1,0.500000,516.196601,PPT,0.500000,-568.365308,,,,-52.168707,-11.367306,-52.168707
29,2023-01-19 08:45:00,0.690358,short,1.000000,15.182257,False,Standard (NTI+MB+IC),0.691358,10.000000,0.689323,0.688287,0.686907,2023-01-19 09:15:00,0.691470,stop_loss,0,0.500000,-1111.511932,PPT,1.000000,-1111.511932,,,,,,,-1111.511932,-11.115119,-1111.511932
30,2023-01-19 09:30:00,0.690956,short,1.000000,19.301243,False,Standard (NTI+MB+IC),0.691956,10.000000,0.689919,0.688883,0.687501,2023-01-19 11:00:00,0.689919,tp1_pullback,2,1.500000,1295.542196,TP1,0.500000,518.216879,TP2,0.250000,518.216879,PPT,0.250000,259.108439,1295.542196,10.364338,1295.542196
31,2023-01-20 12:15:00,0.696062,long,1.000000,42.179233,False,Standard (NTI+MB+IC),0.695062,10.000000,0.697106,0.698150,0.699542,2023-01-20 13:15:00,0.694964,stop_loss,0,1.000000,-1098.384934,PPT,1.000000,-1098.384934,,,,,,,-1098.384934,-10.983849,-1098.384934
32,2023-01-20 13:30:00,0.696280,long,1.000000,44.162422,False,Standard (NTI+MB+IC),0.695280,10.000000,0.697325,0.698369,0.699762,2023-01-22 19:15:00,0.697325,tp1_pullback,2,53.750000,1305.525299,TP1,0.500000,522.210119,TP2,0.250000,522.210119,PPT,0.250000,261.105060,1305.525299,10.444202,1305.525299
33,2023-01-22 19:30:00,0.697819,long,1.000000,31.372595,False,Standard (NTI+MB+IC),0.696819,10.000000,0.698865,0.699912,0.701308,2023-01-22 23:15:00,0.697827,trailing_stop,1,3.750000,527.483683,TP1,0.500000,523.363908,PPT,0.500000,4.119775,,,,527.483683,0.082395,527.483683
34,2023-01-23 05:00:00,0.700583,long,1.000000,46.458112,False,Standard (NTI+MB+IC),0.699583,10.000000,0.701634,0.702685,0.704086,2023-01-23 06:30:00,0.699422,stop_loss,0,1.500000,-1161.091787,PPT,1.000000,-1161.091787,,,,,,,-1161.091787,-11.610918,-1161.091787
35,2023-01-23 07:00:00,0.698606,long,1.000000,19.362524,False,Standard (NTI+MB+IC),0.697606,10.000000,0.699654,0.700702,0.702099,2023-01-23 08:45:00,0.697601,stop_loss,1,1.750000,21.303483,TP1,0.500000,523.954598,PPT,0.500000,-502.651115,,,,21.303483,-10.053022,21.303483
36,2023-01-23 11:15:00,0.702632,long,1.000000,37.313637,False,Standard (NTI+MB+IC),0.701632,10.000000,0.703686,0.704740,0.706145,2023-01-23 14:45:00,0.701534,stop_loss,1,3.500000,-21.848153,TP1,0.500000,526.973973,PPT,0.500000,-548.822126,,,,-21.848153,-10.976443,-21.848153
37,2023-01-23 21:00:00,0.704265,long,1.000000,40.639893,False,Standard (NTI+MB+IC),0.703265,10.000000,0.705321,0.706378,0.707786,2023-01-23 22:45:00,0.703222,stop_loss,0,1.750000,-1043.092273,PPT,1.000000,-1043.092273,,,,,,,-1043.092273,-10.430923,-1043.092273
38,2023-01-24 04:15:00,0.701903,long,1.000000,48.104570,False,Standard (NTI+MB+IC),0.700903,10.000000,0.702956,0.704009,0.705413,2023-01-24 09:15:00,0.700795,stop_loss,1,5.000000,-27.420599,TP1,0.500000,526.427337,PPT,0.500000,-553.847936,,,,-27.420599,-11.076959,-27.420599
39,2023-01-24 19:30:00,0.706441,long,1.000000,29.333082,False,Standard (NTI+MB+IC),0.705441,10.000000,0.707501,0.708560,0.709973,2023-01-24 19:45:00,0.706511,trailing_stop,1,0.250000,564.672511,TP1,0.500000,529.830832,PPT,0.500000,34.841679,,,,564.672511,0.696834,564.672511
