trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
1,2023-08-29 01:00:00,0.644495,long,1.000000,38.135902,False,Standard (NTI+MB+IC),0.643995,5.000000,0.645075,0.645656,0.646429,2023-08-29 03:00:00,0.643900,stop_loss,0,2.000000,-595.440146,PPT,1.000000,-595.440146,-595.440146,-5.954401,-595.440146,,,,,,
2,2023-08-29 03:30:00,0.644727,long,1.000000,28.371819,False,Standard (NTI+MB+IC),0.644227,5.000000,0.645307,0.645887,0.646661,2023-08-29 03:45:00,0.644134,stop_loss,0,0.250000,-592.077223,PPT,1.000000,-592.077223,-592.077223,-5.920772,-592.077223,,,,,,
3,2023-08-29 09:30:00,0.640901,short,1.000000,54.467740,False,Standard (NTI+MB+IC),0.641401,5.000000,0.640325,0.639748,0.638979,2023-08-29 09:45:00,0.641530,stop_loss,0,0.250000,-628.819839,PPT,1.000000,-628.819839,-628.819839,-6.288198,-628.819839,,,,,,
4,2023-08-29 10:00:00,0.644122,short,1.000000,24.818301,False,Standard (NTI+MB+IC),0.644622,5.000000,0.643542,0.642962,0.642189,2023-08-29 10:15:00,0.644762,stop_loss,0,0.250000,-639.821881,PPT,1.000000,-639.821881,-639.821881,-6.398219,-639.821881,,,,,,
5,2023-08-29 10:30:00,0.644040,short,1.000000,25.294793,False,Standard (NTI+MB+IC),0.644540,5.000000,0.643461,0.642881,0.642108,2023-08-29 10:45:00,0.644550,stop_loss,0,0.250000,-509.541383,PPT,1.000000,-509.541383,-509.541383,-5.095414,-509.541383,,,,,,
6,2023-08-29 11:45:00,0.645814,long,1.000000,54.743897,False,Standard (NTI+MB+IC),0.645314,5.000000,0.646395,0.646976,0.647751,2023-08-29 12:15:00,0.645310,stop_loss,0,0.500000,-503.879248,PPT,1.000000,-503.879248,-503.879248,-5.038792,-503.879248,,,,,,
7,2023-08-29 12:30:00,0.645572,long,1.000000,52.270249,False,Standard (NTI+MB+IC),0.645072,5.000000,0.646153,0.646734,0.647509,2023-08-29 14:45:00,0.647509,take_profit_3,3,2.250000,1065.194448,TP1,0.500000,290.507577,1065.194448,19.367172,1065.194448,TP2,0.250000,290.507577,TP3,0.250000,484.179295
8,2023-08-29 15:00:00,0.648182,long,1.000000,54.807756,False,Standard (NTI+MB+IC),0.647682,5.000000,0.648765,0.649349,0.650126,2023-08-29 17:00:00,0.647544,stop_loss,0,2.000000,-638.341535,PPT,1.000000,-638.341535,-638.341535,-6.383415,-638.341535,,,,,,
9,2023-08-29 17:15:00,0.648008,long,1.000000,24.497796,False,Standard (NTI+MB+IC),0.647508,5.000000,0.648591,0.649174,0.649952,2023-08-29 19:45:00,0.647490,stop_loss,0,2.500000,-517.947692,PPT,1.000000,-517.947692,-517.947692,-5.179477,-517.947692,,,,,,
10,2023-08-29 21:30:00,0.645832,long,1.000000,21.576095,False,Standard (NTI+MB+IC),0.645332,5.000000,0.646413,0.646995,0.647770,2023-08-30 01:00:00,0.647770,take_profit_3,3,3.500000,1065.622909,TP1,0.500000,290.624430,1065.622909,19.374962,1065.622909,TP2,0.250000,290.624430,TP3,0.250000,484.374050
